#TSV
#============Begin of sheet============
@Sheet=双剑
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
27	大锤	1	0		2	1	180	60140	21	1				99999999	60071	21	1																								
28	大锤	1	0		2	1	180	60121	21	1				99999999	60041	21	1																								
29	大锤	1	0		2	1	180	60152	21	1				99999999	60030	21	1																								
30	大锤	1	0		5	1	1	60190	25	1																															
31	大锤	1	0		5	1	1	60260	31	1																															
32	大锤	1	0		5	1	1	60210	31	1																															
33	大锤	1	0		5	1	1	60231	31	1																															
34	大锤	1	0		5	1	1	60143	31	1																															
35	大锤	1	0		5	1	1	60211	32	1																															
36	大锤	1	0		5	1	1	60200	31	1																															
37	大锤	1	0		5	1	1	60171	33	1																															
38	大锤	1	0		5	1	1	60390	33	1																															
39	大锤	1	0		5	1	1	60250	31	1																															
40	大锤	1	0		5	1	1	60261	32	1																															
41	大锤	1	0		1	1	1	60012	41	1																															
42	大锤	1	0		2	1	180	60070	42	1				99999999	60141	42	1																								
43	大锤	1	0		5	1	1	60191	41	1																															
44	大锤	1	0		2	1	180	60011	42	1				99999999	60200	42	1																								
45	大锤	1	0		4	1	1	60071	42	1	60140	42	1																												
46	大锤	1	0		2	1	180	60080	42	1				99999999	60143	42	1																								
47	大锤	1	0		5	1	1	60251	41	1																															
48	大锤	1	0		3	1	180	60081	43	1				180	60152	43	1				99999999	60210	43	1																	
49	大锤	1	0		2	1	180	60150	42	1				99999999	60250	42	1																								
50	大锤	1	0		5	1	1	60300	41	1																															
51	大锤	1	0		5	1	1	60102	51	1																															
52	大锤	1	0		2	1	180	60090	52	1				99999999	60261	52	1																								
53	大锤	1	0		3	1	180	60150	53	1				180	60152	53	1				99999999	60490	53	1																	
54	大锤	1	0		2	1	180	60131	52	1				99999999	60141	52	1																								
55	大锤	1	0		5	1	1	60480	51	1																															
56	大锤	1	0		2	1	180	60121	52	1				99999999	60280	52	1																								
57	大锤	1	0		5	1	1	60481	51	1																															
58	大锤	1	0		4	1	180	60012	52	1	60191	52	1																												
59	大锤	1	0		2	1	180	60171	52	1				99999999	60250	52	1																								
60	大锤	1	0		5	1	1	60420	57	1																															
61	大锤	1	0	120	1	1	1	60870	61	1																															
62	大锤	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	大锤	1	0	120	1	1	1	60151	64	1																															
64	大锤	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	大锤	1	0	120	1	1	1	60900	61	1																															
66	大锤	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	大锤	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	大锤	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	大锤	1	0	120	1	1	1	60880	65	1																															
70	大锤	1	0	120	1	1	1	60134	61	1																															
71	大锤	1	0	150	1	1	1	60910	71	1																															
72	大锤	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	大锤	1	0	150	1	1	1	60491	71	1																															
74	大锤	1	0	150	1	1	1	60212	71	1																															
75	大锤	1	0	150	1	1	1	60391	71	1																															
76	大锤	1	0	150	1	1	1	60630	71	1																															
77	大锤	1	0	150	1	1	1	60218	71	1																															
78	大锤	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	大锤	1	0	150	1	1	1	60281	71	1																															
80	大锤	1	0	150	1	1	1	60440	74	1																															
81	大锤	1	0	150	1	1	1	60450	107	1																															
82	大锤	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	大锤	1	0	150	1	1	1	60441	109	1																															
84	大锤	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	大锤	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	大锤	1	0	150	1	1	1	60470	112	1																															
87	大锤	1	0	150	1	1	1	60910	113	1																															
88	大锤	1	0	150	1	1	1	60871	113	1																															
89	大锤	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	大锤	1	0	150	1	1	1	60631	113	1																															
91	大锤	1	0	150	1	1	1	60710	113	1																															
92	大锤	1	0	150	1	1	1	60301	113	1																															
93	大锤	1	0	150	1	1	1	60890	113	1																															
94	大锤	1	0	150	1	1	1	60920	113	1																															
95	大锤	1	0	150	1	1	1	60360	113	1																															
96	大锤	1	0	150	1	1	1	60361	113	1																															
97	大锤	1	0	150	1	1	1	60670	113	1																															
98	大锤	1	0	150	1	1	1	60800	113	1																															
99	大锤	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=太刀
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	太刀	1	0		1	1	1	60060	1	1																															
2	太刀	1	0		1	1	1	60030	3	1																															
3	太刀	1	0		1	1	1	60040	1	1																															
4	太刀	1	0		1	1	1	60050	3	1																															
5	太刀	1	0		1	1	1	60070	3	1				1	60080	3	1																								
6	太刀	1	0		1	1	1	60024	1	1																															
7	太刀	1	0		1	1	1	60041	1	1																															
8	太刀	1	0		1	1	1	60051	4	1																															
9	太刀	1	0		1	1	1	60110	1	1																															
10	太刀	1	0		1	1	1	60090	3	1				1	60011	3	1																								
11	太刀	1	0		1	1	1	60140	11	1																															
12	太刀	1	0		1	1	1	60071	11	1																															
13	太刀	1	0		1	1	1	60120	3	1																															
14	太刀	1	0		1	1	1	60230	11	1																															
15	太刀	1	0		1	1	1	60081	3	1				1	60150	3	1																								
16	太刀	1	0		1	1	1	60100	11	1																															
17	太刀	1	0		1	1	1	60152	11	1																															
18	太刀	1	0		1	1	1	60091	11	1																															
19	太刀	1	0		1	1	1	60130	11	1																															
20	太刀	1	0		2	1	300	60170	3	1				99999999	60121	3	1																								
21	太刀	1	0		2	1	180	60140	21	1				99999999	60030	21	1																								
22	太刀	1	0		2	1	180	60091	21	1				99999999	60024	21	1																								
23	太刀	1	0		2	1	180	60150	21	1				99999999	60080	21	1																								
24	太刀	1	0		2	1	180	60081	23	1				99999999	60040	21	1																								
25	太刀	1	0		3	1	210	60070	24	1				210	60071	24	1				99999999	60022	24	1																	
26	太刀	1	0		2	1	180	60090	21	1				99999999	60100	21	1																								
27	太刀	1	0		2	1	180	60051	23	1				99999999	60230	21	1																								
28	太刀	1	0		2	1	180	60170	21	1				99999999	60041	21	1																								
29	太刀	1	0		2	1	180	60120	23	1				99999999	60121	21	1																								
30	太刀	1	0		5	1	1	60231	22	1																															
31	太刀	1	0		5	1	1	60141	31	1																															
32	太刀	1	0		5	1	1	60210	31	1																															
33	太刀	1	0		5	1	1	60190	31	1																															
34	太刀	1	0		5	1	1	60390	33	1																															
35	太刀	1	0		5	1	1	60143	32	1																															
36	太刀	1	0		5	1	1	60200	31	1																															
37	太刀	1	0		5	1	1	60211	31	1																															
38	太刀	1	0		5	1	1	60171	33	1																															
39	太刀	1	0		5	1	1	60251	33	1																															
40	太刀	1	0		5	1	1	60250	32	1																															
41	太刀	1	0		1	1	1	60012	41	1																															
42	太刀	1	0		2	1	180	60090	42	1				99999999	60231	42	1																								
43	太刀	1	0		5	1	1	60260	41	1																															
44	太刀	1	0		2	1	180	60140	42	1				99999999	60190	42	1																								
45	太刀	1	0		4	1	1	60170	42	1	60024	42	1																												
46	太刀	1	0		2	1	180	60071	42	1				99999999	60211	42	1																								
47	太刀	1	0		5	1	1	60261	41	1																															
48	太刀	1	0		3	1	180	60080	43	1				180	60150	43	1				99999999	60191	43	1																	
49	太刀	1	0		2	1	180	60100	42	1				99999999	60200	42	1																								
50	太刀	1	0		5	1	1	60300	41	1																															
51	太刀	1	0		5	1	1	60102	51	1																															
52	太刀	1	0		2	1	180	60131	52	1				99999999	60232	52	1																								
53	太刀	1	0		3	1	180	60100	53	1				180	60110	53	1				99999999	60231	53	1																	
54	太刀	1	0		2	1	180	60141	52	1				99999999	60191	52	1																								
55	太刀	1	0		5	1	1	60480	51	1																															
56	太刀	1	0		2	1	180	60121	52	1				99999999	60280	52	1																								
57	太刀	1	0		5	1	1	60481	51	1																															
58	太刀	1	0		4	1	180	60012	52	1	60152	52	1																												
59	太刀	1	0		2	1	180	60200	52	1				99999999	60201	52	1																								
60	太刀	1	0		5	1	1	60420	57	1																															
61	太刀	1	0	120	1	1	1	60870	61	1																															
62	太刀	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	太刀	1	0	120	1	1	1	60151	64	1																															
64	太刀	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	太刀	1	0	120	1	1	1	60900	61	1																															
66	太刀	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	太刀	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	太刀	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	太刀	1	0	120	1	1	1	60880	65	1																															
70	太刀	1	0	120	1	1	1	60134	61	1																															
71	太刀	1	0	150	1	1	1	60910	71	1																															
72	太刀	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	太刀	1	0	150	1	1	1	60491	71	1																															
74	太刀	1	0	150	1	1	1	60212	71	1																															
75	太刀	1	0	150	1	1	1	60391	71	1																															
76	太刀	1	0	150	1	1	1	60630	71	1																															
77	太刀	1	0	150	1	1	1	60218	71	1																															
78	太刀	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	太刀	1	0	150	1	1	1	60281	71	1																															
80	太刀	1	0	150	1	1	1	60440	74	1																															
81	太刀	1	0	150	1	1	1	60450	107	1																															
82	太刀	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	太刀	1	0	150	1	1	1	60441	109	1																															
84	太刀	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	太刀	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	太刀	1	0	150	1	1	1	60470	112	1																															
87	太刀	1	0	150	1	1	1	60910	113	1																															
88	太刀	1	0	150	1	1	1	60871	113	1																															
89	太刀	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	太刀	1	0	150	1	1	1	60631	113	1																															
91	太刀	1	0	150	1	1	1	60710	113	1																															
92	太刀	1	0	150	1	1	1	60301	113	1																															
93	太刀	1	0	150	1	1	1	60890	113	1																															
94	太刀	1	0	150	1	1	1	60920	113	1																															
95	太刀	1	0	150	1	1	1	60360	113	1																															
96	太刀	1	0	150	1	1	1	60361	113	1																															
97	太刀	1	0	150	1	1	1	60670	113	1																															
98	太刀	1	0	150	1	1	1	60800	113	1																															
99	太刀	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=弓
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	弓	1	0		1	1	1	60022	1	1																															
2	弓	1	0		1	1	1	60050	3	1																															
3	弓	1	0		1	1	1	60030	3	1																															
4	弓	1	0		1	1	1	60080	1	1																															
5	弓	1	0		1	1	1	60041	3	1				1	60024	3	1																								
6	弓	1	0		1	1	1	60051	4	1																															
7	弓	1	0		1	1	1	60011	1	1																															
8	弓	1	0		1	1	1	60110	1	1																															
9	弓	1	0		1	1	1	60090	1	1																															
10	弓	1	0		1	1	1	60070	3	1				1	60040	3	1																								
11	弓	1	0		1	1	1	60230	11	1																															
12	弓	1	0		1	1	1	60120	3	1																															
13	弓	1	0		1	1	1	60100	11	1																															
14	弓	1	0		1	1	1	60150	11	1																															
15	弓	1	0		1	1	1	60152	3	1				1	60140	3	1																								
16	弓	1	0		1	1	1	60232	11	1																															
17	弓	1	0		1	1	1	60091	11	1																															
18	弓	1	0		1	1	1	60121	11	1																															
19	弓	1	0		1	1	1	60170	11	1																															
20	弓	1	0		2	1	300	60130	3	1				99999999	60081	3	1																								
21	弓	1	0		2	1	180	60071	21	1				99999999	60020	21	1																								
22	弓	1	0		2	1	180	60140	21	1				99999999	60230	21	1																								
23	弓	1	0		2	1	180	60100	21	1				99999999	60090	21	1																								
24	弓	1	0		2	1	180	60121	21	1				99999999	60024	21	1																								
25	弓	1	0		3	1	210	60120	24	1				210	60091	24	1				99999999	60170	24	1																	
26	弓	1	0		2	1	180	60232	21	1				99999999	60070	21	1																								
27	弓	1	0		2	1	180	60150	21	1				99999999	60080	21	1																								
28	弓	1	0		2	1	180	60081	23	1				99999999	60050	23	1																								
29	弓	1	0		2	1	180	60152	21	1				99999999	60030	21	1																								
30	弓	1	0		5	1	1	60202	25	1																															
31	弓	1	0		5	1	1	60231	31	1																															
32	弓	1	0		5	1	1	60260	31	1																															
33	弓	1	0		5	1	1	60211	31	1																															
34	弓	1	0		5	1	1	60143	31	1																															
35	弓	1	0		5	1	1	60250	32	1																															
36	弓	1	0		5	1	1	60171	33	1																															
37	弓	1	0		5	1	1	60200	31	1																															
38	弓	1	0		5	1	1	60390	33	1																															
39	弓	1	0		5	1	1	60261	31	1																															
40	弓	1	0		5	1	1	60490	33	1																															
41	弓	1	0		1	1	1	60012	41	1																															
42	弓	1	0		2	1	180	60140	42	1				99999999	60190	42	1																								
43	弓	1	0		5	1	1	60210	41	1																															
44	弓	1	0		2	1	180	60090	42	1				99999999	60260	42	1																								
45	弓	1	0		4	1	1	60022	42	1	60152	42	1																												
46	弓	1	0		2	1	180	60100	42	1				99999999	60200	42	1																								
47	弓	1	0		5	1	1	60251	41	1																															
48	弓	1	0		3	1	180	60080	43	1				180	60232	43	1				99999999	60250	43	1																	
49	弓	1	0		2	1	180	60081	42	1				99999999	60143	42	1																								
50	弓	1	0		5	1	1	60300	41	1																															
51	弓	1	0		5	1	1	60102	51	1																															
52	弓	1	0		2	1	180	60232	52	1				99999999	60261	52	1																								
53	弓	1	0		3	1	180	60120	53	1				180	60170	53	1				99999999	60280	53	1																	
54	弓	1	0		2	1	180	60130	52	1				99999999	60143	52	1																								
55	弓	1	0		5	1	1	60480	51	1																															
56	弓	1	0		2	1	180	60141	52	1				99999999	60490	52	1																								
57	弓	1	0		5	1	1	60481	51	1																															
58	弓	1	0		4	1	180	60230	52	1	60152	52	1																												
59	弓	1	0		2	1	180	60250	52	1				99999999	60390	52	1																								
60	弓	1	0		5	1	1	60420	57	1																															
61	弓	1	0	120	1	1	1	60870	61	1																															
62	弓	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	弓	1	0	120	1	1	1	60151	64	1																															
64	弓	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	弓	1	0	120	1	1	1	60900	61	1																															
66	弓	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	弓	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	弓	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	弓	1	0	120	1	1	1	60880	65	1																															
70	弓	1	0	120	1	1	1	60134	61	1																															
71	弓	1	0	150	1	1	1	60910	71	1																															
72	弓	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	弓	1	0	150	1	1	1	60491	71	1																															
74	弓	1	0	150	1	1	1	60212	71	1																															
75	弓	1	0	150	1	1	1	60391	71	1																															
76	弓	1	0	150	1	1	1	60630	71	1																															
77	弓	1	0	150	1	1	1	60218	71	1																															
78	弓	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	弓	1	0	150	1	1	1	60281	71	1																															
80	弓	1	0	150	1	1	1	60440	74	1																															
81	弓	1	0	150	1	1	1	60450	107	1																															
82	弓	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	弓	1	0	150	1	1	1	60441	109	1																															
84	弓	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	弓	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	弓	1	0	150	1	1	1	60470	112	1																															
87	弓	1	0	150	1	1	1	60910	113	1																															
88	弓	1	0	150	1	1	1	60871	113	1																															
89	弓	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	弓	1	0	150	1	1	1	60631	113	1																															
91	弓	1	0	150	1	1	1	60710	113	1																															
92	弓	1	0	150	1	1	1	60301	113	1																															
93	弓	1	0	150	1	1	1	60890	113	1																															
94	弓	1	0	150	1	1	1	60920	113	1																															
95	弓	1	0	150	1	1	1	60360	113	1																															
96	弓	1	0	150	1	1	1	60361	113	1																															
97	弓	1	0	150	1	1	1	60670	113	1																															
98	弓	1	0	150	1	1	1	60800	113	1																															
99	弓	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=弩
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	弩	1	0		1	1	1	60050	3	1																															
2	弩	1	0		1	1	1	60024	1	1																															
3	弩	1	0		1	1	1	60040	1	1																															
4	弩	1	0		1	1	1	60030	3	1																															
5	弩	1	0		1	1	1	60051	4	1				1	60080	3	1																								
6	弩	1	0		1	1	1	60041	1	1																															
7	弩	1	0		1	1	1	60070	1	1																															
8	弩	1	0		1	1	1	60011	1	1																															
9	弩	1	0		1	1	1	60110	1	1																															
10	弩	1	0		1	1	1	60060	3	1				1	60090	3	1																								
11	弩	1	0		1	1	1	60100	11	1																															
12	弩	1	0		1	1	1	60120	3	1																															
13	弩	1	0		1	1	1	60140	11	1																															
14	弩	1	0		1	1	1	60150	11	1																															
15	弩	1	0		1	1	1	60230	3	1				1	60232	3	1																								
16	弩	1	0		1	1	1	60121	11	1																															
17	弩	1	0		1	1	1	60152	11	1																															
18	弩	1	0		1	1	1	60081	11	1																															
19	弩	1	0		1	1	1	60130	11	1																															
20	弩	1	0		2	1	300	60170	3	1				99999999	60091	3	1																								
21	弩	1	0		2	1	180	60140	21	1				99999999	60050	23	1																								
22	弩	1	0		2	1	180	60120	23	1				99999999	60041	21	1																								
23	弩	1	0		2	1	180	60230	21	1				99999999	60051	23	1																								
24	弩	1	0		2	1	180	60150	21	1				99999999	60080	21	1																								
25	弩	1	0		3	1	210	60121	24	1				210	60041	24	1				99999999	60091	24	1																	
26	弩	1	0		2	1	180	60070	21	1				99999999	60051	23	1																								
27	弩	1	0		2	1	180	60090	21	1				99999999	60100	21	1																								
28	弩	1	0		2	1	180	60081	23	1				99999999	60071	21	1																								
29	弩	1	0		2	1	180	60232	21	1				99999999	60152	21	1																								
30	弩	1	0		5	1	1	60210	25	1																															
31	弩	1	0		5	1	1	60190	31	1																															
32	弩	1	0		5	1	1	60231	31	1																															
33	弩	1	0		5	1	1	60143	31	1																															
34	弩	1	0		5	1	1	60211	31	1																															
35	弩	1	0		5	1	1	60261	32	1																															
36	弩	1	0		5	1	1	60200	31	1																															
37	弩	1	0		5	1	1	60171	33	1																															
38	弩	1	0		5	1	1	60390	33	1																															
39	弩	1	0		5	1	1	60251	33	1																															
40	弩	1	0		5	1	1	60490	33	1																															
41	弩	1	0		1	1	1	60012	41	1																															
42	弩	1	0		2	1	180	60232	42	1				99999999	60210	42	1																								
43	弩	1	0		5	1	1	60260	41	1																															
44	弩	1	0		2	1	180	60081	42	1				99999999	60190	42	1																								
45	弩	1	0		4	1	1	60170	42	1	60041	42	1																												
46	弩	1	0		2	1	180	60230	42	1				99999999	60231	42	1																								
47	弩	1	0		5	1	1	60250	41	1																															
48	弩	1	0		3	1	180	60150	43	1				180	60080	43	1				99999999	60211	43	1																	
49	弩	1	0		2	1	180	60140	42	1				99999999	60143	42	1																								
50	弩	1	0		5	1	1	60300	41	1																															
51	弩	1	0		5	1	1	60102	51	1																															
52	弩	1	0		2	1	180	60141	52	1				99999999	60210	52	1																								
53	弩	1	0		3	1	180	60011	53	1				180	60100	53	1				99999999	60231	53	1																	
54	弩	1	0		2	1	180	60131	52	1				99999999	60490	52	1																								
55	弩	1	0		5	1	1	60480	51	1																															
56	弩	1	0		2	1	180	60152	52	1				99999999	60261	52	1																								
57	弩	1	0		5	1	1	60481	51	1																															
58	弩	1	0		4	1	180	60012	52	1	60150	52	1																												
59	弩	1	0		2	1	180	60200	52	1				99999999	60280	52	1																								
60	弩	1	0		5	1	1	60420	57	1																															
61	弩	1	0	120	1	1	1	60870	61	1																															
62	弩	1	0	120	1	1	1	60280	63	1				1	60280	63	1																								
63	弩	1	0	120	1	1	1	60151	64	1																															
64	弩	1	0	120	1	1	1	60251	63	1				1	60211	63	1																								
65	弩	1	0	120	1	1	1	60900	61	1																															
66	弩	1	0	120	1	1	1	60480	63	1				1	60481	63	1																								
67	弩	1	0	120	1	1	1	60420	62	1				1	60420	62	1																								
68	弩	1	0	120	1	1	1	60390	63	1				1	60290	63	1																								
69	弩	1	0	120	1	1	1	60880	65	1																															
70	弩	1	0	120	1	1	1	60134	61	1																															
71	弩	1	0	150	1	1	1	60910	71	1																															
72	弩	1	0	150	4	1	1	60201	72	1	60201	72	1																												
73	弩	1	0	150	1	1	1	60491	71	1																															
74	弩	1	0	150	1	1	1	60212	71	1																															
75	弩	1	0	150	1	1	1	60391	71	1																															
76	弩	1	0	150	1	1	1	60630	71	1																															
77	弩	1	0	150	1	1	1	60218	71	1																															
78	弩	1	0	150	4	1	1	60260	73	1	60261	73	1																												
79	弩	1	0	150	1	1	1	60281	71	1																															
80	弩	1	0	150	1	1	1	60440	74	1																															
81	弩	1	0	150	1	1	1	60450	107	1																															
82	弩	1	0	150	4	1	1	60141	108	1	60143	108	1																												
83	弩	1	0	150	1	1	1	60441	109	1																															
84	弩	1	0	150	2	1	180	60280	110	1				99999999	60281	110	1																								
85	弩	1	0	150	2	1	180	60421	111	1				99999999	60421	111	1																								
86	弩	1	0	150	1	1	1	60470	112	1																															
87	弩	1	0	150	1	1	1	60910	113	1																															
88	弩	1	0	150	1	1	1	60871	113	1																															
89	弩	1	0	150	1	1	1	60440	113	1				1	60880	113	1																								
90	弩	1	0	150	1	1	1	60631	113	1																															
91	弩	1	0	150	1	1	1	60710	113	1																															
92	弩	1	0	150	1	1	1	60301	113	1																															
93	弩	1	0	150	1	1	1	60890	113	1																															
94	弩	1	0	150	1	1	1	60920	113	1																															
95	弩	1	0	150	1	1	1	60360	113	1																															
96	弩	1	0	150	1	1	1	60361	113	1																															
97	弩	1	0	150	1	1	1	60670	113	1																															
98	弩	1	0	150	1	1	1	60800	113	1																															
99	弩	1	0	150	4	1	1	60800	110	1	60800	110	1																												
#============End of sheet============

#============Begin of sheet============
@Sheet=斩斧
层数	武器名称	是否可以携带随行猫	是否奇烈	怪物等级	刷怪模式	区域编号	第一波刷新时间点	刷新怪物1-1	属性修饰策略1-1	系数1-1	刷新怪物1-2	属性修饰策略1-2	系数1-2	第二波刷新时间点	刷新怪物2-1	属性修饰策略2-1	系数2-1	刷新怪物2-2	属性修饰策略2-2	系数2-2	第三波刷新时间点	刷新怪物3-1	属性修饰策略3-1	系数3-1	刷新怪物3-2	属性修饰策略3-2	系数3-2	第四波刷新时间点	刷新怪物4-1	属性修饰策略4-1	系数4-1	刷新怪物4-2	属性修饰策略4-2	系数4-2	第五波刷新时间点	刷新怪物5-1	属性修饰策略5-1	系数5-1	刷新怪物5-2	属性修饰策略5-2	系数5-2
1	斩斧	1	0		1	1	1	60060	1	1																															
2	斩斧	1	0		1	1	1	60030	3	1																															
3	斩斧	1	0		1	1	1	60040	1	1																															
4	斩斧	1	0		1	1	1	60050	3	1																															
5	斩斧	1	0		1	1	1	60070	3	1				1	60080	3	1																								
6	斩斧	1	0		1	1	1	60024	1	1																															
7	斩斧	1	0		1	1	1	60041	1	1																															
8	斩斧	1	0		1	1	1	60051	4	1																															
9	斩斧	1	0		1	1	1	60110	1	1																															
10	斩斧	1	0		1	1	1	60090	3	1				1	60011	3	1																								
11	斩斧	1	0		1	1	1	60140	11	1																															
12	斩斧	1	0		1	1	1	60071	11	1																															
13	斩斧	1	0		1	1	1	60120	3	1																															
14	斩斧	1	0		1	1	1	60230	11	1																															
15	斩斧	1	0		1	1	1	60081	3	1				1	60150	3	1																								
16	斩斧	1	0		1	1	1	60100	11	1																															
17	斩斧	1	0		1	1	1	60152	11	1																															
18	斩斧	1	0		1	1	1	60091	11	1																															
19	斩斧	1	0		1	1	1	60130	11	1																															
20	斩斧	1	0		2	1	300	60170	3	1				99999999	60121	3	1																								
21	斩斧	1	0		2	1	180	60140	21	1				99999999	60030	21	1																								
22	斩斧	1	0		2	1	180	60091	21	1				99999999	60024	21	1																								
23	斩斧	1	0		2	1	180	60150	21	1				99999999	60080	21	1																								
24	斩斧	1	0		2	1	180	60081	23	1				99999999	60040	21	1																								
25	斩斧	1	0		3	1	210	60070	24	1				210	60071	24	1				99999999	60022	24	1																	
26	斩斧	1	0		2	1	180	60090	21	1				99999999	60100	21	1																								
27	斩斧	1	0		2	1	180	60051	23	1				99999999	60230	21	1																								
28	斩斧	1	0		2	1	180	60170	21	1				99999999	60041	21	1																								
29	斩斧	1	0		2	1	180	60120	23	1				99999999	60121	21	1																								
30	斩斧	1	0		5	1	1	60231	22	1																															
31	斩斧	1	0		5	1	1	60141	31	1																															
32	斩斧	1	0		5	1	1	60210	31	1																															
33	斩斧	1	0		5	1	1	60190	31	1																															
34	斩斧	1	0		5	1	1	60390	33	1																															
35	斩斧	1	0		5	1	1	60143	32	1																															
36	斩斧	1	0		5	1	1	60200	31	1																															
37	斩斧	1	0		5	1	1	60211	31	1																															
38	斩斧	1	0		5	1	1	60171	33	1																															
39	斩斧	1	0		5	1	1	60251	33	1																															
40	斩斧	1	0		5	1	1	60250	32	1																															
41	斩斧	1	0		1	1	1	60012	41	1																															
