#TSV
#============Begin of sheet============
@Sheet=关卡评价奖励
奖励ID	评价	物品1	数量1	物品2	数量2	物品3	数量3	物品4	数量4
100151	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100153	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100154	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100155	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100171	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100251	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100255	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100256	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100258	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100259	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100260	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100351	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100352	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100353	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100355	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100356	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100357	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100453	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100454	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100455	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100456	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100457	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100458	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100461	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100553	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100554	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100555	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100651	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100652	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100653	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100654	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100661	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100751	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100754	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100756	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100757	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100851	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100852	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100853	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100854	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100855	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
101152	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
101153	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
101154	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
101155	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
101158	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
101162	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5					1	
100152	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100156	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100157	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100159	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100160	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100161	0	0	100	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100163	600	0	0	0	100163	0	0	0	0	0	0	0	0	0		0	75	5						
100164	600	0	0	0	100164	0	0	0	0	0	0	0	0	0		0	75	5						
100165	600	0	0	0	100165	0	0	0	0	0	0	0	0	0		0	75	5						
100166	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100167	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100168	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100169	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100170	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100172	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100173	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100174	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100175	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100176	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100177	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100178	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100179	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100180	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100181	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100182	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100183	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100184	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100185	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100186	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100187	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100188	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100189	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100199	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
100252	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100253	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100254	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100257	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100261	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100262	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100263	600	0	0	0	100263	0	0	0	0	0	0	0	0	0		0	75	5						
100264	600	0	0	0	100264	0	0	0	0	0	0	0	0	0		0	75	5						
100265	600	0	0	0	100265	0	0	0	0	0	0	0	0	0		0	75	5						
100266	600	0	0	0	100266	0	0	0	0	0	0	0	0	0		0	75	5						
100267	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100268	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100269	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100270	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100271	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100272	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100273	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100274	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100275	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100276	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100277	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100278	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100279	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100280	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100281	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100282	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100283	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100284	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100285	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100286	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100287	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100288	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100289	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100299	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
100354	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100358	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100359	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100360	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100361	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100362	600	0	0	0	100362	0	0	0	0	0	0	0	0	0		0	75	5						
100363	600	0	0	0	100363	0	0	0	0	0	0	0	0	0		0	75	5						
100364	600	0	0	0	100364	0	0	0	0	0	0	0	0	0		0	75	5						
100365	600	0	0	0	100365	0	0	0	0	0	0	0	0	0		0	75	5						
100366	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100367	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100368	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100369	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100370	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100371	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100372	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100373	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100374	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100375	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100376	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100377	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100378	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100379	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100380	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100381	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100382	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100383	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100384	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100385	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100386	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100387	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100388	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100389	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100399	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
100451	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100452	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100459	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100460	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100462	600	0	0	0	100462	0	0	0	0	0	0	0	0	0		0	75	5						
100463	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100464	600	0	0	0	100464	0	0	0	0	0	0	0	0	0		0	75	5						
100466	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100467	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100468	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100469	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100470	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100471	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100472	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100473	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100474	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100475	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100476	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100477	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100478	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100479	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100480	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100481	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100482	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100483	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100484	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100485	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100486	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100487	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100488	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100489	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100499	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
100551	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100552	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100556	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100557	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100558	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100559	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100560	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100561	600	0	0	0	100561	0	0	0	0	0	0	0	0	0		0	75	5						
100562	600	0	0	0	100562	0	0	0	0	0	0	0	0	0		0	75	5						
100563	600	0	0	0	100563	0	0	0	0	0	0	0	0	0		0	75	5						
100564	600	0	0	0	100564	0	0	0	0	0	0	0	0	0		0	75	5						
100565	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100566	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100567	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100568	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100569	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100570	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100571	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100572	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100573	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100574	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100575	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100576	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100577	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100578	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100579	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100580	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100581	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100582	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100583	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100584	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100585	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100586	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100587	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100588	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100589	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100599	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
100655	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100656	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100657	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100658	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100659	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100660	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100662	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100663	600	0	0	0	100663	0	0	0	0	0	0	0	0	0		0	75	5						
100664	600	0	0	0	100664	0	0	0	0	0	0	0	0	0		0	75	5						
100665	600	0	0	0	100665	0	0	0	0	0	0	0	0	0		0	75	5						
100666	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100667	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100668	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100669	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100670	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100671	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100672	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100673	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100674	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100675	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100676	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100677	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100678	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100679	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100680	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100681	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100682	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100683	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100684	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100685	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100686	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100687	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100688	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100689	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100699	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
100753	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100755	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100758	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100759	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100760	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100761	600	0	0	0	100761	0	0	0	0	0	0	0	0	0		0	75	5						
100762	600	0	0	0	100762	0	0	0	0	0	0	0	0	0		0	75	5						
100763	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100764	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100765	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100766	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100767	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100768	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100769	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100770	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100771	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100772	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100773	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100774	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100775	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100776	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100777	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100778	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100779	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100780	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100781	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100782	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100783	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100784	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100785	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100786	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100787	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100788	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100789	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100799	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
100899	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
100999	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
101099	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
101151	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
101156	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
101157	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
101161	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
101199	0	0	0	0	0	0	0	0	4	4	1	1	1	3		0	100	5						
140051	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
140052	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
140053	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100752	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100856	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100857	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100858	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100859	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100860	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100861	600	0	0	0	100861	0	0	0	0	0	0	0	0	0		0	75	5						
100862	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100863	600	0	0	0	100863	0	0	0	0	0	0	0	0	0		0	75	5						
100864	600	0	0	0	100864	0	0	0	0	0	0	0	0	0		0	75	5						
100865	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100866	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100867	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100868	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100869	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100870	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100871	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100872	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100873	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100874	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100875	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100876	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100877	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100878	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100879	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100880	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100881	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100882	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100883	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100885	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100886	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100887	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100888	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100889	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100951	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100952	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100953	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100954	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100955	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100956	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100957	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100958	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100959	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100960	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100961	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100962	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100963	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100964	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100965	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100966	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100967	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100968	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100969	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100970	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100971	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100972	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100973	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100974	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100975	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100976	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100977	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100978	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100979	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
100980	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	75	5						
