#TSV
#============Begin of sheet============
@Sheet=主次分支
ID	图片资源	分支小Icon	分支警句	挑战分支编号	能力分支编号	纪录分支编号	分支名称	默认等级	分支解锁类型	分支解锁值
0	small1a	small1	警句1	S	s	R	总星级	1	0	
1	small2a	small2	警句2	A	a	R	收藏	1	0	
2	small5a	small5	警句3	D	d	R	生产	1	0	
3	small4a	small4	警句4	C	c	R	艾露	1	0	
4	small7a	small7	警句5	H	h	R	武器	1	0	
5	small3a	small3	警句6	B	b	R	见闻	1	0	
6	small6a	small6	警句7	E	e	R	狩猎	1	0	
7	small8a	small8	警句8	F	f	R	猎团	1	0	
8	small9a	small9	警句9	G	g	R	竞争	0	2	999
#============End of sheet============

#============Begin of sheet============
@Sheet=分支等级
星级分支编号	等级	需要积分	日常积分上限
1	1	300	150
1	2	800	150
1	3	1700	150
1	4	8630	150
1	5	8630	150
2	1	100	150
2	2	300	150
2	3	700	150
2	4	2765	150
2	5	2765	150
3	1	100	150
3	2	300	150
3	3	500	150
3	4	1165	150
3	5	1165	150
4	1	100	150
4	2	300	150
4	3	500	150
4	4	5340	150
4	5	5340	150
5	1	100	150
5	2	300	150
5	3	500	150
5	4	1295	150
5	5	1295	150
6	1	200	150
6	2	500	150
6	3	1200	150
6	4	8585	150
6	5	8585	150
7	1	100	150
7	2	200	150
7	3	400	150
7	4	745	150
7	5	745	150
8	1	200	150
8	2	500	150
8	3	1000	150
8	4	9999	150
8	5	9999	150
#============End of sheet============

#============Begin of sheet============
@Sheet=总览数据
星级等级	FeatureTags	星级事项
1		完成主线任务[属于猎人的星]
2		完成挑战卡片《二星猎人》
2		取得500星级积分
3		完成挑战卡片《三星猎人》
3		取得1500星级积分
4		完成挑战卡片《四星猎人》
4		取得3500星级积分
5		完成挑战卡片《五星猎人》
5		取得7000星级积分
6		完成挑战卡片《六星猎人》
6		取得12000星级积分
#============End of sheet============

#============Begin of sheet============
@Sheet=挑战卡片
卡片编号	FeatureTags	卡片名称	是否有效	所属分支编号	旧挑战积分	挑战积分	关联成就	解锁猎人星级	解锁分支等级	解锁黄金猎人星级	解锁玩家等级	解锁玩家HR等级	解锁前置挑战卡片	挑战目标最少数量	挑战目标类型	挑战目标参数1	挑战目标参数2	挑战目标参数3	挑战目标参数4	目标值	物品奖励	物品奖励绑定类型	卡片序号	卡片图片	卡片描述	卡片标题	是否隐藏	卡片等级	卡片颜色	卡片警句编号	是否全服公告	是否不弹窗	卡片星级	显示类型	CardFinishedSimpleDesc
11055		骨锤派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	142711	0		1			51	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11055		骨锤派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	142708	0		1			51	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11055		骨锤派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	143711	0		1			51	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11055		骨锤派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	143708	0		1			51	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11055		骨锤派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	144711	0		1			51	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11055		骨锤派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	144708	0		1			51	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11056		骨锤派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	54015	0		1			52	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11056		骨锤派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	54034	0		1			52	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11056		骨锤派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	142005	0		1			52	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11056		骨锤派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	142024	0		1			52	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11056		骨锤派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	143005	0		1			52	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11056		骨锤派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	143024	0		1			52	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11056		骨锤派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	144005	0		1			52	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11056		骨锤派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	144024	0		1			52	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11057		骨锤派生系V	1	1	20	20		1	0	0	0	0	0	0	4	14	54013	0		1			53	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11057		骨锤派生系V	1	1	20	20		1	0	0	0	0	0	0	4	14	141003	0		1			53	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11057		骨锤派生系V	1	1	20	20		1	0	0	0	0	0	0	4	14	142003	0		1			53	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11057		骨锤派生系V	1	1	20	20		1	0	0	0	0	0	0	4	14	54155	0		1			53	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11057		骨锤派生系V	1	1	20	20		1	0	0	0	0	0	0	4	14	54594	0		1			53	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11057		骨锤派生系V	1	1	20	20		1	0	0	0	0	0	0	4	14	54263	0		1			53	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11057		骨锤派生系V	1	1	20	20		1	0	0	0	0	0	0	4	14	143253	0		1			53	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11057		骨锤派生系V	1	1	20	20		1	0	0	0	0	0	0	4	14	144253	0		1			53	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11058		铁锤派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	54016	0		1			54	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11058		铁锤派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	54022	0		1			54	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11058		铁锤派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	54119	0		1			54	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11058		铁锤派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	54137	0		1			54	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11058		铁锤派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	144012	0		1			54	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11058		铁锤派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	144109	0		1			54	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11058		铁锤派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	144127	0		1			54	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11058		铁锤派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	144582	0		1			54	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11059		铁锤派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	54022	0		1			55	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11059		铁锤派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	54116	0		1			55	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11059		铁锤派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	54167	0		1			55	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11059		铁锤派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	142106	0		1			55	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11059		铁锤派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	54595	0		1			55	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11059		铁锤派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	144106	0		1			55	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11059		铁锤派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	144157	0		1			55	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11059		铁锤派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	144585	0		1			55	weapon_15	<2>	收集以下大锤：		1	1	0	0		3	2	
11060		王者派生系·大锤	1	1	15	15		1	0	0	0	0	0	0	4	14	143743	0		1			56	weapon_14	<2>	收集以下大锤：		1	1	0	0		3	2	
11060		王者派生系·大锤	1	1	15	15		1	0	0	0	0	0	0	4	14	143745	0		1			56	weapon_14	<2>	收集以下大锤：		1	1	0	0		3	2	
11060		王者派生系·大锤	1	1	15	15		1	0	0	0	0	0	0	4	14	144743	0		1			56	weapon_14	<2>	收集以下大锤：		1	1	0	0		3	2	
11060		王者派生系·大锤	1	1	15	15		1	0	0	0	0	0	0	4	14	144745	0		1			56	weapon_14	<2>	收集以下大锤：		1	1	0	0		3	2	
11061		晓风派生系I·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	59011	0		1			57	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11061		晓风派生系I·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	59012	0		1			57	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11061		晓风派生系I·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	192002	0		1			57	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11061		晓风派生系I·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	59131	0		1			57	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11061		晓风派生系I·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	193002	0		1			57	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11061		晓风派生系I·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	193121	0		1			57	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11061		晓风派生系I·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	194002	0		1			57	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11061		晓风派生系I·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	194121	0		1			57	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11062		晓风派生系II·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	59032	0		1			58	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11062		晓风派生系II·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	59072	0		1			58	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11062		晓风派生系II·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	192022	0		1			58	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11062		晓风派生系II·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	192062	0		1			58	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11062		晓风派生系II·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	193022	0		1			58	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11062		晓风派生系II·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	193062	0		1			58	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11062		晓风派生系II·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	194022	0		1			58	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11062		晓风派生系II·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	194062	0		1			58	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11063		晓风派生系III·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	191001	0		1			59	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11063		晓风派生系III·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	192001	0		1			59	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11063		晓风派生系III·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	59637	0		1			59	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11063		晓风派生系III·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	193627	0		1			59	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11063		晓风派生系III·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	193704	0		1			59	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11063		晓风派生系III·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	194627	0		1			59	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11063		晓风派生系III·弓	1	1	20	20		1	0	0	0	0	0	0	4	14	194704	0		1			59	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	59013	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	59014	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	192004	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	59052	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	192042	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	193004	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	193042	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	194004	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11064		骨弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	194042	0		1			60	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11065		骨弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	59021	0		1			61	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11065		骨弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	59041	0		1			61	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11065		骨弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	192011	0		1			61	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11065		骨弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	192031	0		1			61	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11065		骨弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	193031	0		1			61	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11065		骨弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	194011	0		1			61	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11065		骨弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	194031	0		1			61	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11066		骨弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	59015	0		1			62	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11066		骨弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	59034	0		1			62	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11066		骨弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	192024	0		1			62	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11066		骨弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	193005	0		1			62	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11066		骨弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	193024	0		1			62	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11066		骨弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	194005	0		1			62	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11066		骨弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	194024	0		1			62	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11067		骨弓派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	191003	0		1			63	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11067		骨弓派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	192003	0		1			63	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11067		骨弓派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	59154	0		1			63	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11067		骨弓派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	59594	0		1			63	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11067		骨弓派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	193144	0		1			63	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11067		骨弓派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	193584	0		1			63	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11067		骨弓派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	194144	0		1			63	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11067		骨弓派生系IV	1	1	20	20		1	0	0	0	0	0	0	4	14	194584	0		1			63	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11068		铁弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	59016	0		1			64	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11068		铁弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	59022	0		1			64	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11068		铁弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	192012	0		1			64	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11068		铁弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	59118	0		1			64	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11068		铁弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	193012	0		1			64	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11068		铁弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	193108	0		1			64	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11068		铁弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	194012	0		1			64	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11068		铁弓派生系I	1	1	20	20		1	0	0	0	0	0	0	4	14	194108	0		1			64	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11069		铁弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	59035	0		1			65	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11069		铁弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	59119	0		1			65	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11069		铁弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	192025	0		1			65	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11069		铁弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	192109	0		1			65	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11069		铁弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	193025	0		1			65	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11069		铁弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	193109	0		1			65	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11069		铁弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	194025	0		1			65	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11069		铁弓派生系II	1	1	20	20		1	0	0	0	0	0	0	4	14	194109	0		1			65	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11070		铁弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	191006	0		1			66	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11070		铁弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	59166	0		1			66	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11070		铁弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	59233	0		1			66	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11070		铁弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	193156	0		1			66	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11070		铁弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	193223	0		1			66	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11070		铁弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	194156	0		1			66	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11070		铁弓派生系III	1	1	20	20		1	0	0	0	0	0	0	4	14	194223	0		1			66	weapon_18	<2>	收集以下弓：		1	1	0	0		3	2	
11071		王者派生系·弓	1	1	15	15		1	0	0	0	0	0	0	4	14	59743	0		1			67	weapon_17	<2>	收集以下弓：		1	1	0	0		3	2	
11071		王者派生系·弓	1	1	15	15		1	0	0	0	0	0	0	4	14	59745	0		1			67	weapon_17	<2>	收集以下弓：		1	1	0	0		3	2	
11071		王者派生系·弓	1	1	15	15		1	0	0	0	0	0	0	4	14	194743	0		1			67	weapon_17	<2>	收集以下弓：		1	1	0	0		3	2	
11071		王者派生系·弓	1	1	15	15		1	0	0	0	0	0	0	4	14	194745	0		1			67	weapon_17	<2>	收集以下弓：		1	1	0	0		3	2	
11072		晓风派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55011	0		1			68	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11072		晓风派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55012	0		1			68	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11072		晓风派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	152002	0		1			68	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11072		晓风派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55131	0		1			68	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11072		晓风派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153002	0		1			68	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11072		晓风派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153121	0		1			68	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11072		晓风派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	154002	0		1			68	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11072		晓风派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	154121	0		1			68	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11073		晓风派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55032	0		1			69	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11073		晓风派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55075	0		1			69	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11073		晓风派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	152022	0		1			69	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11073		晓风派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	152065	0		1			69	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11073		晓风派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153022	0		1			69	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11073		晓风派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153065	0		1			69	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11073		晓风派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	154022	0		1			69	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11073		晓风派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	154065	0		1			69	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11074		晓风派生系III·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	151001	0		1			70	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11074		晓风派生系III·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	152001	0		1			70	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11074		晓风派生系III·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153626	0		1			70	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11074		晓风派生系III·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55636	0		1			70	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11074		晓风派生系III·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153626	0		1			70	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11074		晓风派生系III·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153757	0		1			70	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11074		晓风派生系III·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	154626	0		1			70	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11074		晓风派生系III·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	154757	0		1			70	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55014	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55015	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55052	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	152005	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	152042	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153005	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	153042	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	154005	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11075		骨刀派生系I·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	154042	0		1			71	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11076		骨刀派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55013	0		1			72	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11076		骨刀派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	55034	0		1			72	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
11076		骨刀派生系II·双刀	1	1	20	20		1	0	0	0	0	0	0	4	14	152003	0		1			72	weapon_21	<2>	收集以下双刀：		1	1	0	0		3	2	
