#TSV
#============Begin of sheet============
@Sheet=人物buff80-83
基因ID	name	type	增益标志	基因类型1	基因类型2	group	是否被动Buff	持续时间	有效状态	状态参数1	状态参数2	生效状态	有效地区	叠加类别	叠加类型	叠加上限	部位叠加	互斥标志	互斥优先级	下线保留	死亡清除	离开副本清除	触发条件	触发参数	触发几率	触发次数	触发特效	触发CD	CD组	效果类型	效果参数1	效果参数2	效果参数3	效果参数4	打断是否生效	结束时效果类型	结束时效果参数1	结束时效果参数2	结束时效果参数3	结束时效果参数4	Icon	Icon显示信息	基因tips	开启特效	开启提示	关闭特效	关闭提示	中断特效	中断提示	音效	异常受击状态Flag
80000025	温泉							500						时间更新,次数不变							1	1	EOT触发					500		固定百分比加血	3										buff72		温泉让你忘记了伤痛！	1							
80000026	酸		0	燃烧				10000						时间更新,次数不变							1	1	EOT触发					1000		固定百分比扣红血	5										buff86		每秒钟损失一定的生命值	25							
80000026																					1	1	翻滚							移除BUFF类型	燃烧																				
80000027	移动速度增加！		1					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	15								buff20		你获得了短暂的活力！移动速度得到了增强!	602;702							
80000027	移动速度增加！		1					5000						时间更新,次数不变							1	1								人物属性修饰	CharAnimSpeed	百分比修改	15								buff20		你获得了短暂的活力！移动速度得到了增强!	602;702							
80000028	鬼人觉醒药剂		1					30000						时间更新,次数不变							1	1								人物属性修饰	PlayerAtk	百分比修改	125								buff75		你的攻击力得到了极大的提升！但受到的伤害会加深！	800;65							
80000028	鬼人觉醒药剂		1					30000						时间更新,次数不变							1	1								伤害结果修饰	伤害	百分比修改	50								buff75		你的攻击力得到了极大的提升！但受到的伤害会加深！	800;65							
80000029								1000																																											
80000030	我也是醉了！		0			1405007		10000						时间更新,次数不变							1	1								醉酒状态											buff107			78							
80000031	东西南北在哪里？！		0			1405006		20000						时间更新,次数不变							1	1								方向翻转											buff106			79							
80000032	缓释型生命粉尘							500						时间更新,次数不变				80000032	2		1	1	EOT触发					500		固定百分比加血	10										buff72		你身处生命粉尘中，持续恢复体力	1							
80000033	正在吸入粉尘							10000						保留旧的							1	1	EOT触发					20000		获得BUFF	80000034										buff87		正在吸入粉尘								
80000034	粉尘过敏							60000						时间更新,次数不变		1		80000032	1		1	1																			buff87		你吸入了过多的粉尘，缓缓吧！								
80000035	正在搬运		1	搬运		10001		0						时间更新,次数不变							1	1								异常状态	搬运	20									buff19		搬运火药岩会慢慢损失体力，翻滚及被攻击会使火药岩爆炸！	82	7680	0	7679	66	7679		
80000035	正在搬运		1	搬运		10001		0						时间更新,次数不变		1					1	1	放下搬运物品							生成场景物件	Bomb.PowderRock										buff19		搬运火药岩会慢慢损失体力，翻滚及被攻击会使火药岩爆炸！	82	7680		7679		7679		
80000035	正在搬运		1					0						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-20								buff19		搬运火药岩会慢慢损失体力，翻滚及被攻击会使火药岩爆炸！	82	7680		7679		7679		
80000035	正在搬运		1					20000						时间更新,次数不变		1		10001	1		1	1	EOT触发	延迟触发				1000		固定扣绿血	1										buff19		搬运火药岩会慢慢损失体力，翻滚及被攻击会使火药岩爆炸！	82	7680		7679		7679		
80000036	正在搬运		1	搬运				240000						时间更新,次数不变		1					1	1								异常状态	搬运	20									buff19		冰结岩会随着时间慢慢化掉，请赶快送到交纳箱中!	83	7681	0	7681	84	7682		
80000036	正在搬运		1					240000						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-20										冰结岩会随着时间慢慢化掉，请赶快送到交纳箱中!								
80000037	不使用武器只能脚踢		1					1800000						时间更新,次数不变							0	1								不能使用武器											buff04		你必须遵守规则，不使用武器！用脚踢完成狩猎！								
80000037	不使用武器只能脚踢		1					1800000																						不能使用指定技能	100006201																				
80000038	香草的臭气			臭				20000						时间更新,次数不变				13008	2		1	1								不能使用道具	1										buff14		臭味让你不想吃任何东西	16							
80000039	冰冷彻骨		1					30000						保留旧的				80000039	3		0	1	EOT触发					30000		获得BUFF	80000043										buff01		你感觉你快要被冻僵了，快变成雪人了	45							
80000040	温暖的火堆		1					1000						保留旧的				80000039	1		0	1	EOT触发	立即触发				3000		移除BUFF	80000043										buff108			810							
80000041	正在搬运		1	搬运		10001		0						时间更新,次数不变		1					1	1								异常状态	搬运	20									buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	811	7034	0	7036	812	7036		
80000041	正在搬运		1	搬运		10001		0						时间更新,次数不变		1					1	1	放下搬运物品							生成场景物件	Bomb.LaoShanXieIceBomb										buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	811	7034		7036		7036		
80000042	雪球糊脸		1					100															EOT触发	立即触发				6000000		雪球糊脸																					
80000043	雪夜祭雪人		1					10000						时间更新,次数不变				80000039	2		1	1								异常状态	雪人	20									buff74		在雪夜祭变成雪人是吉利的象征哦！被攻击或者靠近火堆才能解除	204		205		205			
80000043	雪夜祭雪人		1																				EOT触发	立即触发				200000		离开鬼人化																					
80000044	正在搬运		1	搬运				0						时间更新,次数不变		1					1	1								异常状态	搬运	20									buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	64	7707	0	7708	61	7708		
80000044	正在搬运		1					0						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-20										你正在搬运中。翻滚及被攻击都会被打断哦！	64	7707		7708		7708		
80000045	最大生命增加效果		1					3600000						时间更新,次数叠加		5		0	3		1	1								人物属性修饰	CharMaxHP	值修改	20										你的最大生命提升了！							a	
80000046	竞技场的恩赐		1											时间更新,次数不变		1					0	1								最大斩味增加	500000	0																			
80000047	竞技场的恩赐		1											时间更新,次数不变		1					0	1								人物属性修饰	PlayerAtk	百分比修改	50																		
80000048	竞技场的恩赐		1											时间更新,次数不变		1					0	1								人物属性修饰	PlayerAtk	百分比修改	20																		
80000049	竞技场的恩赐		1											时间更新,次数不变		1					0	1								人物属性修饰	PlayerAtk	百分比修改	15																		
80000050	竞技场的恩赐		1											时间更新,次数不变		1					0	1								人物属性修饰	CharDefence	百分比修改	240																		
80000051	超炎热		1											时间更新,次数不变							0	1	EOT触发	立即触发				1000		固定扣绿血	1										buff21		你感觉到超级炎热	46							
80000052	状态异常超弱化							3600000						时间更新,次数不变		1		21054	2	1	0	1								伤害结果修饰	毒积蓄值	百分比修改	-50																		
80000052	状态异常超弱化							3600000						时间更新,次数不变		1		21054	2	1	0	1								伤害结果修饰	眠积蓄值	百分比修改	-50																		
80000052	状态异常超弱化							3600000						时间更新,次数不变		1		21054	2	1	0	1								伤害结果修饰	麻积蓄值	百分比修改	-50																		
80000053	怒气转化率降低							3600000						时间更新,次数不变		1		21054	2	1	0	1								人物属性修饰	RageSpeed	百分比修改	-50																		
80000053	怒气转化率降低							3600000						时间更新,次数不变		1		21054	2	1	0	1								人物属性修饰	RageRatio	百分比修改	-50																		
80000054	钻洞用BUFF							0						时间更新,次数不变		1					1	1								隧道蹲伏																					
80000054	钻洞用BUFF							0						时间更新,次数不变		1					1	1								免疫	全免疫																				
80000055	我也是醉了！		0			1405007		10000						时间更新,次数不变							1	1								醉酒状态											buff107		晕忽忽！	78							
80000056	中毒		0	毒				20000						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比扣绿血	2										buff12		你中毒了！	14							
80000057	减速		0					20000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-65								buff19		速度降低！								
80000058	思维混乱？！		0			1405006		20000						时间更新,次数不变							1	1								方向翻转											buff106		东南西北？！	79							
80000059	思维混乱？！							20000						时间更新,次数不变							1	1								天旋地转											buff107		东南西北？！	269							
80000060	最大生命增加效果		1					3600000						时间更新,次数叠加		5		0	3		1	1								人物属性修饰	CharMaxHP	值修改	10										你的最大生命提升了！							a	
80000061	最大生命增加效果		1					3600000						时间更新,次数叠加		1		0	3		1	1								人物属性修饰	CharMaxHP	值修改	50										你的最大生命提升了！							a	
80000062	友善的剑极狼		1					720000						时间更新,次数不变				80000062	2		0	1								对怪物隐身															6437						
80000063	感谢去除（剑极狼）		1					10000						时间更新,次数不变				80000062	1		1	1								人物属性修饰	CharDefence	百分比修改	0																		
80000064	正在搬运		1	搬运		10001;10002		0						时间更新,次数不变							1	1								异常状态	搬运	20									buff13		搬运炙岩石会慢慢损失体力，翻滚及被攻击会使炙岩石爆炸！	82;15	7084	0	7083	66	7083		
80000064	正在搬运		1	搬运		10001;10002		0						时间更新,次数不变		1					1	1	放下搬运物品							生成场景物件	Bomb.NB4_Stone										buff13		搬运炙岩石会慢慢损失体力，翻滚及被攻击会使炙岩石爆炸！	82;15	7084		7083		7083		
80000064	正在搬运		1			10001;10002		0						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-50								buff13		搬运炙岩石会慢慢损失体力，翻滚及被攻击会使炙岩石爆炸！	82;15	7084		7083		7083		
80000064	正在搬运		1			10001;10002		20000						时间更新,次数不变		1		10001	1		1	1	EOT触发	延迟触发				1000		固定扣绿血	3										buff13		搬运炙岩石会慢慢损失体力，翻滚及被攻击会使炙岩石爆炸！	82;15	7084		7083		7083		
80000065	探索教程1							5000						时间更新,次数不变		1				1	0	1																													
80000066	探索教程2							5000						时间更新,次数不变		1				1	0	1																													
80000067	探索教程3							5000						时间更新,次数不变		1				1	0	1																													
80000068	探索教程4							5000						时间更新,次数不变		1				1	0	1																													
80000069	高台伤害削弱							0						时间更新,次数不变		1		0			0	1								伤害结果修饰	伤害	百分比修改	-80																		
80000070	可以换装			装备可更换				20000						时间更新,次数不变		1		0			0	1																			buff116										
80000071								0						时间更新,次数不变							1	1	EOT触发					1000		固定怪物万分比扣血	10000																				
80000072	生命之源							500						时间更新,次数不变				80000072	2		1	1	EOT触发					500		固定百分比加血	3										buff72		你身处生命之源中，持续恢复体力	1							
80000072	生命之源		1					1000						保留旧的							0	1	EOT触发	立即触发				3000		移除BUFF	19131										buff108			810							
80000072	生命之源		1					1000						保留旧的							0	1	EOT触发	立即触发				3000		移除BUFF	19163																				
80000073	生命之源		1					1000						保留旧的							0	1	EOT触发	立即触发				3000		移除BUFF	19131																				
80000073	生命之源		1					1000						保留旧的							0	1	EOT触发	立即触发				3000		移除BUFF	19163																				
80000074								99999999						时间更新,次数不变		1					0	1	EOT触发	立即触发				3000																							
80000075	正在搬运		1	搬运				0						时间更新,次数不变		1					1	1								异常状态	搬运	20									buff19		你正在搬运中。翻滚及被攻击都会被打断哦！	809	7783	0	7784	66	7784		
80000075	正在搬运		1					0						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	-20										你正在搬运中。翻滚及被攻击都会被打断哦！	809	7783		7784		7784		
80000076	呼吸困难		0					0						时间更新,次数不变		1					1	1								屏幕特效	0										buff_Weak		你感觉越来越喘不过气了！								
80000077	窒息		0					0						时间更新,次数不变		1					1	1	EOT触发	立即触发				100		固定扣绿血	1										buff_Weak		你感觉无法呼吸，即将昏厥！								
80000077	窒息																													屏幕特效	1																				
80000078	水之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	WaterAttack	值修改	100								buff50		暂时获得了水属性攻击力	255	7753						
80000078	水之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	AttrAtkFlag	值修改	1								buff50		暂时获得了水属性攻击力	255							
80000079	火之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	FireAttack	值修改	100								buff49		暂时获得了火属性攻击力	254	7754						
80000079	火之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	AttrAtkFlag	值修改	2								buff49		暂时获得了火属性攻击力	254							
80000080	雷之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	LightningAttack	值修改	100								buff51		暂时获得了雷属性攻击力	253	7755						
80000080	雷之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	AttrAtkFlag	值修改	4								buff51		暂时获得了雷属性攻击力	253							
80000081	龙之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	DragonAttack	值修改	100								buff53		暂时获得了龙属性攻击力	257	7756						
80000081	龙之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	AttrAtkFlag	值修改	8								buff53		暂时获得了龙属性攻击力	257							
80000082	冰之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	IceAttack	值修改	100								buff52		暂时获得了冰属性攻击力	256	7757						
80000082	冰之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	AttrAtkFlag	值修改	16								buff52		暂时获得了冰属性攻击力	256							
80000083	毒之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	PoisonAttack	值修改	100								buff_93		暂时获得了毒属性攻击力	252	7758						
80000083	毒之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	AttrAtkFlag	值修改	64								buff_93		暂时获得了毒属性攻击力	252							
80000084	眠之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	SleepyAttack	值修改	100								buff95		暂时获得了眠属性攻击力	252	7759						
80000084	眠之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	AttrAtkFlag	值修改	128								buff95		暂时获得了眠属性攻击力	252							
80000085	麻之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	ParalysisAttack	值修改	100								buff100		暂时获得了麻痹属性攻击力	252	7760						
80000085	麻之力		1					60000						时间更新,次数不变		1		80000078	1		1	1								人物属性修饰	AttrAtkFlag	值修改	256								buff100		暂时获得了麻痹属性攻击力	252							
80000086	滑翔		1					3600000						时间更新,次数不变		1					1	1								人物滑翔																0		66			
80000086	滑翔		1					3600000						时间更新,次数不变		1					1	1	濒死时			1				重生	百分比修改	10																			
80000087	士气振奋		1					60000						时间更新,次数不变		1					1	1								人物属性修饰	PlayerAtk	百分比修改	100								buff26		士气受到了鼓舞，攻击和移动速度大幅提升								
80000087	士气振奋		1					60000						时间更新,次数不变		1					1	1								人物属性修饰	CharSpeed	百分比修改	30								buff26		士气受到了鼓舞，攻击和移动速度大幅提升								
80000088	大回复		1					500						时间更新,次数不变							1	1	EOT触发	立即触发				1000		固定百分比加血	100													1							
80000089	Warning提醒													时间更新,次数不变							1	1	EOT触发	立即触发				1000																	7786						
80000090	取消滑翔翼													时间更新,次数不变							1	1	EOT触发	立即触发				1000		移除BUFF	80000086																				
80000091	可以换装			装备可更换				99999999						时间更新,次数不变		1		0			0	1																			buff116										
#============End of sheet============

#============Begin of sheet============
@Sheet=场景物体buff89
基因ID	name	type	增益标志	基因类型1	基因类型2	group	是否被动Buff	持续时间	有效状态	状态参数1	状态参数2	生效状态	有效地区	叠加类别	叠加类型	叠加上限	部位叠加	互斥标志	互斥优先级	下线保留	死亡清除	离开副本清除	触发条件	触发参数	触发几率	触发次数	触发特效	触发CD	CD组	效果类型	效果参数1	效果参数2	效果参数3	效果参数4	打断是否生效	结束时效果类型	结束时效果参数1	结束时效果参数2	结束时效果参数3	结束时效果参数4	Icon	Icon显示信息	基因tips	开启特效	开启提示	关闭特效	关闭提示	中断特效	中断提示	音效	异常受击状态Flag
15101														保留旧的				15101	3																									30005							
15102								1500						保留旧的				15101	2																									30006							
15103														保留旧的				15101	1																									30007							
15001																																												30000							
15002																																												30001							
15003																																												30002							
15004														保留旧的				15004	1																									30005							
15005														保留旧的				15004	1																									30006							
15006														保留旧的				15006	1																									30003							
15007														保留旧的				15006	1																									30004							
15008																																												30007							
89000001				水				500																																											
89000002				火				500																																											
89000003				火				500																																											
#============End of sheet============

#============Begin of sheet============
@Sheet=怪物buff85-88
基因ID	name	type	增益标志	基因类型1	基因类型2	group	是否被动Buff	持续时间	有效状态	状态参数1	状态参数2	生效状态	有效地区	叠加类别	叠加类型	叠加上限	部位叠加	互斥标志	互斥优先级	下线保留	死亡清除	离开副本清除	触发条件	触发参数	触发几率	触发次数	触发特效	触发CD	CD组	效果类型	效果参数1	效果参数2	效果参数3	效果参数4	打断是否生效	结束时效果类型	结束时效果参数1	结束时效果参数2	结束时效果参数3	结束时效果参数4	Icon	Icon显示信息	基因tips	开启特效	开启提示	关闭特效	关闭提示	中断特效	中断提示	音效	异常受击状态Flag
11100	桃毛兽之怒		1											时间更新,次数叠加		20					1	1								怪物属性修饰	PhyAtk	百分比修改	10																		
11101	群雄的霸气		1											时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	30																		
11101																					1	1								怪物属性修饰	MaxHealth	百分比修改	50																		
11102	变厚的皮肤		1											时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	200																		
11103	神之恢复力		1					1800000						时间更新,次数不变		1					1	1	EOT触发					1000		固定怪物回血	1000																				
11104	攻之麻痹		1					1800000						时间更新,次数不变		1					1	1								伤害结果修饰	麻积蓄值	值修改	99999999								buff04										
11105	受之麻痹		1					1800000						时间更新,次数不变		1					1	1								被伤害结果修饰	麻积蓄值	值修改	99999999								buff04										
11106	兄弟的义气		1					1800000						时间更新,次数叠加		3					1	1								怪物属性修饰	PhyAtk	百分比修改	50								buff04										
11107	蓝速龙的冤愁		1					1800000						时间更新,次数叠加		20					1	1								怪物属性修饰	PhyAtk	百分比修改	20								buff04										
11108	神之攻击力		1					1800000						时间更新,次数叠加		20					1	1								怪物属性修饰	PhyAtk	百分比修改	100								buff04										
11109	加倍体型		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	Defence	百分比修改	100								buff04										
11110	10秒愤怒		1					10000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	100																		
11111	50%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-50																		
11112	40%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-40																		
11113	30%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-30																		
11114	20%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-20																		
11115	10%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-10																		
11116	50%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	50																		
11117	40%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	40																		
11118	30%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	30																		
11119	20%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	20																		
11120	10%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	10																		
11121	增加100%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	100																		
11122	增加150%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	150																		
11123	增加26%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	26																		
11124	增加250%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	250																		
11125	增加300%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	300																		
11126	掉一半血		0					500						时间更新,次数不变		1					1	1	EOT触发	立即触发				1000		固定怪物扣血	50																				
11127	即死		0					500						时间更新,次数不变		1					1	1	EOT触发	立即触发				1000		固定怪物扣血	9999999																				
11128	10倍攻击力		0					60000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	1000																		
11129	香蕉BUFF		0					9000						时间更新,次数不变		1					1	1	EOT触发					5000		固定怪物扣血	1000																				
11130	小猪的倔强		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	50																		
11130	小猪的倔强		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-50																		
11131	蚊子之巨毒		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	500																		
11131	蚊子之巨毒		0					1800000						时间更新,次数不变		1					1	1								伤害计算因子修饰	威力值	值修改	-10000	PVE																	
11132	雷光虫的真力		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	500																		
11132	雷光虫的真力		0					1800000						时间更新,次数不变		1					1	1								伤害计算因子修饰	威力值	百分比修改	-100	PVE																	
11133	减少20%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-20																		
11134	减少6%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-6																		
11135	增加140%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	140																		
11136	增加460%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	460																		
11137	增加540%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	540																		
11138	增加600%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	600																		
11139	增加720%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	720																		
11140	增加780%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	780																		
11141	增加840%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	840																		
11142	增加920%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	920																		
11143	增加1160%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	1160																		
11144	增加314%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	314																		
11145	增加200%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	200																		
11146	增加1520%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	1520																		
11147	增加2300%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	2300																		
11148	增加226%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	226																		
11149	增加246%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	246																		
11150	增加266%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	266																		
11151	增加293%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	293																		
11152	增加313%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	313																		
11153	增加333%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	333																		
11154	增加353%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	353																		
11155	增加373%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	373																		
11156	毒眠麻积蓄值增加86%		0					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PoisonTriggerMax	百分比修改	86																		
11156	毒眠麻积蓄值增加86%		0					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PalsyTriggerMax	百分比修改	86																		
11156	毒眠麻积蓄值增加86%		0					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	SleepTriggerMax	百分比修改	86																		
11157	失衡值减少6%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	失衡值	百分比修改	133																		
11158	倒地值减少50%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	失衡值	百分比修改	27																		
11159	倒地值增加227%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	失衡值	百分比修改	227																		
11160	部位破坏值增加-13%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	-13																		
11161	部位破坏值增加-4%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	-5																		
11162	部位破坏值增加4%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	4																		
11163	部位破坏值增加29%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	29																		
11164	部位破坏值增加37%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	37																		
11165	部位破坏值增加54%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	54																		
11166	部位破坏值增加79%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	179																		
11167	部位破坏值减少49%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	-49																		
11168	部位破坏值减少45%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	-45																		
11169	部位破坏值减少41%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	-41																		
11170	部位破坏值减少36%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	-36																		
11171	部位破坏值增加195%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	62																		
11172	每秒回血100%		1					1800000						时间更新,次数不变		1					1	1	EOT触发					1000		固定怪物回血	10000																				
11173	倒地值增加88%																													伤害结果部位修饰	失衡值	百分比修改	88																		
11174	野猪父母之力		0					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	500																		
11174	互伤去除		0					1800000						时间更新,次数不变		1					1	1								伤害计算因子修饰	威力值	值修改	-10000	PVE																	
11175	怪物降低攻击力至1%		1					1800000						时间更新,次数叠加		20					1	1								怪物属性修饰	PhyAtk	百分比修改	-99								buff04										
11176	蚊子的霸气		0					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	500																		
11176	蚊子的霸气		0					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	2000																		
11176	蚊子的霸气		0					1800000						时间更新,次数不变		1					1	1								伤害计算因子修饰	威力值	值修改	-10000	PVE																	
11177	魔之攻击力		1					1800000						时间更新,次数叠加		20					1	1								怪物属性修饰	PhyAtk	百分比修改	50								buff04										
11178	超强河狸兽之力		1					1800000						时间更新,次数叠加		20					1	1								怪物属性修饰	PhyAtk	百分比修改	200								buff04										
11178	超强河狸兽之力		1					1800000						时间更新,次数叠加		20					1	1								怪物属性修饰	MaxHealth	百分比修改	100																		
11179	部位破坏值增加29%		0					1800000						时间更新,次数不变		1					1	1								伤害结果部位修饰	破坏值	百分比修改	45																		
11180	王者之力		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	300																		
11180	王者之力		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	50																		
11181	王者之力		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	15000																		
11181	王者之力		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	300																		
11182	王者之力		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	15000																		
11182	王者之力		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	PhyAtk	百分比修改	300																		
11183	50%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-60																		
11184	40%HP		1					1800000						时间更新,次数不变		1					1	1								怪物属性修饰	MaxHealth	百分比修改	-70																		
