#TSV
#============Begin of sheet============
@Sheet=系统提示
提示ID	提示内容	提示位置1	信息颜色1	提示位置2	信息颜色2	提示位置3	信息颜色3	提示位置4	信息颜色4	提示位置5	信息颜色5	对应icon
4655	在盛怒药水的帮助下讨伐3区壮硕的蓝速龙	1	1									
4656	在盛怒药水的帮助下讨伐5区壮硕的野猪	1	1									
4657	在盛怒药水的帮助下讨伐7区壮硕的桃毛兽	1	1									
4658	在盛怒药水的帮助下讨伐1区壮硕的雪狮子	1	1									
4659	在盛怒药水的帮助下讨伐3区壮硕的镰蟹	1	1									
4660	在盛怒药水的帮助下讨伐6区壮硕的盾蟹	1	1									
4661	交纳3区的大怪鸟蛋！	1	1									
4662	交纳7区的沙龙王蛋！	1	1									
4663	交纳7区的青怪鸟蛋！	1	1									
4664	交纳6区的冰雷鸟蛋！	1	1									
4665	交纳5区的眠鸟蛋！	1	1									
4666	交纳6区的尾晶蝎蛋！	1	1									
4667	讨伐肆虐的蓝速龙群！	1	1									
4668	讨伐肆虐的黄速龙群！	1	1									
4669	讨伐肆虐的幼年桃毛兽群！	1	1									
4670	讨伐肆虐的幼年野猪群！	1	1									
4671	讨伐肆虐的幼年镰蟹群！	1	1									
4672	讨伐肆虐的幼年雪狮子群！	1	1									
4673	脚踢幼年河狸兽来讨伐怪物！	1	1									
4674	前往6区探查	1	1									
4675	前往1区收集发光的东西	1	1									
4676	获得了发光的东西	1	1									
4677	你看到有什么东西在闪烁！	1	1									
4678	前往营地下方	1	1									
4679	前往1区讨伐盾蟹	1	1									
4680	返回营地	1	1									
4681	返回营地交纳	1	1									
4682	采集特产鸡腿菇	1	1									
4683	已采集特产鸡腿菇	1	1									
4684	跟上女猎人队	1	1									
4685	前往3区支援	1	1									
4686	狩猎幼年大怪鸟	1	1									
4687	前往5区寻找埃兰	1	1									
4688	狩猎红电龙	1	1									
4689	蓝队全灭了!!	1	1									
4690	红队全灭了!!	1	1									
4691	红队的怪物受伤啦！	10	1									
4692	红队的怪物受到重创啦！	10	1									
4693	红队的怪物伤痕累累啦！	10	1									
4694	红队的怪物奄奄一息啦！	10	1									
4695	蓝队的怪物受伤啦！	10	1									
4696	蓝队的怪物受到重创啦！	10	1									
4697	蓝队的怪物伤痕累累啦！	10	1									
4698	蓝队的怪物奄奄一息啦！	10	1									
4699	通常弹获得了！	10	1									
4700	散弹获得了！	10	1									
4701	贯通弹获得了！	10	1									
4702	彻甲榴弹获得了！	10	1									
4703	天型箭获得了！	10	1									
4704	地型箭获得了！	10	1									
4705	大湖狩猎祭开始拉！	8	2	1	1							
4706	比赛时间结束！	10	1	1	1							
4707	[可选]讨伐闯入的怪物	1	1									
4708	[可选]捕获闯入的怪物	1	1									
4709	前往1区狩猎幼年河狸兽	1	1									
4710	前往3区狩猎河狸兽	1	1									
4711	讨伐各区的野猪	1	1									
4712	讨伐各区的盾蟹！	1	1									
4713	前往1区讨伐桃毛兽	1	1									
4714	讨伐各区的雷光虫	1	1									
4715	讨伐各区的奇面族	1	1									
4716	讨伐各区的黄速龙	1	1									
4717	讨伐3区的电龙幼崽	1	1									
4718	讨伐各区的雪狮子	1	1									
4719	讨伐各区的桃毛兽	1	1									
4720	讨伐各区的奇面族	1	1									
4721	讨伐各区的盾蟹	1	1									
4722	讨伐各区的盾蟹与镰蟹	1	1									
4723	讨伐镰蟹	1	1									
4724	讨伐各区的奇面族	1	1									
4725	讨伐2区的幼年金毛兽	1	1									
4726	讨伐3区的桃毛兽王	1	1									
4727	有更多的大型怪物入侵	1	1									
4728	讨伐蓝速龙与红速龙	1	1									
4729	讨伐5区的幼年冰雷鸟	1	1									
4730	讨伐1区的幼年毒怪鸟与紫毒鸟	1	1									
4731	赶走各区的梅拉露族	1	1									
4732	前往3区迎接奇面族的挑战	1	1									
4733	不安定环境：有危险怪物闯入狩猎场！	1	1									
4734	讨伐各区的飞虫	1	1									
4735	获得了30点精算点数	10	1	1	1							
4736	获得了50点精算点数	10	1	1	1							
4737	获得了100点精算点数	10	1	1	1							
4738	前往7区开始雪夜祭											
4739	在时间结束前尽可能多地消灭怪物											
4740	"<FONT COLOR=\"\#00FF00\" >[小窍门]雪夜祭的传统是只能使用雪球、冰球、冰锥来狩猎</FONT>"	1	1									
4741	"<FONT COLOR=\"\#00FF00\" >[小窍门]采集雪球堆来获取雪球</FONT>"	1	1									
4742	"<FONT COLOR=\"\#00FF00\" >[小窍门]靠近火堆来减缓寒冷</FONT>"	1	1									
4743	雪夜积分											
4744	剩余时间：{数值} 秒	3	10									
4745	雪崩来袭！注意躲避！	3	10									
4746	前往7区开始雪夜祭											
4748	获取雪夜积分											
4749	下一波开始前（20秒）可以更换武器与防具！	10	1	1	1							
4750	挑战胜利追加200秒！	10	1	1	1							
4751	猎王武斗大会开始！	10	1	1	1							
4752	请进入竞技场开始猎王武斗大会！	10	1	1	1							
4753	狩猎冰雷鸟	10	1	1	1							
4754	狩猎白速龙王	10	1	1	1							
4755	狩猎草食动物	10	1	1	1							
4756	采集雪山草	10	1	1	1							
4757	前往2区寻找掠食者	10	1	1	1							
4758	(可选)狩猎钢龙											
4759	狩猎独耳黑狼鸟	10	1	1	1							
4760	狩猎顶级掠食者											
4761	狩猎真·顶级掠食者											
4762	喵铃铛发出了清脆的声音	10	1	1	1							
4763	狩猎雌火龙	10	1	1	1							
4764	狩猎灰晶蝎	10	1	1	1							
4765	狩猎苍火龙	10	1	1	1							
4766	前往6区寻找龙骨结晶											
4767	采集龙骨结晶											
4768	(可选)狩猎灰晶蝎											
4769	回营地交纳龙骨结晶											
4770	跟上伊莉丝											
4771	狩猎小红速龙											
4772	狩猎荒厄龙											
4773	使用奥义狩猎小红速龙											
4774	按下数字键4食用烤肉											
4775	进入切区口前往3区											
4776	按下Z进行采集											
4777	采集常春藤											
4778	基础战斗教学											
4779	"<FONT COLOR=\"\#00FF00\" >完成新手目标，您获得了100经验!</FONT>"	1	1									
4780	点击数字键4食用烤肉	1	1									
4781	狩猎雷狼龙	1	1									
4782	进阶战斗教学											
4783	注意！眼镜来袭！	1	1									
4784	一只眼镜嗝屁了！加10分！眼镜保护协会强烈抗议！	1	1									
#============End of sheet============

