#TSV
#============Begin of sheet============
@Sheet=商城版本号
索引	当前版本号
1	13
#============End of sheet============

#============Begin of sheet============
@Sheet=打折卡
物品ID	折扣	折扣额度上限	商品范围
24959	90	50000	
24957	80	50000	
40273	70	50000	
40274	50	50000	
40275	10	50000	
40578	10	70000	
40579	20	70000	
40580	30	70000	
40581	40	70000	
40582	50	70000	
40583	60	70000	
40584	70	70000	
40585	80	70000	
40586	90	70000	
40605	10	100000	
40637	80	50000	
#============End of sheet============

#============Begin of sheet============
@Sheet=打折卡测试数据
物品ID	折扣	折扣额度上限	商品范围
2	95		
#============End of sheet============

#============Begin of sheet============
@Sheet=点券商城
索引ID	组ID	是否显示	图标ICON	女性图标ICON	结算类型	商品名称	物品ID	贩卖数量	类型	子类型	推荐区	销售标志	价格	优惠价格	会员价格	蓝钻会员价格	免费	会员免费	打折卡是否有效	是否可赠送/索取	是否购买自动使用	开始贩售时间	结束贩售时间	购买上限	限制周期	是否取消上架	功能名称	功能参数	BtlSvr不可购买	VIP等级限制	QQ会员限制	人物等级限制	增加VIP经验	排序参数	微信支付信息	是否是VIP物品	模型类型	模型信息	模型动作	性别限制
459	79	0	ma017_02		点券	蔷薇骑士（胸部）	762832	1	人物服饰	胸部			4980		4760					1						1														0
460	79	0	ma017_02		点券	蔷薇骑士（胸部）	762833	1	人物服饰	胸部																1														0
461	80	0	ma017_05		点券	蔷薇骑士（腰部）	762840	1	人物服饰	腰部																1														0
462	80	1	ma017_05		点券	蔷薇骑士（腰部）	762841	1	人物服饰	腰部			1180		1160					1						1								1981						0
463	80	0	ma017_05		点券	蔷薇骑士（腰部）	762842	1	人物服饰	腰部			3980		3780					1						1														0
464	80	0	ma017_05		点券	蔷薇骑士（腰部）	762843	1	人物服饰	腰部																1														0
465	81	0	ma017_04		点券	蔷薇骑士（腿部）	762850	1	人物服饰	足部																1														0
466	81	1	ma017_04		点券	蔷薇骑士（腿部）	762851	1	人物服饰	足部			880		860					1						1								1982						0
467	81	0	ma017_04		点券	蔷薇骑士（腿部）	762852	1	人物服饰	足部			2980		2860					1						1														0
468	81	0	ma017_04		点券	蔷薇骑士（腿部）	762853	1	人物服饰	足部																1														0
469		1	ma017_pl_m	ma017_pl_f	点券	蔷薇骑士套装	40198	1	人物服饰	其他			20800		19800				1	1	1					1								1977						0
470		1	mart_fashion_gifts_yellow		点券	落日流光超值礼包	40199	1	功能	限购			30800		28800							2015/12/31 0:0:0	2016/1/26 0:0:0	1	永久	1								993						0
471		1	mart_fashion_gifts_purple		点券	蔷薇骑士超值礼包	40200	1	功能	限购			27800		26600							2015/12/31 0:0:0	2016/1/26 0:0:0	1	永久	1								994						0
472		1	mart_fashion_gifts_blue		点券	遗迹石板100礼包	40202	1	功能	其他			26800		25800					1						1								979						0
473		1	mart_fashion_gifts_red		点券	假日畅玩包	40203	1	功能	限购			2800	980	2680									1	每日	1								986	-1					0
474		1	mart_firework1_bigger_big		点券	花火·金鸡报晓	40201	1	功能	其他			680		580					1		2017/1/22 0:0:0	2017/2/6 23:59:59											801						0
475		1	Mart_vip_box02		点券	30天VIP促销礼包	40205	1	功能	限购			4080	1680	4080									1	永久	1								976	-1					0
476		1	Mart_vip_box03		点券	90天VIP促销礼包	40206	1	功能	限购			10180	4680	10180									1	永久	1								977	-1					0
477		1	Mart_vip_box04		点券	360天VIP促销礼包	40207	1	功能	限购			32600	16800	32600									1	永久	1								978	-1					0
478	82	0	ma037_01		点券	齐天大圣（头部）	767110	1	人物服饰	头部																1														0
479	82	1	ma037_01		点券	齐天大圣（头部）	767111	1	人物服饰	头部			1480		1380					1						1								1972						0
480	82	0	ma037_01		点券	齐天大圣（头部）	767112	1	人物服饰	头部			4980		4680					1						1														0
481	82	0	ma037_01		点券	齐天大圣（头部）	767113	1	人物服饰	头部																1														0
482	83	0	ma037_03		点券	齐天大圣（腕部）	767120	1	人物服饰	腕部																1														0
483	83	1	ma037_03		点券	齐天大圣（腕部）	767121	1	人物服饰	腕部			880		860					1						1								1973						0
484	83	0	ma037_03		点券	齐天大圣（腕部）	767122	1	人物服饰	腕部			2980		2880					1						1														0
485	83	0	ma037_03		点券	齐天大圣（腕部）	767123	1	人物服饰	腕部																1														0
486	84	0	ma037_02		点券	齐天大圣（胸部）	767130	1	人物服饰	胸部																1														0
487	84	1	ma037_02		点券	齐天大圣（胸部）	767131	1	人物服饰	胸部			1480		1380					1						1								1974						0
488	84	0	ma037_02		点券	齐天大圣（胸部）	767132	1	人物服饰	胸部			4980		4680					1						1														0
489	84	0	ma037_02		点券	齐天大圣（胸部）	767133	1	人物服饰	胸部																1														0
490	85	0	ma037_05		点券	齐天大圣（腰部）	767140	1	人物服饰	腰部																1														0
491	85	1	ma037_05		点券	齐天大圣（腰部）	767141	1	人物服饰	腰部			1180		1160					1						1								1975						0
492	85	0	ma037_05		点券	齐天大圣（腰部）	767142	1	人物服饰	腰部			3960		3760					1						1														0
493	85	0	ma037_05		点券	齐天大圣（腰部）	767143	1	人物服饰	腰部																1														0
494	86	0	ma037_04		点券	齐天大圣（腿部）	767150	1	人物服饰	足部																1														0
495	86	1	ma037_04		点券	齐天大圣（腿部）	767151	1	人物服饰	足部			880		860					1						1								1976						0
496	86	0	ma037_04		点券	齐天大圣（腿部）	767152	1	人物服饰	足部			2980		2880					1						1														0
497	86	0	ma037_04		点券	齐天大圣（腿部）	767153	1	人物服饰	足部																1														0
498		1	ma037_pl_m	ma037_pl_f	点券	齐天大圣套装	40215	1	人物服饰	其他			19800		18800				1	1	1					1								1971						0
499		1	mart_gifts_monkey		点券	齐天大圣超值礼包	40208	1	功能	其他			36800		34800									1	永久	1								982						0
500		1	ma037_u01_pl_m	ma037_u01_pl_f	点券	斗战胜佛套装	40216	1	人物服饰	其他			18800		18800				1		1									3				987			1	767213;767223;767233;767243;767253;		0
501		1	p_ma_028_u01_4		点券	金猴喵套装	40217	1	艾露服饰	其他			5800		5800				1											2				988			4	92112;93283;93288;		0
502	87	0	ma030_01		点券	影武忍者（头部）	772310	1	人物服饰	头部																1														0
503	87	1	ma030_01		点券	影武忍者（头部）	772311	1	人物服饰	头部			1680		1580					1						1								1966						0
504	87	0	ma030_01		点券	影武忍者（头部）	772312	1	人物服饰	头部			5680		5380					1						1														0
505	87	0	ma030_01		点券	影武忍者（头部）	772313	1	人物服饰	头部																1														0
506	88	0	ma030_03		点券	影武忍者（腕部）	772320	1	人物服饰	腕部																1														0
507	88	1	ma030_03		点券	影武忍者（腕部）	772321	1	人物服饰	腕部			980		930					1						1								1967						0
508	88	0	ma030_03		点券	影武忍者（腕部）	772322	1	人物服饰	腕部			3380		3180					1						1														0
509	88	0	ma030_03		点券	影武忍者（腕部）	772323	1	人物服饰	腕部																1														0
510	89	0	ma030_02		点券	影武忍者（胸部）	772330	1	人物服饰	胸部																1														0
511	89	1	ma030_02		点券	影武忍者（胸部）	772331	1	人物服饰	胸部			1680		1580					1						1								1968						0
512	89	0	ma030_02		点券	影武忍者（胸部）	772332	1	人物服饰	胸部			5680		5380					1						1														0
513	89	0	ma030_02		点券	影武忍者（胸部）	772333	1	人物服饰	胸部																1														0
514	90	0	ma030_05		点券	影武忍者（腰部）	772340	1	人物服饰	腰部																1														0
515	90	1	ma030_05		点券	影武忍者（腰部）	772341	1	人物服饰	腰部			1380		1280					1						1								1969						0
516	90	0	ma030_05		点券	影武忍者（腰部）	772342	1	人物服饰	腰部			4580		4360					1						1														0
517	90	0	ma030_05		点券	影武忍者（腰部）	772343	1	人物服饰	腰部																1														0
518	91	0	ma030_04		点券	影武忍者（腿部）	772350	1	人物服饰	足部																1														0
519	91	1	ma030_04		点券	影武忍者（腿部）	772351	1	人物服饰	足部			980		930					1						1								1970						0
520	91	0	ma030_04		点券	影武忍者（腿部）	772352	1	人物服饰	足部			3480		3280					1						1														0
521	91	0	ma030_04		点券	影武忍者（腿部）	772353	1	人物服饰	足部																1														0
522		1	ma030_pl_m	ma030_pl_f	点券	影武忍者套装	40218	1	人物服饰	其他			25800		22800				1	1	1					1								1965						0
523		1	mart_gifts_ninja		点券	影武忍者超值礼包	40209	1	功能	其他			32800		29800									1	永久	1								981						0
524		1	mart_gifts_christmas		猎币	新年行大运礼包	40210	1	功能	其他			500		480									100	永久	1								980						0
525	92	0	ma021_01		点券	白色恋人（头部）	767010	1	人物服饰	头部																1														0
526	92	1	ma021_01		点券	白色恋人（头部）	767011	1	人物服饰	头部			1280		1180				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1								1960						0
527	92	0	ma021_01		点券	白色恋人（头部）	767012	1	人物服饰	头部			4480		4260				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
528	92	0	ma021_01		点券	白色恋人（头部）	767013	1	人物服饰	头部			4480		4260							2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
529	93	0	ma021_03		点券	白色恋人（腕部）	767020	1	人物服饰	腕部																1														0
530	93	1	ma021_03		点券	白色恋人（腕部）	767021	1	人物服饰	腕部			780		750				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1								1961						0
531	93	0	ma021_03		点券	白色恋人（腕部）	767022	1	人物服饰	腕部			2680		2560				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
532	93	0	ma021_03		点券	白色恋人（腕部）	767023	1	人物服饰	腕部			2680		2560							2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
533	94	0	ma021_02		点券	白色恋人（胸部）	767030	1	人物服饰	胸部																1														0
534	94	1	ma021_02		点券	白色恋人（胸部）	767031	1	人物服饰	胸部			1280		1180				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1								1962						0
535	94	0	ma021_02		点券	白色恋人（胸部）	767032	1	人物服饰	胸部			4480		4260				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
536	94	0	ma021_02		点券	白色恋人（胸部）	767033	1	人物服饰	胸部			4480		4260							2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
537	95	0	ma021_05		点券	白色恋人（腰部）	767040	1	人物服饰	腰部																1														0
538	95	1	ma021_05		点券	白色恋人（腰部）	767041	1	人物服饰	腰部			1080		980				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1								1963						0
539	95	0	ma021_05		点券	白色恋人（腰部）	767042	1	人物服饰	腰部			3580		3360				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
540	95	0	ma021_05		点券	白色恋人（腰部）	767043	1	人物服饰	腰部			3580		3360							2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
541	96	0	ma021_04		点券	白色恋人（腿部）	767050	1	人物服饰	足部																1														0
542	96	1	ma021_04		点券	白色恋人（腿部）	767051	1	人物服饰	足部			780		760				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1								1964						0
543	96	0	ma021_04		点券	白色恋人（腿部）	767052	1	人物服饰	足部			2680		2560				1	1		2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
544	96	0	ma021_04		点券	白色恋人（腿部）	767053	1	人物服饰	足部			2680		2560							2016/02/04 0:0:0	2017/02/27 23:59:59			1														0
545		1	ma021_pl_m	ma021_pl_f	点券	白色恋人套装	40219	1	人物服饰	其他			18800		12800				1	1	1	2016/02/04 0:0:0	2017/02/27 23:59:59											800			1	767013;767023;767033;767043;767053;	1	0
546		1	Mart_vip_box01		点券	战力突破礼包	40211	1	功能	其他			1000		980					1		2016/02/04 0:0:0	2016/02/14 23:59:59			1								973						0
547		1	mart_gifts_valentine		点券	白色恋人超值礼包	40212	1	功能	其他			26800		25600					1		2016/02/04 0:0:0	2016/02/14 23:59:59											974						0
548		1	masp003_we_s_se		点券	心羽双枕·S绝版礼包	40213	1	武器	双刀			86800	58800	82800					1		2016/02/04 0:0:0	2016/02/10 23:59:59											975						0
549	97	1	mahat013_01		点券	雄火龙布偶	770510	1	人物服饰	配饰																1														0
550	97	1	mahat013_01		点券	雄火龙布偶	770511	1	人物服饰	配饰																1														0
551	97	1	mahat013_01		点券	雄火龙布偶	770512	1	人物服饰	配饰																1														0
552	97	1	mahat013_01		点券	雄火龙布偶	770513	1	人物服饰	配饰			5800		3800				1	1		2016/02/04 0:0:0												2026						0
553	98	1	mahat013_u01_01		点券	雌火龙布偶	770610	1	人物服饰	配饰																1														0
554	98	1	mahat013_u01_01		点券	雌火龙布偶	770611	1	人物服饰	配饰																1														0
555	98	1	mahat013_u01_01		点券	雌火龙布偶	770612	1	人物服饰	配饰																1														0
556	98	1	mahat013_u01_01		点券	雌火龙布偶	770613	1	人物服饰	配饰			5800		3800				1	1		2016/02/04 0:0:0												2027						0
557	99	1	mahat015_01		点券	火狐耳饰	770810	1	人物服饰	配饰																1														0
558	99	1	mahat015_01		点券	火狐耳饰	770811	1	人物服饰	配饰																1														0
559	99	1	mahat015_01		点券	火狐耳饰	770812	1	人物服饰	配饰																1														0
560	99	1	mahat015_01		点券	火狐耳饰	770813	1	人物服饰	配饰			7800		5800				1	1		2016/02/04 0:0:0												2028						0
561	100	1	mahat015_u01_01		点券	白狐耳饰	770910	1	人物服饰	配饰																1														0
562	100	1	mahat015_u01_01		点券	白狐耳饰	770911	1	人物服饰	配饰																1														0
563	100	1	mahat015_u01_01		点券	白狐耳饰	770912	1	人物服饰	配饰																1														0
564	100	1	mahat015_u01_01		点券	白狐耳饰	770913	1	人物服饰	配饰			7800		5800				1	1		2016/02/04 0:0:0												2029						0
565	101	1	mahat041_01		点券	浪漫玫瑰	772010	1	人物服饰	配饰																1														0
566	101	1	mahat041_01		点券	浪漫玫瑰	772011	1	人物服饰	配饰																1														0
567	101	1	mahat041_01		点券	浪漫玫瑰	772012	1	人物服饰	配饰																1														0
568	101	1	mahat041_01		点券	浪漫玫瑰	772013	1	人物服饰	配饰			10800		8800				1	1		2016/02/04 0:0:0												2030						0
569		1	Mart_colorings_01		猎币	幻色瓶	40204	1	功能	辅助			500		480				1	1														992						0
570		1	mart_partner		猎币	赏金招募券	40300	1	功能	辅助			300	100	280				1	1														994						0
571		1	mart_redletter		猎币	新年大红包	40301	1	功能	辅助			200		190							2016/02/4 0:0:0	2016/02/22 23:59:59	50	永久									979						0
572		1	mart_ancientdoc01		猎币	古文书一	21444	1	功能	辅助			300		280					1		2016/01/26 0:0:0				1								996						0
573		1	mart_redletter		猎币	新年大红包	40301	1	功能	辅助			200		190							2016/01/30 0:0:0	2016/01/30 23:59:59	5	永久									979						0
574		1	mart_dress		点券	配装扩容券	40302	1	功能	辅助			500		480				1	1														954						0
575		1	ma038_u01_pl_m	ma038_u01_pl_f	点券	烈焰红蝶套装	40233	1	人物服饰	其他			18800		17800					1	1					1								1953						0
576		1	ma038_pl_m	ma038_pl_f	点券	焰羽红蝶套装	40234	1	人物服饰	其他			23800		15800						1			1	永久					4				800			1	767313;767323;767333;767343;767353;	0	0
577		1	ma010_we_q		点券	极电雷霆礼包	40235	1	武器	长枪			20800		19800				1					1	永久									969			3	405483;	1	0
578		1	ma010_we_q_se		点券	极电雷霆·S级礼包	40236	1	武器	长枪			58800		52800				1					1	永久									970			3	405683;	1	0
579		1	ma020_we_n		点券	惊天弩炮礼包	40230	1	武器	弩			22800		21800				1					1	永久									972			3	405223;	1	0
580		1	ma020_we_n_se		点券	惊天弩炮·S级礼包	40231	1	武器	弩			52800		48800				1					1	永久									971			3	404623;	1	0
581		1	mart_pay_goods_yellow		点券	好好学习1折包	40237	1	功能	限购		打折	980		980									1	永久	1								973						0
582		1	mart_pay_goods_red		点券	天天向上狩猎包	40238	1	功能	限购		限购	980		980									1	每日	1								974						0
583		1	Mart_Coop_CommonPack01		点券	银袋子	40239	1	功能	辅助			480		460								2017/2/14 3:0:0	30	每日									966						0
584		1	Mart_vip_box01		猎币	玉匣子	40240	1	功能	辅助			1000		980					1						1								841						0
585		1	ma029_we_p		点券	法老诅咒礼包	40242	1	武器	片手			19800		18800				1					1	永久									961			3	406043;	1	0
586		1	ma029_we_p_se		点券	法老诅咒·S级礼包	40243	1	武器	片手			36800		35800				1					1	永久									960			3	405843;	1	0
587		1	ma001_we_t		点券	嗜血妖刀礼包	40228	1	武器	太刀			22800		21800				1					1	永久									959			3	404233;	1	0
588		1	ma001_we_t_se		点券	嗜血妖刀·S级礼包	40229	1	武器	太刀			39800		38800				1					1	永久									958			3	404833;	1	0
589		1	Mart_transmogrify_01		点券	幻化石	40241	1	功能	辅助			980		960				1															963						0
590		1	mart_trap_yellow_mart		猎币	『大师』麻痹陷阱	4863	1	功能	辅助			250		240				1							1								963						0
591		1	mart_trap_yellow_mart		猎币	『大师』麻痹陷阱（10个）	4863	10	功能	辅助			2400		2280				1							1								964						0
592		1	Mart_Coop_CommonPack01		猎币	晶化粉尘包	40246	1	功能	辅助			300		280											1								962						0
593		1	Mart_vip_box01		点券	遗迹石板100个	40245	1	功能	其他			25800		24600				1	1														938						0
594	102	0	ma038_01		点券	烈焰红蝶（头部）	773410	1	人物服饰	头部																1														0
595	102	1	ma038_01		点券	烈焰红蝶（头部）	773411	1	人物服饰	头部			1280		1200					1						1								1954						0
596	102	0	ma038_01		点券	烈焰红蝶（头部）	773412	1	人物服饰	头部			4280		4060					1						1														0
597	102	0	ma038_01		点券	烈焰红蝶（头部）	773413	1	人物服饰	头部																1														0
598	103	0	ma038_03		点券	烈焰红蝶（腕部）	773420	1	人物服饰	腕部																1														0
599	103	1	ma038_03		点券	烈焰红蝶（腕部）	773421	1	人物服饰	腕部			760		720					1						1								1955						0
600	103	0	ma038_03		点券	烈焰红蝶（腕部）	773422	1	人物服饰	腕部			2480		2360					1						1														0
601	103	0	ma038_03		点券	烈焰红蝶（腕部）	773423	1	人物服饰	腕部																1														0
602	104	0	ma038_02		点券	烈焰红蝶（胸部）	773430	1	人物服饰	胸部																1														0
603	104	1	ma038_02		点券	烈焰红蝶（胸部）	773431	1	人物服饰	胸部			1480		1380					1						1								1956						0
604	104	0	ma038_02		点券	烈焰红蝶（胸部）	773432	1	人物服饰	胸部			4980		4680					1						1														0
605	104	0	ma038_02		点券	烈焰红蝶（胸部）	773433	1	人物服饰	胸部																1														0
606	105	0	ma038_05		点券	烈焰红蝶（腰部）	773440	1	人物服饰	腰部																1														0
607	105	1	ma038_05		点券	烈焰红蝶（腰部）	773441	1	人物服饰	腰部			1580		1480					1						1								1957						0
608	105	0	ma038_05		点券	烈焰红蝶（腰部）	773442	1	人物服饰	腰部			3960		3760					1						1														0
609	105	0	ma038_05		点券	烈焰红蝶（腰部）	773443	1	人物服饰	腰部																1														0
610	106	0	ma038_04		点券	烈焰红蝶（腿部）	773450	1	人物服饰	足部																1														0
611	106	1	ma038_04		点券	烈焰红蝶（腿部）	773451	1	人物服饰	足部			760		720					1						1								1958						0
612	106	0	ma038_04		点券	烈焰红蝶（腿部）	773452	1	人物服饰	足部			2480		2360					1						1														0
613	106	0	ma038_04		点券	烈焰红蝶（腿部）	773453	1	人物服饰	足部																1														0
614		1	ma031_pl_m	ma031_pl_f	点券	暗曜哥特套装	40259	1	功能	限购			18800		17800				1					1	永久	1								952			1	774313;774323;774333;774343;774353;	0	0
615		1	ma031_u01_pl_m	ma031_u01_pl_f	点券	血裔哥特套装	40260	1	功能	限购			19800		18800				1					1	永久					3				952			1	774413;774423;774433;774443;774453;	0	0
616		1	ma034_we_u		点券	湮灭重炮礼包	40248	1	武器	铳枪			19800		18800									1	永久									953			3	406273;	1	0
617		1	ma034_we_u_se		点券	湮灭重炮·S级礼包	40249	1	武器	铳枪			36800		35800									1	永久									953			3	406473;	1	0
618		1	ma043_we_g		点券	瑶光次元弓礼包	40250	1	武器	弓			22800		21800									1	永久									954			3	406703;	1	0
619		1	ma043_we_g_se		点券	瑶光次元弓·S级礼包	40251	1	武器	弓			39800		38800									1	永久									954			3	406903;	1	0
620		1	mart_chest_water		猎币	御石箱·水	40252	1	功能	辅助			580		560									50	每周	1								957						0
621		1	mart_chest_fire		猎币	御石箱·火	40253	1	功能	辅助			580		560									50	每周	1								957						0
622		1	mart_chest_thunder		猎币	御石箱·雷	40254	1	功能	辅助			580		560									50	每周	1								957						0
623		1	mart_chest_dragon		猎币	御石箱·龙	40255	1	功能	辅助			580		560									50	每周	1								957						0
624		1	mart_chest_ice		猎币	御石箱·冰	40256	1	功能	辅助			580		560									50	每周	1								957						0
625		1	mart_chest_jewel		点券	首饰盒	40257	1	功能	辅助			880		860							2016/07/26 0:0:0				1								914						0
626		1	p_ma_008_1		猎币	奇怪的纸盒	40258	1	功能	辅助			100		100											1								956						0
627		1	mart_CoolHotDrink		点券	无限恒温药剂	40304	1	功能	辅助			8800		8600									1	永久	1								958						0
628		1	ma034_pl_m	ma034_pl_f	点券	皇家卫队套装	40261	1	人物服饰	其他			18800		17800				1	1	1													1947						0
629		1	ma043_t		点券	瑶光次元刀礼包	40262	1	武器	太刀			20800		19800									1	永久									949			3	406633	1	0
630		1	ma043_t_se		点券	瑶光次元刀·S级礼包	40263	1	武器	太刀			39800		38800									1	永久									949			3	406833	1	0
631		1	ma037_c		点券	如意震天锤礼包	40264	1	武器	锤子			20800		19800									1	永久									950			3	407453	1	0
632		1	ma037_c_se		点券	如意震天锤·S级礼包	40265	1	武器	锤子			39800		38800									1	永久									950			3	407653	1	0
633		1	Mart_vip_box03		点券	米拉德秘宝	40266	1	功能	限购			1980		1800									1	永久	1								948						0
634	107	0	ma034_01		点券	皇家卫队（头部）	774510	1	人物服饰	头部																1														0
635	107	0	ma034_01		点券	皇家卫队（头部）	774511	1	人物服饰	头部			1280		1200				1	1						1								1948						0
636	107	0	ma034_01		点券	皇家卫队（头部）	774512	1	人物服饰	头部			4280		4060				1	1						1														0
637	107	1	ma034_01		点券	皇家卫队（头部）	774513	1	人物服饰	头部			4280		4060											0														0
638	108	0	ma034_03		点券	皇家卫队（腕部）	774520	1	人物服饰	腕部																1														0
639	108	0	ma034_03		点券	皇家卫队（腕部）	774521	1	人物服饰	腕部			760		720				1	1						1								1949						0
640	108	0	ma034_03		点券	皇家卫队（腕部）	774522	1	人物服饰	腕部			2480		2360				1	1						1														0
641	108	1	ma034_03		点券	皇家卫队（腕部）	774523	1	人物服饰	腕部			2480		2360											0														0
642	109	0	ma034_02		点券	皇家卫队（胸部）	774530	1	人物服饰	胸部																1														0
643	109	0	ma034_02		点券	皇家卫队（胸部）	774531	1	人物服饰	胸部			1480		1380				1	1						1								1950						0
644	109	0	ma034_02		点券	皇家卫队（胸部）	774532	1	人物服饰	胸部			4980		4680				1	1						1														0
645	109	1	ma034_02		点券	皇家卫队（胸部）	774533	1	人物服饰	胸部			4980		4680											0														0
646	110	0	ma034_05		点券	皇家卫队（腰部）	774540	1	人物服饰	腰部																1														0
647	110	0	ma034_05		点券	皇家卫队（腰部）	774541	1	人物服饰	腰部			1580		1480				1	1						1								1951						0
648	110	0	ma034_05		点券	皇家卫队（腰部）	774542	1	人物服饰	腰部			3960		3760				1	1						1														0
649	110	1	ma034_05		点券	皇家卫队（腰部）	774543	1	人物服饰	腰部			3960		3760											0														0
650	111	0	ma034_04		点券	皇家卫队（腿部）	774550	1	人物服饰	足部																1														0
651	111	0	ma034_04		点券	皇家卫队（腿部）	774551	1	人物服饰	足部			760		720				1	1						1								1952						0
652	111	0	ma034_04		点券	皇家卫队（腿部）	774552	1	人物服饰	足部			2480		2360				1	1						1														0
653	111	1	ma034_04		点券	皇家卫队（腿部）	774553	1	人物服饰	足部			2480		2360											0														0
654		1	ma043_pl_m	ma043_pl_f	点券	瑶光战甲套装	40267	1	人物服饰	其他			18800		17800				1	1	1													1940						0
655		1	ma044_pl_m	ma044_pl_f	猎币	粉黛佳人	40268	1	功能	其他			13800		12800											1								945			1	775413;775423;775433;775443;775453;	0	0
656		1	ma037_we_s		点券	如意盘龙棍礼包	40269	1	武器	双刀			19800		18800									1	永久									946			3	407463	1	0
657		1	ma037_we_s_se		点券	如意盘龙棍·S级礼包	40270	1	武器	双刀			37800		36800									1	永久									946			3	407663	1	0
658		1	ma033_we_p		点券	火龙蛋刀	408243	1	武器	片手			9800		9600				1															947			3	408243	1	0
659		1	Mart_Coop_CommonPack02		猎币	喵喵币50个	40272	1	功能	辅助			1880		1780				1					8	每周									948						0
660		1	mart_pay_goods_yellow		点券	谷雨礼包	3249	1	功能	限购			3000		2800							2016/04/19 0:0:0	2016/4/30 23:59:59	1	永久									943						0
661		1	mart_pay_goods_blue		猎币	进击猎人礼包	3251	1	功能	辅助			3000		2880							2016/04/26 0:0:0	2016/5/09 23:59:59											948						0
662		1	mart_pay_goods_red		点券	猎人进阶礼包	3252	1	功能	限购		限购	1000		980							2016/04/26 0:0:0		1	永久	1								943						0
663		1	ma052_pl_m	ma052_pl_f	点券	圣光骑士套装	40306	1	人物服饰	其他			18800		17800				1	1	1													1928						0
664		1	masp012_d_se		点券	炽心裁决S级礼包	40307	1	武器	大剑			37800		36800																			940			3	409213;776213;776223;776233;776243;776253;	1	0
665		1	masp012_d		猎币	炽心裁决	409013	1	武器	大剑			15800		14800				1															941			3	409013	1	0
666		1	masp007_we_s		猎币	绝代双焦	409463	1	武器	双刀			9800		9600				1															942			3	409463	1	0
667		1	masp007_we_n		猎币	豚枪嘴炮	409423	1	武器	弩			9800		9600				1															942			3	409423	1	0
668		1	Mart_vip_box04		点券	小满礼包	40308	1	功能	限购			3000		2800								2016/5/31 23:59:59	1	永久	1								938						0
670		1	ma009_pl_m	ma009_pl_f	点券	格斗大师套装	40310	1	人物服饰	其他			19800		18800				1	1	1					1								1934						0
671		1	ma009_s		点券	格斗大师武斗礼包	40311	1	武器	双刀			26800		25800									1	永久									934			3	411263;776313;776323;776333;776343;776353;	1	0
672		1	ma019_c		点券	擂鼓瓮金锤	410853	1	武器	锤子			8800		8600				1	1														936			3	410853	1	0
673		1	ma040_f_se		点券	嗜血魔琴·S级礼包	40312	1	武器	笛子			36800		35800									1	永久									935			3	412493	1	0
674		1	mart_name_ticket_bigger		点券	猎团改名卡	40303	1	功能	辅助			15800		13800				1	1														937						0
675	112	0	ma043_01		点券	瑶光战甲（头部）	775310	1	人物服饰	头部																1														0
676	112	0	ma043_01		点券	瑶光战甲（头部）	775311	1	人物服饰	头部																1														0
677	112	0	ma043_01		点券	瑶光战甲（头部）	775312	1	人物服饰	头部			4480		4280				1	1						1								1941						0
678	112	1	ma043_01		点券	瑶光战甲（头部）	775313	1	人物服饰	头部			4480		4280											0														0
679	113	0	ma043_03		点券	瑶光战甲（腕部）	775320	1	人物服饰	腕部																1														0
680	113	0	ma043_03		点券	瑶光战甲（腕部）	775321	1	人物服饰	腕部																1														0
681	113	0	ma043_03		点券	瑶光战甲（腕部）	775322	1	人物服饰	腕部			2680		2580				1	1						1								1942						0
682	113	1	ma043_03		点券	瑶光战甲（腕部）	775323	1	人物服饰	腕部			2680		2580											0														0
683	114	0	ma043_02		点券	瑶光战甲（胸部）	775330	1	人物服饰	胸部																1														0
684	114	0	ma043_02		点券	瑶光战甲（胸部）	775331	1	人物服饰	胸部																1														0
685	114	0	ma043_02		点券	瑶光战甲（胸部）	775332	1	人物服饰	胸部			4980		4680				1	1						1								1943						0
686	114	1	ma043_02		点券	瑶光战甲（胸部）	775333	1	人物服饰	胸部			4980		4680											0														0
687	115	0	ma043_05		点券	瑶光战甲（腰部）	775340	1	人物服饰	腰部																1														0
688	115	0	ma043_05		点券	瑶光战甲（腰部）	775341	1	人物服饰	腰部																1														0
689	115	0	ma043_05		点券	瑶光战甲（腰部）	775342	1	人物服饰	腰部			3980		3760				1	1						1								1945						0
690	115	1	ma043_05		点券	瑶光战甲（腰部）	775343	1	人物服饰	腰部			3980		3760											0														0
691	116	0	ma043_04		点券	瑶光战甲（腿部）	775350	1	人物服饰	足部																1														0
692	116	0	ma043_04		点券	瑶光战甲（腿部）	775351	1	人物服饰	足部																1														0
