#TSV
#============Begin of sheet============
@Sheet=宠物装备打造
配方ID	配方名称	装备系列	搜索关键字	NpcID	UnlockLevelID	配方类型	锻造代币ID	锻造代币抵扣金额	锻造代币使用上限	装备类型	打造种类	使用等级	使用星级	远近类型	生成物品1ID	生成数量1	生成率1	生成物品2ID	生成数量2	生成率2	副产物ID	副产数量	副产生成率	消耗金钱	原料1ID	数量1	原料2ID	数量2	原料3ID	数量3	原料4ID	数量4	原料5ID	数量5	原料6ID	数量6	原料7ID	数量7	原料8ID	数量8	原料9ID	数量9	原料10ID	数量10
60112		初阶河狸兽铠甲				1				1	12	1	1	1	60013	1	100							120	22796	3	22798	1																																														
60113		初阶河狸兽腰甲				1				1	13	1	1	1	60014	1	100							120	22796	3	22798	1																																														
60114		初阶河狸兽腿甲				1				1	14	1	1	1	60015	1	100							120	22796	1	22797	1	22798	1																																												
60115		初阶河狸兽战帽				1				1	10	1	1	2	60016	1	100							120	22796	2	22797	1	22799	1																																												
60116		初阶河狸兽护手				1				1	11	1	1	2	60017	1	100							120	22796	2	22797	1	22799	1																																												
60117		初阶河狸兽护甲				1				1	12	1	1	2	60018	1	100							120	22796	3	22798	1																																														
60118		初阶河狸兽护腰				1				1	13	1	1	2	60019	1	100							120	22796	3	22798	1																																														
60119		初阶河狸兽护腿				1				1	14	1	1	2	60020	1	100							120	22796	1	22797	1	22798	1																																												
60120		初阶蓝速龙王头盔				1				1	10	1	1	1	60021	1	100							120	22929	2	22930	1	22932	1																																												
60121		初阶蓝速龙王腕甲				1				1	11	1	1	1	60022	1	100							120	22929	2	22930	1	22932	1																																												
60122		初阶蓝速龙王铠甲				1				1	12	1	1	1	60023	1	100							120	22929	3	22931	1																																														
60123		初阶蓝速龙王腰甲				1				1	13	1	1	1	60024	1	100							120	22929	3	22931	1																																														
60124		初阶蓝速龙王腿甲				1				1	14	1	1	1	60025	1	100							120	22929	1	22930	1	22931	1																																												
60125		初阶蓝速龙王战帽				1				1	10	1	1	2	60026	1	100							120	22929	2	22930	1	22932	1																																												
60126		初阶蓝速龙王护手				1				1	11	1	1	2	60027	1	100							120	22929	2	22930	1	22932	1																																												
60127		初阶蓝速龙王护甲				1				1	12	1	1	2	60028	1	100							120	22929	3	22931	1																																														
60128		初阶蓝速龙王护腰				1				1	13	1	1	2	60029	1	100							120	22929	3	22931	1																																														
60129		初阶蓝速龙王护腿				1				1	14	1	1	2	60030	1	100							120	22929	1	22930	1	22931	1																																												
60130		初阶大野猪王头盔				1				1	10	1	1	1	60031	1	100							120	22936	2	22935	1	22937	1																																												
60131		初阶大野猪王腕甲				1				1	11	1	1	1	60032	1	100							120	22936	2	22935	1	22937	1																																												
60132		初阶大野猪王铠甲				1				1	12	1	1	1	60033	1	100							120	22936	3	22934	1		1																																												
60133		初阶大野猪王腰甲				1				1	13	1	1	1	60034	1	100							120	22936	3	22934	1		1																																												
60134		初阶大野猪王腿甲				1				1	14	1	1	1	60035	1	100							120	22936	1	22935	1	22934	1																																												
60135		初阶大野猪王战帽				1				1	10	1	1	2	60036	1	100							120	22936	2	22935	1	22937	1																																												
60136		初阶大野猪王护手				1				1	11	1	1	2	60037	1	100							120	22936	2	22935	1	22937	1																																												
60137		初阶大野猪王护甲				1				1	12	1	1	2	60038	1	100							120	22936	3	22934	1																																														
60138		初阶大野猪王护腰				1				1	13	1	1	2	60039	1	100							120	22936	3	22934	1																																														
60139		初阶大野猪王护腿				1				1	14	1	1	2	60040	1	100							120	22936	1	22935	1	22934	1																																												
60140		初阶大怪鸟头盔				1				1	10	1	1	1	60041	1	100							120	22578	2	22579	1	22581	1																																												
60141		初阶大怪鸟腕甲				1				1	11	1	1	1	60042	1	100							120	22578	2	22579	1	22581	1																																												
60142		初阶大怪鸟铠甲				1				1	12	1	1	1	60043	1	100							120	22578	2	22580	1	22583	1																																												
60143		初阶大怪鸟腰甲				1				1	13	1	1	1	60044	1	100							120	22578	2	22580	1	22583	1																																												
60144		初阶大怪鸟腿甲				1				1	14	1	1	1	60045	1	100							120	22578	1	22579	1	22580	1																																												
60145		初阶大怪鸟战帽				1				1	10	1	1	2	60046	1	100							120	22578	2	22579	1	22581	1																																												
60146		初阶大怪鸟护手				1				1	11	1	1	2	60047	1	100							120	22578	2	22579	1	22581	1																																												
60147		初阶大怪鸟护甲				1				1	12	1	1	2	60048	1	100							120	22578	2	22580	1	22583	1																																												
60148		初阶大怪鸟护腰				1				1	13	1	1	2	60049	1	100							120	22578	2	22580	1	22583	1																																												
60149		初阶大怪鸟护腿				1				1	14	1	1	2	60050	1	100							120	22578	1	22579	1	22580	1																																												
60150		初阶黄速龙王头盔				1				1	10	1	1	1	60051	1	100							120	22939	2	22940	1	22942	1																																												
60151		初阶黄速龙王腕甲				1				1	11	1	1	1	60052	1	100							120	22939	2	22940	1	22942	1																																												
60152		初阶黄速龙王铠甲				1				1	12	1	1	1	60053	1	100							120	22939	2	22941	1	22944	1																																												
60153		初阶黄速龙王腰甲				1				1	13	1	1	1	60054	1	100							120	22939	2	22941	1	22944	1																																												
60154		初阶黄速龙王腿甲				1				1	14	1	1	1	60055	1	100							120	22939	1	22940	1	22941	1																																												
60155		初阶黄速龙王战帽				1				1	10	1	1	2	60056	1	100							120	22939	2	22940	1	22942	1																																												
60156		初阶黄速龙王护手				1				1	11	1	1	2	60057	1	100							120	22939	2	22940	1	22942	1																																												
60157		初阶黄速龙王护甲				1				1	12	1	1	2	60058	1	100							120	22939	2	22941	1	22944	1																																												
60158		初阶黄速龙王护腰				1				1	13	1	1	2	60059	1	100							120	22939	2	22941	1	22944	1																																												
60159		初阶黄速龙王护腿				1				1	14	1	1	2	60060	1	100							120	22939	1	22940	1	22941	1																																												
60160		初阶鬼狩蛛头盔				1				1	10	1	1	1	60061	1	100							480	22802	2	22803	1	22804	1																																												
60161		初阶鬼狩蛛腕甲				1				1	11	1	1	1	60062	1	100							480	22802	2	22803	1	22805	1																																												
60162		初阶鬼狩蛛铠甲				1				1	12	1	1	1	60063	1	100							480	22802	1	22803	1	22804	1	22806	1																																										
60163		初阶鬼狩蛛腰甲				1				1	13	1	1	1	60064	1	100							480	22802	1	22803	1	22804	1	22806	1																																										
60164		初阶鬼狩蛛腿甲				1				1	14	1	1	1	60065	1	100							480	22802	1	22803	1	22804	1	22806	1																																										
60165		初阶鬼狩蛛战帽				1				1	10	1	1	2	60066	1	100							480	22802	2	22803	1	22804	1																																												
60166		初阶鬼狩蛛护手				1				1	11	1	1	2	60067	1	100							480	22802	2	22803	1	22805	1																																												
60167		初阶鬼狩蛛护甲				1				1	12	1	1	2	60068	1	100							480	22802	1	22803	1	22804	1	22806	1																																										
60168		初阶鬼狩蛛护腰				1				1	13	1	1	2	60069	1	100							480	22802	1	22803	1	22804	1	22806	1																																										
60169		初阶鬼狩蛛护腿				1				1	14	1	1	2	60070	1	100							480	22802	1	22803	1	22804	1	22806	1																																										
60170		初阶沙狸兽头盔				1				1	10	1	1	1	60071	1	100							480	22809	2	22810	1	22811	1																																												
60171		初阶沙狸兽腕甲				1				1	11	1	1	1	60072	1	100							480	22809	2	22810	1	22812	1																																												
60172		初阶沙狸兽铠甲				1				1	12	1	1	1	60073	1	100							480	22809	1	22810	1	22811	1	22813	1																																										
60173		初阶沙狸兽腰甲				1				1	13	1	1	1	60074	1	100							480	22809	1	22810	1	22811	1	22813	1																																										
60174		初阶沙狸兽腿甲				1				1	14	1	1	1	60075	1	100							480	22809	1	22810	1	22811	1	22813	1																																										
60175		初阶沙狸兽战帽				1				1	10	1	1	2	60076	1	100							480	22809	2	22810	1	22811	1																																												
60176		初阶沙狸兽护手				1				1	11	1	1	2	60077	1	100							480	22809	2	22810	1	22812	1																																												
60177		初阶沙狸兽护甲				1				1	12	1	1	2	60078	1	100							480	22809	1	22810	1	22811	1	22813	1																																										
60178		初阶沙狸兽护腰				1				1	13	1	1	2	60079	1	100							480	22809	1	22810	1	22811	1	22813	1																																										
60179		初阶沙狸兽护腿				1				1	14	1	1	2	60080	1	100							480	22809	1	22810	1	22811	1	22813	1																																										
60180		初阶毒怪鸟头盔				1				1	10	1	1	1	60081	1	100							480	22816	2	22817	1	22818	1																																												
60181		初阶毒怪鸟腕甲				1				1	11	1	1	1	60082	1	100							480	22816	2	22817	1	22819	1																																												
60182		初阶毒怪鸟铠甲				1				1	12	1	1	1	60083	1	100							480	22816	1	22817	1	22818	1	22820	1																																										
60183		初阶毒怪鸟腰甲				1				1	13	1	1	1	60084	1	100							480	22816	1	22817	1	22818	1	22820	1																																										
60184		初阶毒怪鸟腿甲				1				1	14	1	1	1	60085	1	100							480	22816	1	22817	1	22818	1	22820	1																																										
60185		初阶毒怪鸟战帽				1				1	10	1	1	2	60086	1	100							480	22816	2	22817	1	22818	1																																												
60186		初阶毒怪鸟护手				1				1	11	1	1	2	60087	1	100							480	22816	2	22817	1	22819	1																																												
60187		初阶毒怪鸟护甲				1				1	12	1	1	2	60088	1	100							480	22816	1	22817	1	22818	1	22820	1																																										
60188		初阶毒怪鸟护腰				1				1	13	1	1	2	60089	1	100							480	22816	1	22817	1	22818	1	22820	1																																										
60189		初阶毒怪鸟护腿				1				1	14	1	1	2	60090	1	100							480	22816	1	22817	1	22818	1	22820	1																																										
60190		初阶桃毛兽王头盔				1				1	10	1	1	1	60091	1	100							480	22822	2	22823	1	22824	1																																												
60191		初阶桃毛兽王腕甲				1				1	11	1	1	1	60092	1	100							480	22822	2	22823	1	22825	1																																												
60192		初阶桃毛兽王铠甲				1				1	12	1	1	1	60093	1	100							480	22822	1	22823	1	22824	1	22826	1																																										
60193		初阶桃毛兽王腰甲				1				1	13	1	1	1	60094	1	100							480	22822	1	22823	1	22824	1	22826	1																																										
60194		初阶桃毛兽王腿甲				1				1	14	1	1	1	60095	1	100							480	22822	1	22823	1	22824	1	22826	1																																										
60195		初阶桃毛兽王战帽				1				1	10	1	1	2	60096	1	100							480	22822	2	22823	1	22824	1																																												
60196		初阶桃毛兽王护手				1				1	11	1	1	2	60097	1	100							480	22822	2	22823	1	22825	1																																												
60197		初阶桃毛兽王护甲				1				1	12	1	1	2	60098	1	100							480	22822	1	22823	1	22824	1	22826	1																																										
60198		初阶桃毛兽王护腰				1				1	13	1	1	2	60099	1	100							480	22822	1	22823	1	22824	1	22826	1																																										
60199		初阶桃毛兽王护腿				1				1	14	1	1	2	60100	1	100							480	22822	1	22823	1	22824	1	22826	1																																										
60210		初阶沙雷鸟头盔				1				1	10	1	1	1	60101	1	100							480	22829	2	22830	1	22831	1																																												
60211		初阶沙雷鸟腕甲				1				1	11	1	1	1	60102	1	100							480	22829	2	22830	1	22832	1																																												
60212		初阶沙雷鸟铠甲				1				1	12	1	1	1	60103	1	100							480	22829	1	22830	1	22831	1	22833	1																																										
60213		初阶沙雷鸟腰甲				1				1	13	1	1	1	60104	1	100							480	22829	1	22830	1	22831	1	22833	1																																										
60214		初阶沙雷鸟腿甲				1				1	14	1	1	1	60105	1	100							480	22829	1	22830	1	22831	1	22833	1																																										
60215		初阶沙雷鸟战帽				1				1	10	1	1	2	60106	1	100							480	22829	2	22830	1	22831	1																																												
60216		初阶沙雷鸟护手				1				1	11	1	1	2	60107	1	100							480	22829	2	22830	1	22832	1																																												
60217		初阶沙雷鸟护甲				1				1	12	1	1	2	60108	1	100							480	22829	1	22830	1	22831	1	22833	1																																										
60218		初阶沙雷鸟护腰				1				1	13	1	1	2	60109	1	100							480	22829	1	22830	1	22831	1	22833	1																																										
60219		初阶沙雷鸟护腿				1				1	14	1	1	2	60110	1	100							480	22829	1	22830	1	22831	1	22833	1																																										
60200		初阶沙龙王头盔				1				1	10	1	1	1	60111	1	100							480	22835	2	22836	1	22837	1																																												
60201		初阶沙龙王腕甲				1				1	11	1	1	1	60112	1	100							480	22835	2	22836	1	22838	1																																												
60202		初阶沙龙王铠甲				1				1	12	1	1	1	60113	1	100							480	22835	1	22836	1	22837	1	22839	1																																										
60203		初阶沙龙王腰甲				1				1	13	1	1	1	60114	1	100							480	22835	1	22836	1	22837	1	22839	1																																										
60204		初阶沙龙王腿甲				1				1	14	1	1	1	60115	1	100							480	22835	1	22836	1	22837	1	22839	1																																										
60205		初阶沙龙王战帽				1				1	10	1	1	2	60116	1	100							480	22835	2	22836	1	22837	1																																												
60206		初阶沙龙王护手				1				1	11	1	1	2	60117	1	100							480	22835	2	22836	1	22838	1																																												
60207		初阶沙龙王护甲				1				1	12	1	1	2	60118	1	100							480	22835	1	22836	1	22837	1	22839	1																																										
60208		初阶沙龙王护腰				1				1	13	1	1	2	60119	1	100							480	22835	1	22836	1	22837	1	22839	1																																										
60209		初阶沙龙王护腿				1				1	14	1	1	2	60120	1	100							480	22835	1	22836	1	22837	1	22839	1																																										
60220		初阶大名盾蟹头盔				1				1	10	1	1	1	60121	1	100							480	22842	2	22843	1	22844	1																																												
60221		初阶大名盾蟹腕甲				1				1	11	1	1	1	60122	1	100							480	22842	2	22843	1	22845	1																																												
60222		初阶大名盾蟹铠甲				1				1	12	1	1	1	60123	1	100							480	22842	1	22843	1	22844	1	22846	1																																										
60223		初阶大名盾蟹腰甲				1				1	13	1	1	1	60124	1	100							480	22842	1	22843	1	22844	1	22846	1																																										
60224		初阶大名盾蟹腿甲				1				1	14	1	1	1	60125	1	100							480	22842	1	22843	1	22844	1	22846	1																																										
60225		初阶大名盾蟹战帽				1				1	10	1	1	2	60126	1	100							480	22842	2	22843	1	22844	1																																												
60226		初阶大名盾蟹护手				1				1	11	1	1	2	60127	1	100							480	22842	2	22843	1	22845	1																																												
60227		初阶大名盾蟹护甲				1				1	12	1	1	2	60128	1	100							480	22842	1	22843	1	22844	1	22846	1																																										
60228		初阶大名盾蟹护腰				1				1	13	1	1	2	60129	1	100							480	22842	1	22843	1	22844	1	22846	1																																										
60229		初阶大名盾蟹护腿				1				1	14	1	1	2	60130	1	100							480	22842	1	22843	1	22844	1	22846	1																																										
60250		初阶青怪鸟头盔				1				1	10	1	1	1	60131	1	100							1200	22848	2	22849	2	22850	1	22852	1																																										
60251		初阶青怪鸟腕甲				1				1	11	1	1	1	60132	1	100							1200	22848	2	22849	2	22850	1	22852	1																																										
60252		初阶青怪鸟铠甲				1				1	12	1	1	1	60133	1	100							1200	22848	2	22849	2	22850	1	22852	1																																										
60253		初阶青怪鸟腰甲				1				1	13	1	1	1	60134	1	100							1200	22848	2	22849	1	22850	2	22852	1																																										
60254		初阶青怪鸟腿甲				1				1	14	1	1	1	60135	1	100							1200	22848	2	22849	1	22850	1	22851	1	22852	1																																								
60255		初阶青怪鸟战帽				1				1	10	1	1	2	60136	1	100							1200	22848	2	22849	2	22850	1	22852	1																																										
60256		初阶青怪鸟护手				1				1	11	1	1	2	60137	1	100							1200	22848	2	22849	2	22850	1	22852	1																																										
60257		初阶青怪鸟护甲				1				1	12	1	1	2	60138	1	100							1200	22848	2	22849	2	22850	1	22852	1																																										
60258		初阶青怪鸟护腰				1				1	13	1	1	2	60139	1	100							1200	22848	2	22849	1	22850	2	22852	1																																										
60259		初阶青怪鸟护腿				1				1	14	1	1	2	60140	1	100							1200	22848	2	22849	1	22850	1	22851	1	22852	1																																								
60260		初阶电龙头盔				1				1	10	1	1	1	60141	1	100							1200	22854	2	22855	2	22856	1	22858	1																																										
60261		初阶电龙腕甲				1				1	11	1	1	1	60142	1	100							1200	22854	2	22855	2	22856	1	22858	1																																										
60262		初阶电龙铠甲				1				1	12	1	1	1	60143	1	100							1200	22854	2	22855	2	22856	1	22858	1																																										
60263		初阶电龙腰甲				1				1	13	1	1	1	60144	1	100							1200	22854	2	22855	1	22856	2	22858	1																																										
60264		初阶电龙腿甲				1				1	14	1	1	1	60145	1	100							1200	22854	2	22855	1	22856	1	22857	1	22858	1																																								
60265		初阶电龙战帽				1				1	10	1	1	2	60146	1	100							1200	22854	2	22855	2	22856	1	22858	1																																										
60266		初阶电龙护手				1				1	11	1	1	2	60147	1	100							1200	22854	2	22855	2	22856	1	22858	1																																										
60267		初阶电龙护甲				1				1	12	1	1	2	60148	1	100							1200	22854	2	22855	2	22856	1	22858	1																																										
60268		初阶电龙护腰				1				1	13	1	1	2	60149	1	100							1200	22854	2	22855	1	22856	2	22858	1																																										
60269		初阶电龙护腿				1				1	14	1	1	2	60150	1	100							1200	22854	2	22855	1	22856	1	22857	1	22858	1																																								
60230		初阶岩龙头盔				1				1	10	1	1	1	60151	1	100							1200	22860	2	22861	2	22862	1	22864	1																																										
60231		初阶岩龙腕甲				1				1	11	1	1	1	60152	1	100							1200	22860	2	22861	2	22862	1	22864	1																																										
60232		初阶岩龙铠甲				1				1	12	1	1	1	60153	1	100							1200	22860	2	22861	2	22862	1	22864	1																																										
60233		初阶岩龙腰甲				1				1	13	1	1	1	60154	1	100							1200	22860	2	22861	1	22862	2	22864	1																																										
60234		初阶岩龙腿甲				1				1	14	1	1	1	60155	1	100							1200	22860	2	22861	1	22862	1	22863	1	22864	1																																								
60235		初阶岩龙战帽				1				1	10	1	1	2	60156	1	100							1200	22860	2	22861	2	22862	1	22864	1																																										
60236		初阶岩龙护手				1				1	11	1	1	2	60157	1	100							1200	22860	2	22861	2	22862	1	22864	1																																										
60237		初阶岩龙护甲				1				1	12	1	1	2	60158	1	100							1200	22860	2	22861	2	22862	1	22864	1																																										
60238		初阶岩龙护腰				1				1	13	1	1	2	60159	1	100							1200	22860	2	22861	1	22862	2	22864	1																																										
60239		初阶岩龙护腿				1				1	14	1	1	2	60160	1	100							1200	22860	2	22861	1	22862	1	22863	1	22864	1																																								
60240		初阶眠鸟头盔				1				1	10	1	1	1	60161	1	100							1200	22867	2	22868	2	22869	1	22871	1																																										
60241		初阶眠鸟腕甲				1				1	11	1	1	1	60162	1	100							1200	22867	2	22868	2	22869	1	22871	1																																										
60242		初阶眠鸟铠甲				1				1	12	1	1	1	60163	1	100							1200	22867	2	22868	2	22869	1	22871	1																																										
60243		初阶眠鸟腰甲				1				1	13	1	1	1	60164	1	100							1200	22867	2	22868	1	22869	2	22871	1																																										
60244		初阶眠鸟腿甲				1				1	14	1	1	1	60165	1	100							1200	22867	2	22868	1	22869	1	22870	1	22871	1																																								
60245		初阶眠鸟战帽				1				1	10	1	1	2	60166	1	100							1200	22867	2	22868	2	22869	1	22871	1																																										
60246		初阶眠鸟护手				1				1	11	1	1	2	60167	1	100							1200	22867	2	22868	2	22869	1	22871	1																																										
60247		初阶眠鸟护甲				1				1	12	1	1	2	60168	1	100							1200	22867	2	22868	2	22869	1	22871	1																																										
60248		初阶眠鸟护腰				1				1	13	1	1	2	60169	1	100							1200	22867	2	22868	1	22869	2	22871	1																																										
60249		初阶眠鸟护腿				1				1	14	1	1	2	60170	1	100							1200	22867	2	22868	1	22869	1	22870	1	22871	1																																								
60280		初阶金毛兽王头盔				1				1	10	1	1	1	60171	1	100							1200	22874	2	22875	2	22876	1	22878	1																																										
60281		初阶金毛兽王腕甲				1				1	11	1	1	1	60172	1	100							1200	22874	2	22875	2	22876	1	22878	1																																										
60282		初阶金毛兽王铠甲				1				1	12	1	1	1	60173	1	100							1200	22874	2	22875	2	22876	1	22878	1																																										
60283		初阶金毛兽王腰甲				1				1	13	1	1	1	60174	1	100							1200	22874	2	22875	1	22876	2	22878	1																																										
60284		初阶金毛兽王腿甲				1				1	14	1	1	1	60175	1	100							1200	22874	2	22875	1	22876	1	22877	1	22878	1																																								
60285		初阶金毛兽王战帽				1				1	10	1	1	2	60176	1	100							1200	22874	2	22875	2	22876	1	22878	1																																										
60286		初阶金毛兽王护手				1				1	11	1	1	2	60177	1	100							1200	22874	2	22875	2	22876	1	22878	1																																										
60287		初阶金毛兽王护甲				1				1	12	1	1	2	60178	1	100							1200	22874	2	22875	2	22876	1	22878	1																																										
60288		初阶金毛兽王护腰				1				1	13	1	1	2	60179	1	100							1200	22874	2	22875	1	22876	2	22878	1																																										
60289		初阶金毛兽王护腿				1				1	14	1	1	2	60180	1	100							1200	22874	2	22875	1	22876	1	22877	1	22878	1																																								
60320		初阶骇狩蛛头盔				1				1	10	1	1	1	60181	1	100							1200	22881	2	22882	2	22883	1	22885	1																																										
60321		初阶骇狩蛛腕甲				1				1	11	1	1	1	60182	1	100							1200	22881	2	22882	2	22883	1	22885	1																																										
60322		初阶骇狩蛛铠甲				1				1	12	1	1	1	60183	1	100							1200	22881	2	22882	2	22883	1	22885	1																																										
60323		初阶骇狩蛛腰甲				1				1	13	1	1	1	60184	1	100							1200	22881	2	22882	1	22883	2	22885	1																																										
60324		初阶骇狩蛛腿甲				1				1	14	1	1	1	60185	1	100							1200	22881	2	22882	1	22883	1	22884	1	22885	1																																								
60325		初阶骇狩蛛战帽				1				1	10	1	1	2	60186	1	100							1200	22881	2	22882	2	22883	1	22885	1																																										
60326		初阶骇狩蛛护手				1				1	11	1	1	2	60187	1	100							1200	22881	2	22882	2	22883	1	22885	1																																										
60327		初阶骇狩蛛护甲				1				1	12	1	1	2	60188	1	100							1200	22881	2	22882	2	22883	1	22885	1																																										
60328		初阶骇狩蛛护腰				1				1	13	1	1	2	60189	1	100							1200	22881	2	22882	1	22883	2	22885	1																																										
60329		初阶骇狩蛛护腿				1				1	14	1	1	2	60190	1	100							1200	22881	2	22882	1	22883	1	22884	1	22885	1																																								
60300		初阶紫毒鸟头盔				1				1	10	1	1	1	60191	1	100							1200	22888	2	22889	2	22890	1	22892	1																																										
60301		初阶紫毒鸟腕甲				1				1	11	1	1	1	60192	1	100							1200	22888	2	22889	2	22890	1	22892	1																																										
60302		初阶紫毒鸟铠甲				1				1	12	1	1	1	60193	1	100							1200	22888	2	22889	2	22890	1	22892	1																																										
60303		初阶紫毒鸟腰甲				1				1	13	1	1	1	60194	1	100							1200	22888	2	22889	1	22890	2	22892	1																																										
60304		初阶紫毒鸟腿甲				1				1	14	1	1	1	60195	1	100							1200	22888	2	22889	1	22890	1	22891	1	22892	1																																								
60305		初阶紫毒鸟战帽				1				1	10	1	1	2	60196	1	100							1200	22888	2	22889	2	22890	1	22892	1																																										
60306		初阶紫毒鸟护手				1				1	11	1	1	2	60197	1	100							1200	22888	2	22889	2	22890	1	22892	1																																										
60307		初阶紫毒鸟护甲				1				1	12	1	1	2	60198	1	100							1200	22888	2	22889	2	22890	1	22892	1																																										
60308		初阶紫毒鸟护腰				1				1	13	1	1	2	60199	1	100							1200	22888	2	22889	1	22890	2	22892	1																																										
60309		初阶紫毒鸟护腿				1				1	14	1	1	2	60200	1	100							1200	22888	2	22889	1	22890	1	22891	1	22892	1																																								
60290		初阶将军镰蟹头盔				1				1	10	1	1	1	60201	1	100							480	22894	2	22895	1	22896	1																																												
60291		初阶将军镰蟹腕甲				1				1	11	1	1	1	60202	1	100							480	22894	2	22895	1	22897	1																																												
60292		初阶将军镰蟹铠甲				1				1	12	1	1	1	60203	1	100							480	22894	1	22895	1	22896	1	22898	1																																										
60293		初阶将军镰蟹腰甲				1				1	13	1	1	1	60204	1	100							480	22894	1	22895	1	22896	1	22898	1																																										
60294		初阶将军镰蟹腿甲				1				1	14	1	1	1	60205	1	100							480	22894	1	22895	1	22896	1	22898	1																																										
60295		初阶将军镰蟹战帽				1				1	10	1	1	2	60206	1	100							480	22894	2	22895	1	22896	1																																												
60296		初阶将军镰蟹护手				1				1	11	1	1	2	60207	1	100							480	22894	2	22895	1	22897	1																																												
60297		初阶将军镰蟹护甲				1				1	12	1	1	2	60208	1	100							480	22894	1	22895	1	22896	1	22898	1																																										
60298		初阶将军镰蟹护腰				1				1	13	1	1	2	60209	1	100							480	22894	1	22895	1	22896	1	22898	1																																										
60299		初阶将军镰蟹护腿				1				1	14	1	1	2	60210	1	100							480	22894	1	22895	1	22896	1	22898	1																																										
60310		初阶雪狮子王头盔				1				1	10	1	1	1	60211	1	100							1200	22901	2	22902	2	22903	1	22905	1																																										
60311		初阶雪狮子王腕甲				1				1	11	1	1	1	60212	1	100							1200	22901	2	22902	2	22903	1	22905	1																																										
60312		初阶雪狮子王铠甲				1				1	12	1	1	1	60213	1	100							1200	22901	2	22902	2	22903	1	22905	1																																										
60313		初阶雪狮子王腰甲				1				1	13	1	1	1	60214	1	100							1200	22901	2	22902	1	22903	2	22905	1																																										
60314		初阶雪狮子王腿甲				1				1	14	1	1	1	60215	1	100							1200	22901	2	22902	1	22903	1	22904	1	22905	1																																								
60315		初阶雪狮子王战帽				1				1	10	1	1	2	60216	1	100							1200	22901	2	22902	2	22903	1	22905	1																																										
60316		初阶雪狮子王护手				1				1	11	1	1	2	60217	1	100							1200	22901	2	22902	2	22903	1	22905	1																																										
60317		初阶雪狮子王护甲				1				1	12	1	1	2	60218	1	100							1200	22901	2	22902	2	22903	1	22905	1																																										
60318		初阶雪狮子王护腰				1				1	13	1	1	2	60219	1	100							1200	22901	2	22902	1	22903	2	22905	1																																										
60319		初阶雪狮子王护腿				1				1	14	1	1	2	60220	1	100							1200	22901	2	22902	1	22903	1	22904	1	22905	1																																								
60270		初阶星龙头盔				1				1	10	1	1	1	60221	1	100							1200	22908	2	22909	2	22910	1	22912	1																																										
60271		初阶星龙腕甲				1				1	11	1	1	1	60222	1	100							1200	22908	2	22909	2	22910	1	22912	1																																										
60272		初阶星龙铠甲				1				1	12	1	1	1	60223	1	100							1200	22908	2	22909	2	22910	1	22912	1																																										
60273		初阶星龙腰甲				1				1	13	1	1	1	60224	1	100							1200	22908	2	22909	1	22910	2	22912	1																																										
60274		初阶星龙腿甲				1				1	14	1	1	1	60225	1	100							1200	22908	2	22909	1	22910	1	22911	1	22912	1																																								
60275		初阶星龙战帽				1				1	10	1	1	2	60226	1	100							1200	22908	2	22909	2	22910	1	22912	1																																										
60276		初阶星龙护手				1				1	11	1	1	2	60227	1	100							1200	22908	2	22909	2	22910	1	22912	1																																										
60277		初阶星龙护甲				1				1	12	1	1	2	60228	1	100							1200	22908	2	22909	2	22910	1	22912	1																																										
60278		初阶星龙护腰				1				1	13	1	1	2	60229	1	100							1200	22908	2	22909	1	22910	2	22912	1																																										
60279		初阶星龙护腿				1				1	14	1	1	2	60230	1	100							1200	22908	2	22909	1	22910	1	22911	1	22912	1																																								
61010		河狸兽头盔				1				1	10	1	1	1	61001	1	100							2400	22798	5	22799	5	22800	1	23188	1	22796	1																																								
61011		河狸兽腕甲				1				1	11	1	1	1	61002	1	100							2400	22798	5	22799	5	22800	1	23188	1	22796	1																																								
61012		河狸兽铠甲				1				1	12	1	1	1	61003	1	100							2400	22798	5	22799	5	22800	1	22796	2																																										
61013		河狸兽腰甲				1				1	13	1	1	1	61004	1	100							2400	22798	5	22799	4	22800	2	22796	1																																										
61014		河狸兽腿甲				1				1	14	1	1	1	61005	1	100							2400	22798	5	22799	4	22800	1	23188	1	22796	1																																								
61015		河狸兽战帽				1				1	10	1	1	2	61006	1	100							2400	22798	5	22799	5	22800	1	23188	1	22796	1																																								
61016		河狸兽护手				1				1	11	1	1	2	61007	1	100							2400	22798	5	22799	5	22800	1	23188	1	22796	1																																								
61017		河狸兽护甲				1				1	12	1	1	2	61008	1	100							2400	22798	5	22799	5	22800	1	22796	2																																										
61018		河狸兽护腰				1				1	13	1	1	2	61009	1	100							2400	22798	5	22799	4	22800	2	22796	1																																										
61019		河狸兽护腿				1				1	14	1	1	2	61010	1	100							2400	22798	5	22799	4	22800	1	23188	1	22796	1																																								
61020		蓝速龙王头盔				1				1	10	1	1	1	61011	1	100							2400	22931	5	22932	5	22933	1	23191	1	22929	1																																								
61021		蓝速龙王腕甲				1				1	11	1	1	1	61012	1	100							2400	22931	5	22932	5	22933	1	23191	1	22929	1																																								
61022		蓝速龙王铠甲				1				1	12	1	1	1	61013	1	100							2400	22931	5	22932	5	22933	1	22929	2																																										
61023		蓝速龙王腰甲				1				1	13	1	1	1	61014	1	100							2400	22931	5	22932	4	22933	2	22929	1																																										
