#TSV
#============Begin of sheet============
@Sheet=人物普通buff10~12
39990														时间更新,次数不变									EOT触发					1000		自动回行动力																					
30601			1																											人物属性修饰	AttackLevelDef	值修改	1																		
30602			1																											人物属性修饰	AttackLevelDef	值修改	2																		
30603			1																											人物属性修饰	AttackLevelDef	值修改	3																		
30604			1																											人物属性修饰	AttackLevelDef	值修改	4																		
30605			1																											人物属性修饰	AttackLevelDef	值修改	5																		
30606			1																											人物属性修饰	AttackLevelDef	值修改	6																		
30607			1																											人物属性修饰	AttackLevelDef	值修改	7																		
30608			1																											人物属性修饰	AttackLevelDef	值修改	8																		
30609			1																											人物属性修饰	AttackLevelDef	值修改	9																		
30610			1																											人物属性修饰	AttackLevelDef	值修改	10																		
30611			1																											人物属性修饰	AttackLevelDef	值修改	11																		
30612			1																											人物属性修饰	AttackLevelDef	值修改	12																		
30613			1																											人物属性修饰	AttackLevelDef	值修改	13																		
12000066	属性觉醒		1					40000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-20								buff44		狩魂燃烧！伤害、会心率小幅提升！	252							
12000066	属性觉醒		1																		1	1								人物属性修饰	PlayerCrit	值修改	1								buff44		狩魂燃烧！伤害、会心率小幅提升！	252							
12000066	属性觉醒		1																		1	1								人物属性修饰	WaterAttack	百分比修改	15								buff44		狩魂燃烧！伤害、会心率小幅提升！	252							
12000066	属性觉醒		1																		1	1								人物属性修饰	FireAttack	百分比修改	15								buff44		狩魂燃烧！伤害、会心率小幅提升！	252							
12000066	属性觉醒		1																		1	1								人物属性修饰	LightningAttack	百分比修改	15								buff44		狩魂燃烧！伤害、会心率小幅提升！	252							
12000066	属性觉醒		1																		1	1								人物属性修饰	DragonAttack	百分比修改	15								buff44		狩魂燃烧！伤害、会心率小幅提升！	252							
12000066	属性觉醒		1																		1	1								人物属性修饰	IceAttack	百分比修改	15								buff44		狩魂燃烧！伤害、会心率小幅提升！	252							
12000066	属性觉醒		1																		1	1								人物属性修饰	PlayerAtk	百分比修改	15								buff44		狩魂燃烧！伤害、会心率小幅提升！	252							
12000067	属性觉醒		1					40000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	10								buff44		狩魂燃烧！伤害、会心率中幅提升！	252							
12000067	属性觉醒		1																		1	1								被伤害结果修饰	伤害	百分比修改	-30																		
12000067	属性觉醒		1																		1	1								人物属性修饰	PlayerCrit	值修改	3																		
12000067	属性觉醒		1																		1	1								人物属性修饰	WaterAttack	百分比修改	30								buff44		狩魂燃烧！伤害、会心率中幅提升！	252							
12000067	属性觉醒		1																		1	1								人物属性修饰	FireAttack	百分比修改	30																		
12000067	属性觉醒		1																		1	1								人物属性修饰	LightningAttack	百分比修改	30																		
12000067	属性觉醒		1																		1	1								人物属性修饰	DragonAttack	百分比修改	30								buff44		狩魂燃烧！伤害、会心率中幅提升！	252							
12000067	属性觉醒		1																		1	1								人物属性修饰	IceAttack	百分比修改	30																		
12000067	属性觉醒		1																		1	1								人物属性修饰	PlayerAtk	百分比修改	30																		
12000068	属性觉醒		1					40000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	20								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	252							
12000068	属性觉醒		1																		1	1								被伤害结果修饰	伤害	百分比修改	-40																		
12000068	属性觉醒		1																		1	1								人物属性修饰	PlayerCrit	值修改	5																		
12000068	属性觉醒		1																		1	1								人物属性修饰	WaterAttack	百分比修改	50								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	252							
12000068	属性觉醒		1																		1	1								人物属性修饰	FireAttack	百分比修改	50																		
12000068	属性觉醒		1																		1	1								人物属性修饰	LightningAttack	百分比修改	50																		
12000068	属性觉醒		1																		1	1								人物属性修饰	DragonAttack	百分比修改	50								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	252							
12000068	属性觉醒		1																		1	1								人物属性修饰	IceAttack	百分比修改	50																		
12000068	属性觉醒		1																		1	1								人物属性修饰	PlayerAtk	百分比修改	20																		
12000060			1											时间更新,次数不变																														252							
12000061			1											时间更新,次数不变																														255							
12000062			1											时间更新,次数不变																														254							
12000063			1											时间更新,次数不变																														253							
12000064			1											时间更新,次数不变																														257							
12000065			1											时间更新,次数不变																														256							
12000003	天锋开刃		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	20								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	70011							
12000003	天锋开刃		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-40																		
12000003	天锋开刃		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	5																		
12000002	杀意融合		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	10								buff44		狩魂燃烧！伤害、会心率中幅提升！	70011							
12000002	杀意融合		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-30																		
12000002	杀意融合		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	3																		
12000001	人武同调		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-20								buff44		狩魂燃烧！伤害、会心率小幅提升！	70011							
12000001	人武同调		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	1								buff44		狩魂燃烧！伤害、会心率小幅提升！	70011							
12000013	狂涛席卷		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	20								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	70012							
12000013	狂涛席卷		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-40																		
12000013	狂涛席卷		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	5																		
12000012	水波放射		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	10								buff44		狩魂燃烧！伤害、会心率中幅提升！	70012							
12000012	水波放射		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-30																		
12000012	水波放射		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	3																		
12000011	雨雾润泽		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-20								buff44		狩魂燃烧！伤害、会心率小幅提升！	70012							
12000011	雨雾润泽		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	1								buff44		狩魂燃烧！伤害、会心率小幅提升！	70012							
12000023	轰炎焚劫		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	20								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	70013							
12000023	轰炎焚劫		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-40																		
12000023	轰炎焚劫		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	5																		
12000022	灼刃红莲		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	10								buff44		狩魂燃烧！伤害、会心率中幅提升！	70013							
12000022	灼刃红莲		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-30																		
12000022	灼刃红莲		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	3																		
12000021	星火溅散		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-20								buff44		狩魂燃烧！伤害、会心率小幅提升！	70013							
12000021	星火溅散		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	1								buff44		狩魂燃烧！伤害、会心率小幅提升！	70013							
12000033	神雷灵装		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	20								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	70014							
12000033	神雷灵装		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-40																		
12000033	神雷灵装		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	5																		
12000032	雷云轰鸣		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	10								buff44		狩魂燃烧！伤害、会心率中幅提升！	70014							
12000032	雷云轰鸣		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-30																		
12000032	雷云轰鸣		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	3																		
12000031	电气激发		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-20								buff44		狩魂燃烧！伤害、会心率小幅提升！	70014							
12000031	电气激发		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	1								buff44		狩魂燃烧！伤害、会心率小幅提升！	70014							
12000043	灾龙觉醒		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	20								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	70015							
12000043	灾龙觉醒		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-40																		
12000043	灾龙觉醒		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	5																		
12000042	龙血之怒		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	10								buff44		狩魂燃烧！伤害、会心率中幅提升！	70015							
12000042	龙血之怒		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-30																		
12000042	龙血之怒		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	3																		
12000041	龙息残留		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-20								buff44		狩魂燃烧！伤害、会心率小幅提升！	70015							
12000041	龙息残留		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	1								buff44		狩魂燃烧！伤害、会心率小幅提升！	70015							
12000053	千刃霜岚		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	20								buff44		狩魂燃烧！伤害、会心率、移动速度大幅提升！	70016							
12000053	千刃霜岚		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-40																		
12000053	千刃霜岚		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	5																		
12000052	冰风凛冽		1					35000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	10								buff44		狩魂燃烧！伤害、会心率中幅提升！	70016							
12000052	冰风凛冽		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-30																		
12000052	冰风凛冽		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	3																		
12000051	冻气缭绕		1					35000						时间更新,次数不变							1	1								被伤害结果修饰	伤害	百分比修改	-20								buff44		狩魂燃烧！伤害、会心率小幅提升！	70016							
12000051	冻气缭绕		1					35000						时间更新,次数不变							1	1								人物属性修饰	PlayerCrit	值修改	1								buff44		狩魂燃烧！伤害、会心率小幅提升！	70016							
10000000			1																				EOT触发	立即触发				1000		耐力衰减																					
10000001																							翻滚							服务器爆炸	1114																				
10000001																							翻滚							客户端爆炸	1114																				
10000001																							被击中时					100	10000001	服务器爆炸	1114																				
10000001																							被击中时					100	10000002	客户端爆炸	1114																				
10000001																							被击中时					100	10000003	播放特效																					
10000002			1																											人物属性修饰	CurStaReduce	值修改	1																		
10000002																							EOT触发	立即触发				1000		耐力衰减																					
10000003	动力下降							5000						时间更新,次数不变									EOT触发	立即触发				999999		改变载具速度	20					改变载具速度	100				buff19		被击中的摩托艇动力下降了！								
10000004	动力上升							6000						时间更新,次数不变									EOT触发	立即触发				999999		改变载具速度	120					改变载具速度	100				buff20		速度上升！赶紧赶路！	630							
10000004	强走		1					120000						时间更新,次数不变							1	1								人物属性修饰	CurStaReduce	值修改	-7								buff24		一定时间内耐力不消耗								
10000004	强走		1																		1	1	EOT触发	立即触发				99999999		增加耐力上限	25										buff24		一定时间内耐力不消耗								
11000000	恶臭			臭				20000						保留旧的				13008	2		1	1								不能使用道具	1										buff14		臭味让你不想吃任何东西	16							
11000000	恶臭																	13008	2		1	1								不能使用道具	2																				
12000010	（片手）武器突破1档		1											时间更新,次数不变																																					
12000020	（片手）武器突破2档		1											时间更新,次数不变																														20201							
12000030	（片手）武器突破3档		1											时间更新,次数不变																														20301							
12000110	（片手）武器突破1档		1											时间更新,次数不变																																					
12000120	（片手）武器突破2档		1											时间更新,次数不变																														20211							
12000130	（片手）武器突破3档		1											时间更新,次数不变																														20311							
12000210	（片手）武器突破1档		1											时间更新,次数不变																																					
12000220	（片手）武器突破2档		1											时间更新,次数不变																														20221							
12000230	（片手）武器突破3档		1											时间更新,次数不变																														20321							
12000310	（片手）武器突破1档		1											时间更新,次数不变																																					
12000320	（片手）武器突破2档		1											时间更新,次数不变																														20231							
12000330	（片手）武器突破3档		1											时间更新,次数不变																														20331							
12000410	（片手）武器突破1档		1											时间更新,次数不变																																					
12000420	（片手）武器突破2档		1											时间更新,次数不变																														20241							
12000430	（片手）武器突破3档		1											时间更新,次数不变																														20341							
12000510	（片手）武器突破1档		1											时间更新,次数不变																																					
12000520	（片手）武器突破2档		1											时间更新,次数不变																														20251							
12000530	（片手）武器突破3档		1											时间更新,次数不变																														20351							
12000610	（片手）武器突破1档		1											时间更新,次数不变																																					
12000620	（片手）武器突破2档		1											时间更新,次数不变																														20261							
12000630	（片手）武器突破3档		1											时间更新,次数不变																														20361							
12000710	（片手）武器突破1档		1											时间更新,次数不变																																					
12000720	（片手）武器突破2档		1											时间更新,次数不变																														20271							
12000730	（片手）武器突破3档		1											时间更新,次数不变																														20371							
12000810	（片手）武器突破1档		1											时间更新,次数不变																																					
12000820	（片手）武器突破2档		1											时间更新,次数不变																														20281							
12000830	（片手）武器突破3档		1											时间更新,次数不变																														20381							
12000910	（片手）武器突破1档		1											时间更新,次数不变																																					
12000920	（片手）武器突破2档		1											时间更新,次数不变																														20291							
12000930	（片手）武器突破3档		1											时间更新,次数不变																														20391							
12100001	历史见证人		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	1																		
12100002	通晓少女心		1			1			队伍里有异性					保留旧的																人物属性修饰	PlayerAtk	值修改	2																		
12100003	爆炸性的挚友		1			1								保留旧的																人物属性修饰	CritLevel	值修改	4																		
12100004	行过烈焰之路		1			1								保留旧的																人物属性修饰	FireAttack	值修改	2																		
12100005	物语主人公		1			1								保留旧的																人物属性修饰	CharRejuPer	百分比修改	5																		
12100006	小人克星		1			1								保留旧的																人物属性修饰	WaterRes	值修改	1																		
12100006	小人克星		1			1								保留旧的																人物属性修饰	FireRes	值修改	1																		
12100006	小人克星		1			1								保留旧的																人物属性修饰	LightningRes	值修改	1																		
12100006	小人克星		1			1								保留旧的																人物属性修饰	DragonRes	值修改	1																		
12100006	小人克星		1			1								保留旧的																人物属性修饰	IceRes	值修改	1																		
12100007	传说的继承者		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	3																		
12100008	名誉王立学士		1			1			当HP处于某百分比区间时	0	50			保留旧的																人物属性修饰	PlayerAtk	值修改	6																		
12100009	摘星者		1			1								保留旧的																人物属性修饰	CritLevel	值修改	6																		
12100010	一个好人		1			1								保留旧的																人物属性修饰	CharRejuPer	百分比修改	5																		
12100011	预备英雄		1			1								保留旧的																人物属性修饰	PlayerCrit	值修改	3																		
12100012	真汉子		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	10																		
12100013	精神上的飞机头		1			1								保留旧的																斩味消耗修饰	百分比修改	-5																			
12100014	剑术拍档		1			1								保留旧的									目标肉质高于指定值	0.6						伤害结果修饰	伤害	百分比修改	2																		
12100015	新时代的英雄		1			1								保留旧的																人物属性修饰	WaterRes	值修改	5																		
12100015	新时代的英雄		1			1								保留旧的																人物属性修饰	FireRes	值修改	5																		
12100015	新时代的英雄		1			1								保留旧的																人物属性修饰	LightningRes	值修改	5																		
12100015	新时代的英雄		1			1								保留旧的																人物属性修饰	DragonRes	值修改	5																		
12100015	新时代的英雄		1			1								保留旧的																人物属性修饰	IceRes	值修改	5																		
12100016	名誉王家猎人		1			1								保留旧的									命中指定种属的怪物	1						伤害结果修饰	伤害	百分比修改	3																		
12100017	顶点，亦是起点		1			1								保留旧的																人物属性修饰	WaterAttack	值修改	3																		
12100017	顶点，亦是起点		1			1								保留旧的																人物属性修饰	FireAttack	值修改	3																		
12100017	顶点，亦是起点		1			1								保留旧的																人物属性修饰	LightningAttack	值修改	3																		
12100017	顶点，亦是起点		1			1								保留旧的																人物属性修饰	DragonAttack	值修改	3																		
12100017	顶点，亦是起点		1			1								保留旧的																人物属性修饰	IceAttack	值修改	3																		
12100018	疾风猎人		1			1								保留旧的																人物属性修饰	CritLevel	值修改	8																		
12100019	完美主义者		1			1			当HP处于某百分比区间时	0	30			保留旧的																人物属性修饰	PlayerAtk	值修改	9																		
12100020	教授		1			1								保留旧的																人物属性修饰	WaterRes	值修改	2																		
12100020	教授		1			1								保留旧的																人物属性修饰	FireRes	值修改	2																		
12100020	教授		1			1								保留旧的																人物属性修饰	LightningRes	值修改	2																		
12100020	教授		1			1								保留旧的																人物属性修饰	DragonRes	值修改	2																		
12100020	教授		1			1								保留旧的																人物属性修饰	IceRes	值修改	2																		
12100021	英雄的证明		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	5																		
12100022	传说之人		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	4																		
12100022	传说之人		1			1								保留旧的																人物属性修饰	CritLevel	值修改	5																		
12100023	制药狂人		1			1								保留旧的																人物属性修饰	CharRejuPer	百分比修改	7																		
12100024	道具流		1			1			施放指定技能组	20003				保留旧的																人物属性修饰	CharAnimSpeed	百分比修改	5																		
12100025	沙盾减速		0					5000						时间更新,次数不变							1	1								人物属性修饰	CharSpeed	百分比修改	-30								buff19			263							
12100025	沙盾减速							5000													1	1														获得BUFF	60025														
12100026	燃烧		0	燃烧				20000						时间更新,次数不变							1	1	EOT触发					1000		火伤害	2										buff86		每秒钟损失一定的生命值	74		24		24			
12100026																					1	1	翻滚							移除BUFF类型	燃烧																				
12100027	电荷			火				120000						保留旧的							1	1																			buff86		身上带有电荷，会吸引附近带电的物体	610							
12100028	铜牌猎人		1			1								保留旧的																人物属性修饰	CharDefence	值修改	1																		
12100029	银牌猎人		1			1								保留旧的																人物属性修饰	CharDefence	值修改	2																		
12100030	金牌猎人		1			1								保留旧的																人物属性修饰	CharDefence	值修改	4																		
12100031	正电		0					30000						时间更新,次数不变				12100032	1		1	1								人物属性修饰	LightningRes	值修改	-5								buff_thunder01		耐力回复下降，雷耐性小幅下降，容易吸引负电攻击	610							
12100031	正电		0					30000						时间更新,次数不变				12100032	1		1	1								人物属性修饰	CharStaRecovery	百分比修改	-30								buff_thunder01		耐力回复下降，雷耐性小幅下降，容易吸引负电攻击								
12100031	正电		0					30000						时间更新,次数不变				12100032	1		1	1	当获得某ID基因时	12100032						获得BUFF	12100035										buff_thunder01		耐力回复下降，雷耐性小幅下降，容易吸引负电攻击								
12100032	负电		0					30000						时间更新,次数不变				12100032	1		1	1	EOT触发	立即触发				99999999		获得BUFF	60005										buff_thunder02		雷耐性大幅下降，容易吸引正电攻击	628							
12100032	负电		0					30000						时间更新,次数不变				12100032	1		1	1								人物属性修饰	LightningRes	值修改	-10								buff_thunder02		雷耐性大幅下降，容易吸引正电攻击								
12100032	负电		0					30000						时间更新,次数不变				12100032	1		1	1	当获得某ID基因时	12100031						获得BUFF	12100036										buff_thunder02		雷耐性大幅下降，容易吸引正电攻击								
12100033	空之王者的祝福		1					2400000														1								人物属性修饰	LuckValule	值修改	30								buff112		受到空之王者的祝福，狩猎时获取大型怪物稀有素材的概率提升30%								
12100034	巨影之殇		1			1								保留旧的																人物属性修饰	DragonAttack	值修改	5																		
12100035	中和		0					500						时间更新,次数不变							1	1	EOT触发	立即触发				99999999		获得BUFF	60005																				
12100035	中和		0					500						时间更新,次数不变							1	1	EOT触发	立即触发				99999999		获得BUFF	12100037																				
12100035	中和		0					500						时间更新,次数不变							1	1	EOT触发	立即触发				99999999		移除BUFF	12100031																				
12100036	中和		0					500						时间更新,次数不变							1	1	EOT触发	立即触发				99999999		获得BUFF	60009																				
12100036	中和		0					500						时间更新,次数不变							1	1	EOT触发	立即触发				99999999		获得BUFF	12100037																				
12100036	中和		0					500						时间更新,次数不变							1	1	EOT触发	立即触发				99999999		移除BUFF	12100032																				
12100037	感电		0					30000						时间更新,次数不变							1	1								人物属性修饰	CharStaRecovery	百分比修改	-30								buff_thunder03		耐力回复下降，雷耐性大幅下降								
12100037	感电		0					30000						时间更新,次数不变							1	1								人物属性修饰	LightningRes	值修改	-10								buff_thunder03		耐力回复下降，雷耐性大幅下降								
12100038	幻乱		0					16000						时间更新,次数不变							1	1								天旋地转											buff107		吸入眠气瓦斯，一定时间内方向颠倒，天旋地转	269							
12100039	天岩震殿		1			1																	被击中时							获得BUFF	12100040																				
12100040	天岩震殿		1			1		10000						时间更新,次数不变							1	1								人物属性修饰	PlayerAtk	值修改	20																		
12100041	锖岚司掌		1			1																								人物属性修饰	WaterAttack	值修改	12																		
12100042	梅城冒险王		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	8											305;306							
12100043	雪球超人		1			1																								人物属性修饰	IceRes	值修改	15																		
12100044	雪球名人		1			1																								人物属性修饰	IceRes	值修改	12																		
12100045	雪球达人		1			1																								人物属性修饰	IceRes	值修改	9																		
12100046	雪球凡人		1			1																								人物属性修饰	IceRes	值修改	6																		
12100047	狩魂传承		1			1																								人物属性修饰	DragonRes	值修改	10																		
12100048	狩猎达人		1			1								保留旧的																伤害结果部位修饰	倒地值	百分比修改	10																		
12100049	狩猎达人		1			1								保留旧的																伤害结果部位修饰	倒地值	百分比修改	10																		
12100050	土豪猎人		1			1								保留旧的																人物属性修饰	CharRejuPer	百分比修改	8																		
12100051	土豪猎人		1			1								保留旧的																人物属性修饰	CharRejuPer	百分比修改	8																		
12100052	异界的卫戍		1			1								保留旧的																人物属性修饰	CharDefence	值修改	20																		
12100053	异界的卫戍		1			1								保留旧的																人物属性修饰	CharDefence	值修改	20																		
12100054	狩魂传承		1			1																								人物属性修饰	LightningRes	值修改	10																		
12100055	荣耀归来		1			1																								人物属性修饰	PlayerAtk	值修改	30																		
12100056	攻击防御增加200		1																			1								人物属性修饰	PlayerAtk	值修改	200								buff128										
12100056	攻击防御增加200		1																			1								人物属性修饰	CharDefence	值修改	200																		
12100057	微笑守护者		1			1																								人物属性修饰	PlayerAtk	值修改	20																		
12100058	天上天下天地无双光棍		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	11																		
12100058	天上天下天地无双光棍		1			1								保留旧的																人物属性修饰	CritLevel	值修改	5																		
12100059	卡牌使者		1			1								保留旧的																														312;313							
12100060	卡牌大使		1			1								保留旧的																														314;315							
12100061	卡牌大师		1			1								保留旧的																														316;317							
12100062	黑穿龙竞速之王		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	18								buff128										
12100062	黑穿龙竞速之王		1			1								保留旧的																人物属性修饰	CritLevel	值修改	8																		
12100063	全村的希望		1			1								保留旧的																人物属性修饰	PlayerAtk	值修改	8								buff128										
12100063	全村的希望		1			1								保留旧的																人物属性修饰	CritLevel	值修改	8																		
19101	当斩味为橙色时，炮击伤害减少25%		1																																																
19101	当斩味为橙色时，炮击伤害减少25%		1																																																
19102	龙焰刃的铳枪槽衰减效果		1																		1	1	EOT触发	立即触发				1000		铳枪值衰减														90403							
19102	龙焰刃的铳枪槽衰减效果		1																		1	1	EOT触发	立即触发				700000		获得BUFF	19103				1	移除BUFF	19103														
19102	龙焰刃的铳枪槽衰减效果		1																		1	1	EOT触发	立即触发				700000		获得BUFF	19155				1	移除BUFF	19155														
19103	龙焰刃的铳枪近战攻击强化效果		1						施放指定技能组	902											1	1								伤害计算因子修饰	威力值	百分比修改	50																		
19104	铳枪冷却中		1					90000													1	1														移除BUFF	19127				buff113		铳枪冷却完成后，可再次使用龙击炮和灭龙炮	90406 90604 90606		90603 90605		90603 90605			
19105	给子弹上BUFF		1						当斩位处于某区间时	黄	金	1																		给铳枪子弹上buff	16090002																				
19105	给子弹上BUFF		1						施放指定技能组	904		1																																							
19111	给子弹上BUFF		1						当斩位处于某区间时	橙	橙	1																		给铳枪子弹上buff	16090002																				
19111	给子弹上BUFF		1						施放指定技能组	904		1																																							
19112	当斩味为橙色时，全弹炮击伤害减少25%		1																																																
19112	当斩味为橙色时，全弹炮击伤害减少25%		1																																																
19106	长枪突进黄斩弹刀威力补正		1																											伤害计算因子修饰	威力值	百分比修改	150																		
19107	铳枪奥义人物特效		1					1200000																																				90407							
19108	长枪防御霸体		1																											人物属性修饰	CharDefenseSuperArmorLevel	值修改	1																		
19109	长枪防御霸体		1																											人物属性修饰	CharDefenseSuperArmorLevel	值修改	2																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Abdomen						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Antennae1						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Antennae2						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Antennae3						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Antennae4						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Antennae5						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Antennae6						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Antennae7						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Antennae8						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Arms						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Back						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Body						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Chest						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Eyes						伤害结果部位修饰	破坏值	百分比修改	100																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Face						伤害结果部位修饰	破坏值	百分比修改	100																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Head						伤害结果部位修饰	破坏值	百分比修改	100																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	LeftArm						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	LeftBackLeg						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	LeftFoot						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	LeftHand						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	LeftLeg						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	LeftWing						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	LeftWrist						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Legs						伤害结果部位修饰	破坏值	百分比修改	50																		
19110	长枪奥义01天赋破坏值		1																				命中指定部位	Mouth						伤害结果部位修饰	破坏值	百分比修改	100																		
