#TSV
#============Begin of sheet============
@Sheet=messagebox
提示ID	提示内容	提示框类型	模态类型	标题栏内容	按钮1内容	按钮2内容	按钮3内容	关闭此UI默认执行的按钮功能	倒计时时间	参数1	文字颜色	分组	特殊确认功能
1480	"您的{物品名称}×{数量}的竞标已失败\n竞标价格：{数值}金\n附件为返还的金币"											
1481	系统邮件											
1482	拍卖失败											
1483	"您拍卖的{物品名称}已流标\n保管费：{数值}银\n附件为流标的物品"											
1484	"您拍卖的{物品名称}×{数量}已流标\n保管费：{数值}银\n附件为流标的物品"											
1485	系统邮件											
1486	竞标成功											
1487	"您对{物品名称}的竞标已成功\n竞标价格：{数值}金\n附件为获得的物品"											
1488	"您对{物品名称}×{数量}的竞标已成功\n竞标价格：{数值}金\n附件为获得的物品"											
1489	"您对{物品名称}的竞标已成功\n一口价：{数值}金\n附件为获得的物品"											
1490	"您对{物品名称}×{数量}的竞标已成功\n一口价：{数值}金\n附件为获得的物品"											
1491	系统邮件											
1492	拍卖已取消											
1493	"您已取消{物品名称}的拍卖\n违约金：{数值}银\n保管费：{数值}银\n附件为获得的物品"											
1494	"您已取消{物品名称}×{数量}的拍卖\n违约金：{数值}银\n保管费：{数值}银\n附件为获得的物品"											
1495	强化协议标题											
1496	旋子回避											
1497	强化连斩·极											
1498	鬼人疾走											
1499	落叶斩											
1500	奥义·纵横四海											
1501	奥义·风火双轮											
1502	角色等级 {数量}											
1503	突破成功											
1504	精铸成功											
1505	镶嵌成功											
1506	升级成功											
1507	系统邮件											
1508	拍卖已取消											
1509	"对不起，您拍卖的{物品名称}已经被卖家取消了，现将钱款退回给您\n附件为退回的金额"											
1510	"对不起，您拍卖的{物品名称}×{数量}已经被卖家取消了，现将钱款退回给您\n附件为退回的钱款"											
1511	猎人公会											
1512	猎人星级礼物											
1513	为了表彰你的杰出表现，猎人公会寄来了一份礼物，请及时查收。											
1514	你尚未解锁该类型的武器，目前无法使用	1	1	3	8							
1515	上架成功	1	1	3	8							
1516	竞拍成功	1	1	3	8							
1517	购买成功	1	1	3	8							
1518	取消投标成功	1	1	3	8							
1519	补货成功	1	1	3	8							
1520	操作太频繁了，请稍后再试	1	1	3	8							
1521	不能装备未解锁的武器	3	8	1	8							
1522	您的拍品已成功售出！	1	1	3	8							
1523	您的拍品已流标！	1	1	3	8							
1524	系统邮件											
1525	上架失败											
1526	"对不起。{物品名称}上架失败，请领回\n附件为上架的物品"											
1527	系统邮件											
1528	取消拍卖失败											
1529	"对不起，{物品名称}取消拍卖失败。请领回违约金\n附件为您的违约金"											
1530	服务器内部错误	1	1	3	8							
1531	正在忙	1	1	3	8							
1532	物品数量不正确	1	1	3	8							
1533	价格不正确	1	1	3	8							
1534	物品不存在	1	1	3	8							
1535	物品数量不正确	1	1	3	8							
1536	该物品不可被拍卖	1	1	3	8							
1537	不能一次出售那么多	1	1	3	8							
1538	手续费不足	1	1	3	8							
1539	服务器内部错误	1	1	3	8							
1540	没有相关记录	1	1	3	8							
1541	违约金不足	1	1	3	8							
1542	取消失败	1	1	3	8							
1543	不能取消别人的拍卖	1	1	3	8							
1544	价格不正确	1	1	3	8							
1545	金币不足	1	1	3	8							
1546	不能竞标自己的拍品	1	1	3	8							
1547	搜索失败	1	1	3	8							
1548	物品未找到	1	1	3	8							
1549	同时竞标的次数已达上限	1	1	3	8							
1550	猎之命体力加成提升到40点											
1551	猎之力攻击加成提升到40点											
1552	狩之命体力加成提升到50点											
1553	狩之力攻击加成提升到50点											
1554	没有与你等级相符的狩猎场											
1555	只有同一战队的玩家才可参加！	1	1	3	8							
1556	请教教官											
1557	防具无法派生	1	1	10	8							
1558	绑定物品无法出售	1	1	3	8							
1559	恭喜！顺利完成挑战	1	1	3	8							
1560	很遗憾，没有完成挑战	1	1	3	8							
1561	系统邮件											
1562	猎团赛结果											
1563	"恭喜！顺利完成挑战。\n排名：{数值}"											
1564	系统邮件											
1565	猎团赛结果											
1566	"恭喜！顺利完成挑战。\n排名：未上榜"											
1567	系统邮件											
1568	猎团赛结果											
1569	恭喜您在此轮淘汰赛中胜出											
1570	系统邮件											
1571	猎团赛结果											
1572	很遗憾，您的挑战失败了。努力磨练自己，争取在下一次猎团赛中脱颖而出吧！											
1573	恭喜！由于对手弃权，你们直接晋级了	1	1	3	8							
1574	第{数值}轮淘汰赛即将开始，请各位参赛者至NPC名称处确认准备。没有准备的玩家将不可进入下一轮比赛	1	1	18	8							
1575	本轮比赛还剩余×分钟	1	1	18	8							
1576	15分钟后预选赛即将开始	1	1	18	8							
1577	10分钟后预选赛即将开始	1	1	18	8							
1578	5分钟后预选赛即将开始	1	1	18	8							
1579	1分钟后预选赛即将开始	1	1	18	8							
1580	15分钟后预选赛即将结束	1	1	18	8							
1581	10分钟后预选赛即将结束	1	1	18	8							
1582	5分钟后预选赛即将结束	1	1	18	8							
1583	1分钟后预选赛即将结束	1	1	18	8							
1584	15分钟后淘汰赛即将开始	1	1	18	8							
1585	10分钟后淘汰赛即将开始	1	1	18	8							
1586	5分钟后淘汰赛即将开始	1	1	18	8							
1587	1分钟后淘汰赛即将开始	1	1	18	8							
1588	系统邮件											
1589	猎团赛预选赛参与奖											
1590	"感谢你对猎团赛的支持，特赠送惊喜一份\n附件为赠送的奖励"											
1591	系统邮件											
1592	猎团赛冠军奖励											
1593	"恭喜你荣登本届猎团赛的冠军宝座\n附件为发放的冠军奖励"											
1594	系统邮件											
1595	猎团赛亚军奖励											
1596	"恭喜你获得本届猎团赛的亚军\n附件为发放的亚军奖励"											
1597	系统邮件											
1598	猎团赛32强奖励											
1599	"虽然很遗憾，但你仍然是最强32支队伍中的一员。请再接再厉，在下一次猎团赛中赢得更好的成绩\n附件为发放的32强奖励"											
1600	系统邮件											
1601	猎团赛16强奖励											
1602	"虽然很遗憾，但你仍然是最强16支队伍中的一员。请再接再厉，在下一次猎团赛中赢得更好的成绩\n附件为发放的16强奖励"											
1603	系统邮件											
1604	猎团赛8强奖励											
1605	"虽然很遗憾，但你仍然是最强8支队伍中的一员。请再接再厉，在下一次猎团赛中赢得更好的成绩\n附件为发放的8强奖励"											
1606	系统邮件											
1607	猎团赛4强奖励											
1608	"虽然很遗憾，但你仍然是最强4支队伍中的一员。请再接再厉，在下一次猎团赛中赢得更好的成绩\n附件为发放的4强奖励"											
1609	现在不能进入预选赛	1	1	3	8							
1610	武器天赋不能够在副本内进行激活/升级	1	1	3	8							
1611	你不是VIP,无法操作VIP仓库格子	1	1	3	8							
1612	装备预览											
1613	当前状态预览											
1614	突破{数量}级预览											
1615	觉醒成功											
1617	你成功调和了{物品名称}*{数量}！	1	2	3	6							
1618	有玩家拒绝进入，已重新开始匹配	1	1	3	8							
1619	最多只能选择3个关卡	1	1	3	8							
1620	系统邮件											
1621	取消报名											
1622	{人物名称}取消了报名											
1623	系统邮件											
1624	入围淘汰赛											
1625	恭喜你！成功进入到淘汰赛阶段											
1626	系统邮件											
1627	淘汰赛晋级											
1628	恭喜你！在淘汰赛中成功晋级											
1629	天赋激活点未占满时，点击右键即可激活天赋											
1630	玩家等级不够	1	1	3	8							
1631	不在报名阶段，不能报名	1	1	3	8							
1632	你没有队伍，不能报名	1	1	3	8							
1633	队伍人数不能超过4人	1	1	3	8							
1634	不是队长，不能报名	1	1	3	8							
1635	队伍中所有人都必须在同一猎团中	1	1	3	8							
1636	队伍中已有人报名	1	1	3	8							
1637	报名成功	1	1	3	8							
1638	有人没有报名，报名失败	1	1	3	8							
1639	有人取消了本次猎团赛的报名	1	1	3	8							
1640	报名之后{数值}分钟内，不能取消报名	1	1	3	8							
1641	现在不能进入预选赛	1	1	3	8							
1642	有队员没有报名	1	1	3	8							
1643	你已经退出了报名时所在的猎团，不能参加淘汰赛	1	1	3	8							
1644	你的队员与报名时的不一致	1	1	3	8							
1645	当前不在淘汰赛准备阶段	1	1	3	8							
1646	对不起，你没有进入淘汰赛	1	1	3	8							
1647	你已经被淘汰了，不能参加此轮的淘汰赛	1	1	3	8							
1648	你已经退出了报名时所在的猎团，不能参加淘汰赛	1	1	3	8							
1649	你的队员与报名时的不一致	1	1	3	8							
1650	你已经准备好了。请提醒其他队伍成员在淘汰赛前进行准备，否则不能进入淘汰赛	1	1	3	8							
1651	你退出了匹配，1分钟之内无法再次使用该功能	1	1	3	8							
1652	没有准备，不能进入淘汰赛	1	1	3	8							
1653	你已经报名了	1	1	3	8							
1654	报名队伍已达上限	1	1	3	8							
1655	你的淘汰赛准备已过期	1	1	3	8							
1656	猎团赛未定义错误{数值}	1	1	3	8							
1657	CLEAR本★级的全部公会委托，即可领取公会奖励！											
1658	队员不在同一猎团，不能参加比赛	1	1	3	8							
1659	队员已取消报名	1	1	3	8							
1660	请先创建队伍，并以队长身份前来报名	1	1	3	8							
1661	请先创建战队	1	1	3	8							
1662	你的出售数量已经达到上限	1	1	3	8							
1663	价格不合法	1	1	3	8							
1664	猎币不足	1	1	3	8							
1665	手续费不足，上架失败	1	1	3	8							
1666	条目不存在	1	1	3	8							
1667	不能取消别人的拍卖	1	1	3	8							
1668	点券不足	1	1	3	8							
1669	不能对自己出售的金币竞标	1	1	3	8							
1670	支付失败	1	1	3	8							
1671	服务器错误	1	1	3	8							
1672	正在交易中	1	1	3	8							
1673	系统邮件											
1674	货币交易成功											
1675	"您的金币已经成功售出\n交易价格：{数值}猎币\n成交税：{数值}猎币\n附件为您的获得的猎币，请注意查收"											
1676	"您已经成功购入金币\n交易价格：{数值}点券\n附件为您的获得的金币，请注意查收"											
1677	系统邮件											
1678	货币交易结束											
1679	"很遗憾，您的货币交易已经结束，无人购买\n交易价格：{数值}点券\n附件为退给您的金币，请注意查收"											
1680	系统邮件											
1681	货币出售失败											
1682	"很遗憾，您的金币上架失败\n附件为退给您的金币，请注意查收"											
1683	系统邮件											
1684	货币交易取消											
1685	"您已经取消了出售\n交易价格：{数值}点券\n附件为退给您的金币，请注意查收"											
1686	系统邮件											
1687	货币交易失败											
1688	"对不起，您选择的金币已经售罄\n附件为退给您的点券，请注意查收"											
1689	你没有在规定区域内，因此无法进入淘汰赛	1	1	3	8							
1690	购买数量已到上限，购买失败	1	1	3	8							
1691	预选赛首名公告：当前位列排行榜首名的是{字符串}，比赛分数为{数值}分	1	1	18	8							
1692	你没有接取任何委托，不能进行匹配	1	1	3	8							
1693	你不能接取这个委托，不能进行匹配	1	1	3	8							
1694	副本中不能进行该操作	1	1	3	8							
1695	使用此表情动作需先开VIP会员	1	1	3	8							
1696	这里是激运狩猎场	1	1	3	8							
1697	您已无剩余次数，请使用相关道具增加副本进入次数	1	1	3	8							
1698	您{字符串}关卡的进入次数增加了{数值}次	1	1	3	8							
1699	您使用道具增加{字符串}关卡的进入次数已达今日最大值，无法继续增加	1	1	3	8							
1700	拔刀状态下，无法进行调和	1	1	3	8							
1701	你不是队长	1	1	3	8							
1702	{人物名称}退出了快速匹配	1	1	3	8							
1703	你退出了快速匹配	1	1	3	8							
1704	战队比赛将于15分钟后开始，请到大众酒场中，找红翼的尤丽参加比赛	1	1	18	8							
1705	战队比赛将于10分钟后开始，请到大众酒场中，找红翼的尤丽参加比赛	1	1	18	8							
1706	战队比赛将于5分钟后开始，请到大众酒场中，找红翼的尤丽参加比赛	1	1	18	8							
1707	战队比赛将于1分钟后开始，请到大众酒场中，找红翼的尤丽参加比赛	1	1	18	8							
1708	本赛季的战队比赛将于15分钟后结束，请各位猎友抓紧最后的时间	1	1	18	8							
1709	本赛季的战队比赛将于10分钟后结束，请各位猎友抓紧最后的时间	1	1	18	8							
1710	本赛季的战队比赛将于5分钟后结束，请各位猎友抓紧最后的时间	1	1	18	8							
1711	本赛季的战队比赛将于1分钟后结束，请各位猎友抓紧最后的时间	1	1	18	8							
1712	赛季奖励已经发送至各位的邮箱中，请注意查收	1	1	3	8							
1713	恭喜你解锁了新的见闻卡片！	1	1	3	8							
1714	下一步											
1715	系统邮件											
1716	取消失败											
1717	"取消售卖的操作失败。\n附件为返还给你的违约金，请注意查收"											
1718	上架成功	1	1	3	8							
1719	上架失败	1	1	3	8							
1720	取消成功	1	1	3	8							
1721	取消失败	1	1	3	8							
1722	购买成功，请至邮箱查收	1	1	3	8							
1723	购买失败	1	1	3	8							
1724	不合理											
1725	可领取											
1726	不可领取											
1727	猎团赛报名已经开启。同猎团的猎人可以组队到各自的猎团营地的温妮处进行比赛报名	1	1	18	8							
1728	猎团预选赛将于{数值}分钟后开启，届时请报名参赛的猎人组队去猎团营地的温妮处迎接挑战	1	1	18	8							
1729	猎团预选赛还有{数值}分钟即将结束，各组参赛猎人可重复挑战争取更好成绩。（每次请记得用脱离券退出才会记录成绩）	1	1	18	8							
1730	猎团预选赛已经结束，可在茉儿处查看结果。未晋级32强的参赛猎人将获得一份邮件奖励，感谢大家的参与！	1	1	18	8							
1731	第{数值}轮淘汰赛将于{数值}分钟后开启。请参赛猎人提前5分钟进入猎团营地。比赛开始时，不在营地的参赛玩家将无法参加本轮比赛！	1	1	18	8							
1732	第{数值}轮淘汰赛即将结束，仍在竞技的参赛猎人请加油！	1	1	18	8							
1733	本届猎团赛完美落幕。根据淘汰赛的最终名次，将以邮件的形式把奖励发送给各位！	1	1	18	8							
1734	您有一封新邮件	1	1	3	8							
1735	你没有装备任务武器，无法进入狩猎场！！！	1	1	3	8							
1736	请在比赛开始前回到猎团营地，否则将无法参加下轮淘汰赛！	1	1	3	8							
1737	星级积分											
1738	你获得了1次额外的千狩试炼次数	1	1	10	1							
1739	玩法次数已达上限，无法使用	1	1	3	8							
1740	您的金币已经超出可携带上限，购买失败	1	1	3	8							
1741	报名取消成功	1	1	3	8							
1742	{人物名称}申请加入猎团，请审批	1	1									
1743	头衔名称不能含有屏蔽字	1	1	3	8							
1744	"【转移规则】\n1、消耗素材可以将武器的突破等级进行转移\n2、转移后起始装备的突破等级将会归零\n3、突破等级达到一定程度时需要消耗更多素材才能将\n    突破等级完全转移"											
1745	以上装备不符合转移条件											
1746	{字符串}+{数量}											
1747	转移											
1748	转移突破											
1749	非装备物品无法放入	1	1	10	8							
1750	无法转移											
1751	目标物品不存在	1	1	3	8							
1752	转移的素材数量不足	1	1	3	8							
1753	金钱数量不足	1	1	3	8							
1754	该装备无法升级	1	1	3	8							
1755	装备升级后突破等级将会-{数量}											
1756	装备升级后Rank等级将会-{数量}											
1757	该装备升级后无法继续装备	1	1	3	8							
1758	非满级防具无法进行派生	1	1	3	8							
1759	该装备无法继续提升Rank											
1760	该装备无法继续提升物品等级											
1761	Rank:{数量}											
1762	装备升级											
1763	"【升级规则】：\n\n1、玩家可以消耗金钱和素材提升装备的Rank级别\n2、Rank等级越高，装备属性值越高"											
1764	"【升级规则】：\n\n1、玩家可以消耗金钱和素材提升装备的物品等级\n2、物品等级越高，装备的属性越好\n3、装备升级时会保留原有的技能珠\n4、铠玉主要来自挑战难度狩猎场"											
1765	荣耀殿堂											
1766	你的队伍中有队员不满足匹配条件。无法匹配	1	1	3	8							
1767	该线农场已满，请切线重试	1	1	3	8							
1768	猎团公告已清空	1	1	3	8							
1769	物品无法移除(物品升级)	1	1	3	8							
1770	装备升级后Rank等级将会-{数量},突破等级将会-{数量}											
1771	NPC没有此功能或没找到npc	1	1	3	8							
1772	战队成员{人物名称}上线了	1	1									
1773	战队成员{人物名称}下线了	1	1									
1774	{人物名称}离开了战队	1	1									
1775	{人物名称}被移出战队	1	1									
1776	{人物名称}加入了战队	1	1									
1777	该商品没有被随机出来	1	1	3	8							
1778	你没有队伍，不能退出组队	1	1	3	8							
1779	你不在安全区域内，不能退出组队	1	1	3	8							
1780	在房间里不能退出组队	1	1	3	8							
1781	退出组队失败	1	1	3	8							
1782	你没有队伍，不能踢人	1	1	3	8							
1783	你不在安全区域内，不能踢人	1	1	3	8							
1784	你不在房间里，不能踢人	1	1	3	8							
1785	队伍没有队长，不能踢人	1	1	3	8							
1786	你不是队长，不能踢人	1	1	3	8							
1787	你没有队伍，不能转让队长	1	1	3	8							
1788	你不在安全区域，不能转让队长	1	1	3	8							
1789	队伍没有队长，不能队长	1	1	3	8							
1790	你不是队长，不能转让队长	1	1	3	8							
1791	装备派生											
1792	物品rank											
1793	装备升级											
1794	物品等级提升没有解锁	1	1	3	8							
1795	正在维护中……	1	1	3	8							
1796	防具派生系统没有开启	1	1	3	8							
1797	金币不足，不能弹劾	1	1	3	8							
1798	由于原团长长期未上线，{人物名称}通过弹劾成为了新的团长	1	1									
1799	系统邮件											
1800	弹劾团长失败											
1801	"弹劾团长失败，返还弹劾时扣除的金币\n附件为返还的金币，请好主意查收"											
1802	团长离线时间不足，无法弹劾	1	1	3	8							
1803	搜索范围太大，请键入较为详细的关键字后再次查询	1	1	3	8							
1804	你没有队伍，不能提升团队	1	1	3	8							
1805	你不在安全区域内，不能提升团队	1	1	3	8							
1806	已经是团队了	1	1	3	8							
1807	你不是队长，不能提升团队	1	1	3	8							
1808	对方不在线，邀请失败	1	1	3	8							
1809	对方已经加入了团队，邀请失败	1	1	3	8							
1810	对方队长不在线，邀请失败	1	1	3	8							
1811	对方不在安全区域，邀请失败	1	1	3	8							
1812	你不是队长，邀请失败	1	1	3	8							
1813	团队已满	1	1	3	8							
1814	人数超出上限	1	1	3	8							
1815	你不在安全区域	1	1	3	8							
1816	你已经在团队中，申请入团失败	1	1	3	8							
1817	你不是队长，不能申请入团	1	1	3	8							
1818	你不在安全区域内，申请入团失败	1	1	3	8							
1819	对方不在线，申请入团失败	1	1	3	8							
1820	对方在匹配中或进入了副本，申请入团失败	1	1	3	8							
1821	对方没有队伍，申请入团失败	1	1	3	8							
1822	对方没有团队，申请入团失败	1	1	3	8							
1823	对方团队不在安全区域内，申请入团失败	1	1	3	8							
1824	对方团队已满，申请失败	1	1	3	8							
1825	人员超出上限	1	1	3	8							
1826	密码错误	1	1	3	8							
1827	你已经学习过该技能书！	1	1	3	8							
1828	您不在安全区域内，无法修改队伍设置	1	1	3	8							
1829	您不再安全区域内，无法修改团队设置	1	1	3	8							
1830	组团成功：{人物名称}加入了队伍	1	1	3	8							
1831	非法字符，请重新输入	1	1	3	8							
1832	只有队长才可操作	1	1	3	8							
1833	组队内部错误{数值}+{数值}	1	1	3	8							
1834	使用{物品名称}可以解锁此技能格	1	1	3	8							
1835	该装备无法进行转移	1	1	10	8							
1836	装备类型不同，无法进行转移	1	1	10	8							
1837	组队失败：对方的申请已失效	1	1	3	8							
1838	组团失败：对方的申请已失效	1	1	3	8							
1839	当前不能执行此操作	1	1	3	8							
1840	目标团队不存在，申请入团失败	1	1	3	8							
1841	对方不是团队，申请入团失败	1	1	3	8							
1842	对方不在安全区域，申请入团失败	1	1	3	8							
1843	对方已经加入了团队，申请入团失败	1	1	3	8							
1844	你的团队已满，申请入团失败	1	1	3	8							
1845	对方队伍人数过多，申请入团失败	1	1	3	8							
1846	对方不是团队，组队状态下申请加入失败	1	1	3	8							
1847	你在匹配或准备状态，不能发起交易	1	1	3	8							
1848	对方在匹配或准备状态，不能发起交易	1	1	3	8							
1849	{字符串}数量不足，无法突破	1	1	3	8							
1850	点券不足	1	1	3	8							
1851	猎币不足	1	1	3	8							
1852	非个人商店不能刷新	1	1	3	8							
1853	操作频率太快，请稍候片刻	1	1	3	8							
1854	猎团创建失败	1	1	3	8							
1855	请先在该快捷栏中设置欲使用的道具	1	1	3	8							
1856	商店内部错误	1	1	3	8							
1857	请参考“基准定价”出价	1	1	3	8							
1858	你还没有战队！先加入一个战队吧	1	1	3	8							
1859	系统自动回收道具	1	1	3	8							
1860	你的“{物品名称}”被系统自动回收，请注意及时提取附件补偿	1	1	3	8							
1861	系统自动回收道具	1	1	3	8							
1862	您的战队获得{数值}点战绩	1	1	3	8							
1863	您的战队增加{数值}点战力	1	1	3	8							
1864	您的战队扣除{数值}点战力	1	1	3	8							
1865	您获得{数值}点个人战绩	1	1	3	8							
1866	您获得{数值}个急速狩猎币	1	1	3	8							
1867	您获得{数值}个舞会硬币	1	1	3	8							
1868	离开战队48小时之内不能建立战队	1	1	3	8							
1869	离开战队48小时之内不能加入战队	1	1	3	8							
1870	购买成功	10	8	3	8							
1871	你目前还没有战队！先找红翼的尤丽创建一个战队吧	1	1	3	8							
1872	剩余{字符串}/副本											
1873	{人物名称}拒绝了你的战队邀请	1	1	3	8							
1874	战斗补给商店已开启。各位物资紧缺的小伙伴们快到营地进行补给吧	1	1	3	8							
1875	开启补给商店											
1876	第一轮战队比赛将在12点正式开启，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1877	第二轮战队比赛将在12点正式开启，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1878	第三轮战队比赛将在12点正式开启，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1879	第四轮战队比赛将在12点正式开启，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1880	第五轮战队比赛将在12点正式开启，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1881	艾露猫等级不足，无法装备此技能	1	1	3	8							
1882	附件成功存放至您的仓库中，您总共获得了{数值}个{物品名称}	1	1	3	8							
1883	支付失败	1	1	3	8							
1884	该商店已关闭	1	1	3	8							
1885	急速狩猎币不足，无法购买	1	1	3	8							
1886	舞会硬币不足，无法购买	1	1	3	8							
1887	您获得急速狩猎币{数值}	1	1	3	8							
1888	急速狩猎币	1	1	3	8							
1889	您当前的点数:	1	1	3	8							
1890	舞会硬币	1	1	3	8							
1891	旋律效果											
1892	艾露猫系统尚未解锁，此道具不能使用	1	1	3	8							
1893	无法使用仓库中的物品	1	1	3	8							
1894	技能类型不符，不能学习	1	1	3	8							
1895	第二赛季战队赛将与1月1日10点正式开启。届时，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1896	第三赛季战队赛将与1月8日10点正式开启。届时，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1897	第四赛季战队赛将与1月15日10点正式开启。届时，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1898	第五赛季战队赛将与1月22日10点正式开启。届时，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1899	第六赛季战队赛将与1月29日10点正式开启。届时，请找位于大众酒场的“红翼的尤丽”进入比赛	1	1	3	8							
1900	组队状态的猎人不可登记成为教官，请先退组保持单人状态	1	1	3	8							
1901	25级及以上的猎人才可登记成为教官	1	1	3	8							
1902	您的HR等级不足，无法登记成为教官	1	1	3	8							
1903	您今日的3次教官匹配次数已用完，请明日再来！大家感谢您的帮助！	1	1	3	8							
1904	超出携带上限的道具已发送至您的仓库/邮箱！	1	12									
1905	等待新人匹配中											
1906	预计等待时间											
1907	匹配后成功通关，您将获得随机奖励											
1908	"猎人教官功能介绍\n1、25级以上的猎人可以登记成为教官状态，进入匹配等待；\n2、其他猎人进行自身的剧情、普通狩猎关卡匹配时，会从等待的教官中挑选合适的猎人匹配协助；\n3、以教官状态匹配帮助别人，成功通关可获得随机奖励（每天最多帮助3次）；\n4、进入低级的狩猎场，教官的能力会适当削弱。"											
1909	感谢您的协助！是否继续登记为教官，等待匹配新人的求助？	32	1									
1910	经验丰富的猎人教官											
1911	您尚未满足猎团比赛解锁等级，无法报名！	1	1	3	8							
1912	登记教官等待匹配											
1913	该功能暂时关闭！	1	1	3	8							
1914	猎团	13	1									
1915	15级以上猎人才可加入猎团！	1	1	3	8							
1916	猎团集体任务奖励											
1917	恭喜完成了猎团集体任务，特发放奖励，请查收！											
1918	空之王者缴纳											
1919	猎人公会											
1920	荣耀殿堂表彰											
1921	为了表彰你的杰出表现，猎人公会寄来了一份独一无二的礼物，请及时查收。											
1922	30级以上猎人才可加入战队！	1	1	3	8							
1923	该道具不能在副本中使用	1	1	3	8							
1924	重复演奏											
1925	强化连击											
1926	乱舞重击											
1927	奥义·余音缭绕											
1928	奥义·大地战歌											
1929	炽焰横扫											
1930	灭龙炮											
1931	龙焰刃											
1932	奥义·粒子爆弹											
1933	奥义·龙焰喷射											
1934	前冲盾击											
1935	突进转向											
1936	横扫											
1937	奥义·疾风赤焰刺											
1938	奥义·圣盾守护击											
1939	请选择正确艾露猫装备技能	1	1	3	8							
1940	汇率：{字符串}金：{字符串}点券											
1941	您获得舞会硬币{数值}	1	1	3	8							
1942	鳞粉涂饰											
1943	古岩嵌合											
1944	耐久修理											
1945	跨服玩家不能交易	1	1	3	8							
1946	剩余{字符串}/人											
1947	"猎人教官：乐于帮助别人的热心猎人。\n（25级以上猎人可在赏金看板处登记为教官，跨服匹配帮助他人）"											
1948	部分类型属性已达到当前版本上限！（只放入其他类型的鳞粉可继续涂饰）	1	1	3	8							
1949	银币手续费不足，无法涂饰！	1	1	10	8							
1950	请先放入御石哦！	1	1	10	8							
1951	请放入鳞粉才可涂饰！	1	1	10	8							
1952	你的非绑定素材不足	1	1	3	8							
1953	您的御石耐久度已满，无需修理！	1	1	10	8							
1954	御石耐久已满，请尽情享受它的加护吧！	1	1	10	1							
1955	您尚未拥有御石，无法使用该功能！	1	1	10	8							
1956	任务列表已满，无法接取任务	1	1	3	8							
1957	请先升级庄园训练营	1	1	3	8							
1958	御石	13	1									
1959	敬请期待	1	1	3	8							
1960	头衔不能唯空	1	1	3	8							
1961	头衔名字不能重复	1	1	3	8							
1962	银币不足，无法修理御石耐久！	1	1	10	8							
1963	"【涂饰规则】\n1、通关极限模式，可以获得各种鳞粉；\n2、点击“一键放入”可以自动将背包和仓库中的鳞粉放入下方栏位；\n3、点击“融合”将根据鳞粉的属性类型增加御石的对应属性成长值（成长值每满一次，御石将提升1点对应属性）；\n4、御石的总属性达到一定程度将解锁“孔”的能力。"											
1964	请选择-鳞粉											
1965	珍贵的御石不可在聊天栏中展示！	1	1	10	8							
1966	星蕴砥石系统内部错误{数值}	1	1	3	8							
1967	你获得了{数值}点精算点数	1	2									
1968	你获得了{数值}猎团贡献度	1	2									
1969	你获得了{数值}猎币	1	2									
1970	御石所有属性已达当前版本上限，无法继续放入鳞粉！	1	1	3	8							
1971	快速匹配时不能请教教官	1	1	3	8							
1972	对不起，不能把物品放入交纳箱	1	1	3	8							
1973	无法放入/取出该道具	1	1	3	8							
1974	请选择-古岩											
1975	"【嵌合规则】\n1、通关极限模式，可以获得各种古岩；\n2、选择方案，点击“一键放入”可自动将符合的古岩放入对应形状孔位；\n3、点击“嵌合”将古岩嵌入御石中，之后使用御石时还将额外获得与武器属性对应的古岩能力（每起效1次，消耗1颗古岩）。"											
1976	该孔尚未解锁，无法嵌入古岩！	1	1	3	8							
1977	请放入三角形形状的古岩											
1978	请放入菱形形状的古岩											
1979	请放入正方形形状的古岩											
1980	请放入六边形形状的古岩											
1981	已在线时间：											
1982	{数量}分钟领取											
1983	在线时间不够	1	1	3	8							
1984	活动时间尚未到	1	1	3	8							
1985	活动时间已过期	1	1	3	8							
1986	参与活动											
1987	系统错误，请稍后再试	1	1	3	8							
1988	没有找到对应活动	1	1	3	8							
1989	未找到正在进行的活动	1	1	3	8							
1990	没找到对应道具	1	1	3	8							
1991	此道具无效	1	1	3	8							
1992	点击无效	1	1	3	8							
1993	只能在城镇状态下执行此操作	1	1	3	8							
1994	接任务失败	1	1	3	8							
1995	领物品失败{数值}	1	1	3	8							
1996	准备发送邮件失败 / {物品名称}	1	1	3	8							
1997	发送邮件失败 / {数值}	1	1	3	8							
1998	已达到领取上限 / 当前领取次数{数量}	1	1	3	8							
1999	您有一封系统邮件	5	1	3	8							
2000	对不起，{人物名称}正在忙碌	1	1	3	8							
2001	组队失败：你不在安全区	1	1	3	8							
2002	组队失败：队伍已经满员	1	1	3	8							
2003	组队失败：{人物名称}不在线	1	1	3	8							
2004	组队失败：{人物名称}不在安全区	1	1	3	8							
2005	组队失败：{人物名称}拒绝加入任何队伍	1	1	3	8							
