#TSV
#============Begin of sheet============
@Sheet=装备升级信息
ID	目标索引	装备ID	提升后物品id	强化等级下降	Rank等级下降	需求猎人星级	需求强化等级	需求装备物品等级	派生代币ID	派生代币抵扣金额	派生代币使用上限	需求金钱	需求素材ID1	所需数量1	需求素材ID2	所需数量2	需求素材ID3	所需数量3	需求素材ID4	所需数量4	需求素材ID5	所需数量5	需求素材ID6	所需数量6	类型素材1	类型素材点数1	类型素材2	类型素材点数2	类型素材3	类型素材点数3	类型素材4	类型素材点数4	类型素材5	类型素材点数5	类型素材6	类型素材点数6	素材代币ID1	素材代币个数1	素材代币点数1	素材代币ID2	素材代币个数2	素材代币点数2	素材代币ID3	素材代币个数3	素材代币点数3	素材代币ID4	素材代币个数4	素材代币点数4	素材代币ID5	素材代币个数5	素材代币点数5	素材代币ID6	素材代币个数6	素材代币点数6
12051	11700	51161	51599	0	0	1	0	1	21451	2000	1	5000	22713	5	22714	2	23132	1	22717	1																																		
12052	11760	51599	113589	0	0	1	0	1	21451	2000	25	100000	22714	9	23132	9	23133	3	22717	6																																		
12053	11761	113589	114589	0	0	1	0	1	21451	2000	50	200000	23132	9	23133	5	23134	3	22717	6																																		
12061	12109	51012	51051	0	0	1	0	1				1200	22810	3	22811	2	22812	1																																				
12062	10941	51051	112041	0	0	1	0	1	21451	2000	1	6400	22811	5	22812	2	23212	1	22813	1																																		
12063	10942	112041	113041	0	0	1	0	1	21451	2000	11	47000	22812	9	23212	7	23213	2	22813	6																																		
12064	10943	113041	114041	0	0	1	0	1	21451	2000	36	145000	23212	9	23213	5	23214	2	22813	6																																		
12071	10531	51011	51032	0	0	1	0	1				1200	22803	3	22804	2	22805	1	22806	1																																		
12072	12189	51032	112022	0	0	1	0	1	21451	2000	1	6400	22804	5	22805	2	23206	1	22806	1																																		
12073	12190	112022	113022	0	0	1	0	1	21451	2000	11	47000	22805	9	23206	7	23207	2	22806	6																																		
12074	12191	113022	114022	0	0	1	0	1	21451	2000	36	145000	23206	9	23207	5	23208	2	22806	6																																		
12081	12189	51032	51072	0	0	1	0	1				2400	22882	3	22883	2	22884	1	22885	1																																		
12082	12149	51072	112062	0	0	1	0	1	21451	2000	2	11000	22883	8	22884	3	23242	2	22885	2																																		
12083	12150	112062	113062	0	0	1	0	1	21451	2000	10	40000	22884	9	23242	6	23243	1	22885	6																																		
12084	12151	113062	114062	0	0	1	0	1	21451	2000	36	145000	23242	9	23243	5	23244	2	22885	6																																		
12091	12189	51032	51250	0	0	1	0	1	21451	2000	3	13400	22673	9	22674	4	23275	2	22675	3																																		
12092	12460	51250	113240	0	0	1	0	1	21451	2000	16	65000	22674	9	23275	9	23276	3	22675	6																																		
12093	12461	113240	114240	0	0	1	0	1	21451	2000	42	170000	23275	9	23276	5	23277	2	22675	6																																		
12101	12460	51250	51591	0	0	1	0	1	21451	2000	1	5000	22792	5	22793	2	23144	1	22794	1																																		
12102	12320	51591	113581	0	0	1	0	1	21451	2000	25	100000	22793	9	23144	9	23145	3	22794	6																																		
12103	12321	113581	114581	0	0	1	0	1	21451	2000	50	200000	23144	9	23145	5	23146	3	22794	6																																		
12121	10541	111001	51121	0	0	1	0	1	21451	2000	2	11000	22910	8	22911	3	23296	2	22912	2																																		
12122	10513	51121	113111	0	0	1	0	1	21451	2000	16	65000	22911	9	23296	9	23297	3	22912	6																																		
12123	10514	113111	114111	0	0	1	0	1	21451	2000	42	170000	23296	9	23297	5	23298	2	22912	6																																		
12131	10513	51121	51260	0	0	1	0	1	21451	2000	1	5000	22664	5	22665	2	23320	1	22666	1																																		
12132	11793	51260	113250	0	0	1	0	1	21451	2000	25	100000	22665	9	23320	9	23321	3	22666	6																																		
12133	11794	113250	114250	0	0	1	0	1	21451	2000	50	200000	23320	9	23321	5	23322	3	22666	6																																		
12141	11793	51260	51635	0	0	1	0	1	21451	2000	3	12000	22985	5	22986	2	23170	1	22987	1																																		
12142	11177	51635	113625	0	0	1	0	1	21451	2000	32	128000	22986	9	23170	9	23171	4	22987	6																																		
12143	11178	113625	114625	0	0	1	0	1	21451	2000	60	240000	23170	9	23171	5	23172	2	22987	6																																		
12151	10513	51121	51239	0	0	1	0	1	21451	2000	4	17000	22703	9	22704	4	23326	2	22705	3																																		
12152	11923	51239	113229	0	0	1	0	1	21451	2000	32	128000	22704	9	23326	9	23327	4	22705	6																																		
12153	11924	113229	114229	0	0	1	0	1	21451	2000	60	240000	23326	9	23327	5	23328	2	22705	6																																		
12161	11923	51239	51630	0	0	1	0	1	21451	2000	2	10000	22723	6	23182	3																																						
12162	10143	51630	113620	0	0	1	0	1	21451	2000	32	128000	22723	9	23182	9	23183	4	22727	6																																		
12163	10144	113620	114620	0	0	1	0	1	21451	2000	60	240000	23182	9	23183	5	23184	2	22727	6																																		
12171	10541	111001	51159	0	0	1	0	1	21451	2000	4	16000	22960	9	22961	5	23323	2	22962	3																																		
12172	10693	51159	113149	0	0	1	0	1	21451	2000	25	100000	22961	9	23323	9	23324	3	22962	6																																		
12173	10694	113149	114149	0	0	1	0	1	21451	2000	50	200000	23323	9	23324	5	23325	3	22962	6																																		
12181	10693	51159	51566	0	0	1	0	1	21451	2000	3	12000	22761	5	22762	2	23421	1	22763	1																																		
12182	12290	51566	113556	0	0	1	0	1	21451	2000	32	128000	22762	9	23421	9	23422	4	22763	6																																		
12183	12291	113556	114556	0	0	1	0	1	21451	2000	60	240000	23421	9	23422	5	23423	2	22763	6																																		
12191	10693	51159	51579	0	0	1	0	1	21451	2000	3	12000	23104	5	23105	2	23418	1	23106	1																																		
12192	12908	51579	113569	0	0	1	0	1	21451	2000	32	128000	23105	9	23418	9	23419	4	23106	6																																		
12193	12909	113569	114569	0	0	1	0	1	21451	2000	60	240000	23418	9	23419	5	23420	2	23106	6																																		
12201	10693	51159	51561	0	0	1	0	1	21451	2000	3	12000	22738	5	22739	2	23403	1	22742	1																																		
12202	11277	51561	113551	0	0	1	0	1	21451	2000	32	128000	22739	9	23403	9	23404	4	22742	6																																		
12203	11278	113551	114551	0	0	1	0	1	21451	2000	60	240000	23403	9	23404	5	23405	2	22742	6																																		
12221	10551	112001	51637	0	0	1	0	1	21451	2000	3	12000	22977	5	22978	2	23176	1	22979	1																																		
12222	11410	51637	113627	0	0	1	0	1	21451	2000	32	128000	22978	9	23176	9	23177	4	22979	6																																		
12223	11411	113627	114627	0	0	1	0	1	21451	2000	60	240000	23176	9	23177	5	23178	2	22979	6																																		
12231	11410	51637	113704	0	0	1	0	1	21451	2000	22	88000	23397	9	23400	9	23401	3	23398	6																																		
12232	11148	113704	114704	0	0	1	0	1	21451	2000	50	200000	23400	9	23401	5	23402	3	23398	6																																		
12241	10551	112001	51636	0	0	1	0	1	21451	2000	3	12000	22775	5	22776	2	23158	1	22777	1																																		
12242	11310	51636	113626	0	0	1	0	1	21451	2000	22	88000	22776	9	23158	9	23159	3	22777	6																																		
12243	11311	113626	114626	0	0	1	0	1	21451	2000	50	200000	23158	9	23159	5	23160	3	22777	6																																		
12251	11310	51636	51634	0	0	1	0	1	21451	2000	2	10000	22996	6	23167	3																																						
12252	11087	51634	113624	0	0	1	0	1	21451	2000	32	128000	22996	9	23167	9	23168	4	22997	6																																		
12253	11088	113624	114624	0	0	1	0	1	21451	2000	60	240000	23167	9	23168	5	23169	2	22997	6																																		
12271	12227	51013	51014	0	0	1	0	1				1200	22931	3	22932	2	22933	1	22929	1																																		
12272	11344	51014	112004	0	0	1	0	1	21451	2000	1	6400	22932	5	22933	2	23191	1	22929	1																																		
12273	11345	112004	113004	0	0	1	0	1	21451	2000	11	47000	22933	9	23191	7	23192	2	22929	6																																		
12274	11346	113004	114004	0	0	1	0	1	21451	2000	36	145000	23191	9	23192	5	23193	2	22929	6																																		
12281	11344	51014	51052	0	0	1	0	1				2400	22843	3	22844	2	22845	1	22846	1																																		
12282	12534	51052	112042	0	0	1	0	1	21451	2000	2	11000	22844	8	22845	3	23224	2	22846	2																																		
12283	12535	112042	113042	0	0	1	0	1	21451	2000	10	40000	22845	9	23224	6	23225	1	22846	6																																		
12284	12536	113042	114042	0	0	1	0	1	21451	2000	36	145000	23224	9	23225	5	23226	2	22846	6																																		
12291	12534	51052	51601	0	0	1	0	1	21451	2000	4	16000	22747	9	22748	5	23138	2	22749	3																																		
12292	11380	51601	113591	0	0	1	0	1	21451	2000	25	100000	22748	9	23138	9	23139	3	22749	6																																		
12293	11381	113591	114591	0	0	1	0	1	21451	2000	50	200000	23138	9	23139	5	23140	3	22749	6																																		
12301	11344	51014	51112	0	0	1	0	1				2400	22895	3	22896	2	22897	1	22898	1																																		
12302	11664	51112	112102	0	0	1	0	1	21451	2000	2	11000	22896	8	22897	3	23227	2	22898	2																																		
12303	11665	112102	113102	0	0	1	0	1	21451	2000	10	40000	22897	9	23227	6	23228	1	22898	6																																		
12304	11666	113102	114102	0	0	1	0	1	21451	2000	36	145000	23227	9	23228	5	23229	2	22898	6																																		
12311	11664	51112	51132	0	0	1	0	1	21451	2000	1	4000	22478	3	22479	1	23233	1	22480	1																																		
12312	11730	51132	113122	0	0	1	0	1	21451	2000	11	47000	22479	9	23233	7	23234	2	22480	6																																		
12313	11731	113122	114122	0	0	1	0	1	21451	2000	36	145000	23233	9	23234	5	23235	2	22480	6																																		
12321	11664	51112	51602	0	0	1	0	1	21451	2000	4	16000	22767	9	22768	5	23141	2	22769	3																																		
12322	10633	51602	113592	0	0	1	0	1	21451	2000	25	100000	22768	9	23141	9	23142	3	22769	6																																		
12323	10634	113592	114592	0	0	1	0	1	21451	2000	50	200000	23141	9	23142	5	23143	3	22769	6																																		
12331	10633	51602	51261	0	0	1	0	1	21451	2000	3	12000	22016	5	22017	2	23412	1	22018	1																																		
12332	10113	51261	113251	0	0	1	0	1	21451	2000	32	128000	22017	9	23412	9	23413	4	22018	6																																		
12333	10114	113251	114251	0	0	1	0	1	21451	2000	60	240000	23412	9	23413	5	23414	2	22018	6																																		
12341	10113	51261	51267	0	0	1	0	1	21451	2000	2	10000	22035	6	23415	3																																						
12342	10083	51267	113257	0	0	1	0	1	21451	2000	32	128000	22035	9	23415	9	23416	4	22036	6																																		
12343	10084	113257	114257	0	0	1	0	1	21451	2000	60	240000	23415	9	23416	5	23417	2	22036	6																																		
12351	11344	51014	51021	0	0	1	0	1				1200	22941	3	22942	2	22943	1																																				
12352	11887	51021	112011	0	0	1	0	1	21451	2000	1	6400	22942	5	22943	2	23194	1	22944	1																																		
12353	11888	112011	113011	0	0	1	0	1	21451	2000	11	47000	22943	9	23194	7	23195	2	22944	6																																		
12354	11889	113011	114011	0	0	1	0	1	21451	2000	36	145000	23194	9	23195	5	23196	2	22944	6																																		
12361	11887	51021	51041	0	0	1	0	1				2400	22836	3	22837	2	22838	1	22839	1																																		
12362	10901	51041	112031	0	0	1	0	1	21451	2000	2	11000	22837	8	22838	3	23221	2	22839	2																																		
12363	10902	112031	113031	0	0	1	0	1	21451	2000	10	40000	22838	9	23221	6	23222	1	22839	6																																		
12364	10903	113031	114031	0	0	1	0	1	21451	2000	36	145000	23221	9	23222	5	23223	2	22839	6																																		
12371	10901	51041	51231	0	0	1	0	1	21451	2000	4	16000	22228	9	22229	5	23302	2	22230	3																																		
12372	10837	51231	113221	0	0	1	0	1	21451	2000	25	100000	22229	9	23302	9	23303	3	22230	6																																		
12373	10838	113221	114221	0	0	1	0	1	21451	2000	50	200000	23302	9	23303	5	23304	3	22230	6																																		
12381	10901	51041	51314	0	0	1	0	1	21451	2000	4	16000	22627	9	22628	5	23317	2	22629	3																																		
12382	11017	51314	113304	0	0	1	0	1	21451	2000	25	100000	22628	9	23317	9	23318	3	22629	6																																		
12383	11018	113304	114304	0	0	1	0	1	21451	2000	50	200000	23317	9	23318	5	23319	3	22629	6																																		
12391	11887	51021	51115	0	0	1	0	1				2400	22830	3	22831	2	22832	1	22833	1																																		
12392	10981	51115	112105	0	0	1	0	1	21451	2000	2	11000	22831	8	22832	3	23218	2	22833	2																																		
12393	10982	112105	113105	0	0	1	0	1	21451	2000	10	40000	22832	9	23218	6	23219	1	22833	6																																		
12394	10983	113105	114105	0	0	1	0	1	21451	2000	36	145000	23218	9	23219	5	23220	2	22833	6																																		
12401	10981	51115	51137	0	0	1	0	1	21451	2000	1	4000	22550	3	22551	1	23236	1	22552	1																																		
12402	12701	51137	113127	0	0	1	0	1	21451	2000	11	47000	22551	9	23236	7	23237	2	22552	6																																		
12403	12702	113127	114127	0	0	1	0	1	21451	2000	36	145000	23236	9	23237	5	23238	2	22552	6																																		
12411	12701	51137	51639	0	0	1	0	1	21451	2000	6	24000	22969	9	22970	6	23161	3	22971	4																																		
12412	12671	51639	113629	0	0	1	0	1	21451	2000	22	88000	22970	9	23161	9	23162	3	22971	6																																		
12413	12672	113629	114629	0	0	1	0	1	21451	2000	50	200000	23161	9	23162	5	23163	3	22971	6																																		
12421	11887	51021	51721	0	0	1	0	1				1200	22953	3	22954	2	22955	1																																				
12422	12791	51721	112711	0	0	1	0	1	21451	2000	1	6400	22954	5	22955	2	23200	1	22956	1																																		
12423	12792	112711	113711	0	0	1	0	1	21451	2000	11	47000	22955	9	23200	7	23201	2	22956	6																																		
12424	12793	113711	114711	0	0	1	0	1	21451	2000	36	145000	23200	9	23201	5	23202	2	22956	6																																		
12431	12791	51721	51718	0	0	1	0	1				1200	22947	3	22948	2	22949	1																																				
12432	11953	51718	112708	0	0	1	0	1	21451	2000	1	6400	22948	5	22949	2	23203	1	22950	1																																		
12433	11954	112708	113708	0	0	1	0	1	21451	2000	11	47000	22949	9	23203	7	23204	2	22950	6																																		
12434	11955	113708	114708	0	0	1	0	1	21451	2000	36	145000	23203	9	23204	5	23205	2	22950	6																																		
12441	12227	51013	51015	0	0	1	0	1				1200	22934	3	22937	2	22938	1	22936	1																																		
12442	12494	51015	112005	0	0	1	0	1	21451	2000	1	6400	22937	5	22938	2	23185	1	22936	1																																		
12443	12495	112005	113005	0	0	1	0	1	21451	2000	11	47000	22938	9	23185	7	23186	2	22936	6																																		
12444	12496	113005	114005	0	0	1	0	1	21451	2000	36	145000	23185	11	23186	7	22936	6																																				
12451	12494	51015	51034	0	0	1	0	1				1200	22823	3	22824	2	22825	1																																				
12452	10801	51034	112024	0	0	1	0	1	21451	2000	1	6400	22824	5	22825	2	23209	1	22826	1																																		
12453	10802	112024	113024	0	0	1	0	1	21451	2000	11	47000	22825	9	23209	7	23210	2	22826	6																																		
12454	10803	113024	114024	0	0	1	0	1	21451	2000	36	145000	23209	9	23210	5	23211	2	22826	6																																		
12461	10801	51034	51111	0	0	1	0	1				2400	22875	3	22876	2	22877	1	22878	1																																		
12462	11564	51111	112101	0	0	1	0	1	21451	2000	2	11000	22876	8	22877	3	23245	2	22878	2																																		
12463	11565	112101	113101	0	0	1	0	1	21451	2000	10	40000	22877	9	23245	6	23246	1	22878	6																																		
12464	11566	113101	114101	0	0	1	0	1	21451	2000	36	145000	23245	9	23246	5	23247	2	22878	6																																		
12471	10801	51034	51119	0	0	1	0	1				2400	22902	3	22903	2	22904	1	22905	1																																		
12472	10397	51119	112109	0	0	1	0	1	21451	2000	2	11000	22903	8	22904	3	23263	2	22905	2																																		
12473	10398	112109	113109	0	0	1	0	1	21451	2000	10	40000	22904	9	23263	6	23264	1	22905	6																																		
12474	10399	113109	114109	0	0	1	0	1	21451	2000	36	145000	23263	9	23264	5	23265	2	22905	6																																		
12481	10397	51119	51600	0	0	1	0	1	21451	2000	4	16000	22518	9	22519	5	23135	2	22520	3																																		
12482	10263	51600	113590	0	0	1	0	1	21451	2000	25	100000	22519	9	23135	9	23136	3	22520	6																																		
12483	10264	113590	114590	0	0	1	0	1	21451	2000	50	200000	23135	9	23136	5	23137	3	22520	6																																		
12491	10801	51034	51638	0	0	1	0	1	21451	2000	7	30400	22731	9	22732	8	23173	4	22733	5																																		
12492	11500	51638	113628	0	0	1	0	1	21451	2000	32	128000	22732	9	23173	9	23174	4	22733	6																																		
12493	11501	113628	114628	0	0	1	0	1	21451	2000	60	240000	23173	9	23174	5	23175	2	22733	6																																		
12521	12229	112003	51155	0	0	1	0	1	21451	2000	1	7000	22602	5	22603	2	23281	1	22604	1																																		
12522	12611	51155	113145	0	0	1	0	1	21451	2000	16	65000	22603	9	23281	9	23282	3	22604	6																																		
12523	12612	113145	114145	0	0	1	0	1	21451	2000	42	170000	23281	9	23282	5	23283	2	22604	6																																		
12531	12611	51155	51594	0	0	1	0	1	21451	2000	1	5000	22619	5	22620	2	23117	1	22621	1																																		
12532	10173	51594	113584	0	0	1	0	1	21451	2000	25	100000	22620	9	23117	9	23118	3	22621	6																																		
12533	10174	113584	114584	0	0	1	0	1	21451	2000	50	200000	23117	9	23118	5	23119	3	22621	6																																		
12541	10173	51594	113706	0	0	1	0	1	21451	2000	35	140000	23380	9	23384	9	23385	4	23383	6																																		
12542	11601	113706	114706	0	0	1	0	1	21451	2000	60	240000	23384	9	23385	5	23386	2	23383	6																																		
12551	12611	51155	51263	0	0	1	0	1	21451	2000	1	5000	22611	5	22612	2	23406	1	22613	1																																		
12552	11247	51263	113253	0	0	1	0	1	21451	2000	25	100000	22612	9	23406	9	23407	3	22613	6																																		
12553	11248	113253	114253	0	0	1	0	1	21451	2000	50	200000	23406	9	23407	5	23408	3	22613	6																																		
12561	12229	112003	51163	0	0	1	0	1	21451	2000	1	7000	22564	5	22565	2	23284	1	22568	1																																		
12562	11823	51163	113153	0	0	1	0	1	21451	2000	16	65000	22565	9	23284	9	23285	3	22568	6																																		
12563	11824	113153	114153	0	0	1	0	1	21451	2000	42	170000	23284	9	23285	5	23286	2	22568	6																																		
12571	11823	51163	51242	0	0	1	0	1	21451	2000	1	5000	22573	5	22574	2	23305	1	22575	1																																		
12572	12641	51242	113232	0	0	1	0	1	21451	2000	25	100000	22574	9	23305	9	23306	3	22575	6																																		
12573	12642	113232	114232	0	0	1	0	1	21451	2000	50	200000	23305	9	23306	5	23307	3	22575	6																																		
12581	12229	112003	51633	0	0	1	0	1	21451	2000	1	7000	23150	5	23151	2	23155	1	23152	1																																		
12582	10723	51633	113623	0	0	1	0	1	21451	2000	16	65000	23151	9	23155	9	23156	3	23152	6																																		
12583	10724	113623	114623	0	0	1	0	1	21451	2000	42	170000	23155	9	23156	5	23157	2	23152	6																																		
12591	10723	51633	51596	0	0	1	0	1	21451	2000	1	5000	22525	5	22526	2	23123	1	22529	1																																		
12592	12015	51596	113586	0	0	1	0	1	21451	2000	25	100000	22526	9	23123	9	23124	3	22529	6																																		
12593	12016	113586	114586	0	0	1	0	1	21451	2000	50	200000	23123	9	23124	5	23125	3	22529	6																																		
12601	12015	51596	113700	0	0	1	0	1	21451	2000	25	100000	23347	9	23351	9	23352	3	23350	6																																		
12602	10294	113700	114700	0	0	1	0	1	21451	2000	50	200000	23351	9	23352	5	23353	3	23350	6																																		
12611	12228	111003	51114	0	0	1	0	1				2000	22862	3	22863	1	22864	1																																				
12612	10327	51114	112104	0	0	1	0	1	21451	2000	2	11000	22862	8	22863	3	23254	2	22864	2																																		
12613	10328	112104	113104	0	0	1	0	1	21451	2000	10	40000	22863	9	23254	6	23255	1	22864	6																																		
12614	10329	113104	114104	0	0	1	0	1	21451	2000	36	145000	23254	9	23255	5	23256	2	22864	6																																		
12621	10327	51114	51259	0	0	1	0	1	21451	2000	2	11000	22634	8	22635	3	23269	2	22636	2																																		
12622	11470	51259	113249	0	0	1	0	1	21451	2000	16	65000	22635	9	23269	9	23270	3	22636	6																																		
12623	11471	113249	114249	0	0	1	0	1	21451	2000	42	170000	23269	9	23270	5	23271	2	22636	6																																		
12631	11470	51259	51593	0	0	1	0	1	21451	2000	1	5000	22641	5	22642	2	23114	1	22643	1																																		
12632	10867	51593	113583	0	0	1	0	1	21451	2000	25	100000	22642	9	23114	9	23115	3	22643	6																																		
12633	10868	113583	114583	0	0	1	0	1	21451	2000	50	200000	23114	9	23115	5	23116	3	22643	6																																		
12641	10327	51114	51598	0	0	1	0	1	21451	2000	4	16000	22587	9	22588	5	23129	2	22589	3																																		
12642	11440	51598	113588	0	0	1	0	1	21451	2000	25	100000	22588	9	23129	9	23130	3	22589	6																																		
12643	11441	113588	114588	0	0	1	0	1	21451	2000	50	200000	23129	9	23130	5	23131	3	22589	6																																		
12651	11440	51598	113565	0	0	1	0	1	21451	2000	35	140000	22785	9	23409	9	23410	4	22786	6																																		
12652	12076	113565	114565	0	0	1	0	1	21451	2000	60	240000	23409	9	23410	5	23411	2	22786	6																																		
12661	10327	51114	51151	0	0	1	0	1	21451	2000	2	11000	22919	8	22920	3	23287	2	22921	2																																		
12662	10233	51151	113141	0	0	1	0	1	21451	2000	16	65000	22920	9	23287	9	23288	3	22921	6																																		
12663	10234	113141	114141	0	0	1	0	1	21451	2000	42	170000	23287	9	23288	5	23289	2	22921	6																																		
12671	10233	51151	51264	0	0	1	0	1	21451	2000	1	5000	22556	5	22557	2	23311	1	22558	1																																		
12672	11630	51264	113254	0	0	1	0	1	21451	2000	25	100000	22557	9	23311	9	23312	3	22558	6																																		
12673	11631	113254	114254	0	0	1	0	1	21451	2000	50	200000	23311	9	23312	5	23313	3	22558	6																																		
12681	10233	51151	51597	0	0	1	0	1	21451	2000	1	5000	22680	5	22681	2	23126	1	22682	1																																		
12682	12761	51597	113587	0	0	1	0	1	21451	2000	25	100000	22681	9	23126	9	23127	3	22682	6																																		
12683	12762	113587	114587	0	0	1	0	1	21451	2000	50	200000	23126	9	23127	5	23128	3	22682	6																																		
12691	10233	51151	51262	0	0	1	0	1				2500	22926	5	22927	2	23290	1																																				
12692	12350	51262	113252	0	0	1	0	1	21451	2000	16	65000	22927	9	23290	9	23291	3	22928	6																																		
12693	12351	113252	114252	0	0	1	0	1	21451	2000	42	170000	23290	9	23291	5	23292	2	22928	6																																		
12711	10755	51016	51022	0	0	1	0	1				1200	22580	3	22581	2	22582	1	22583	1																																		
12712	12574	51022	112012	0	0	1	0	1	21451	2000	1	6400	22581	5	22582	2	23197	1	22583	1																																		
12713	12575	112012	113012	0	0	1	0	1	21451	2000	11	47000	22582	9	23197	7	23198	2	22583	6																																		
12714	12576	113012	114012	0	0	1	0	1	21451	2000	36	145000	23197	9	23198	5	23199	2	22583	6																																		
12721	12574	51022	51118	0	0	1	0	1				2400	22849	3	22850	2	22851	1	22852	1																																		
12722	11051	51118	112108	0	0	1	0	1	21451	2000	2	11000	22850	8	22851	3	23248	2	22852	2																																		
12723	11052	112108	113108	0	0	1	0	1	21451	2000	10	40000	22851	9	23248	6	23249	1	22852	6																																		
12724	11053	113108	114108	0	0	1	0	1	21451	2000	36	145000	23248	9	23249	5	23250	2	22852	6																																		
12731	11051	51118	51136	0	0	1	0	1	21451	2000	1	4000	22498	3	22499	1	23239	1	22501	1																																		
12732	12045	51136	113126	0	0	1	0	1	21451	2000	11	47000	22499	9	23239	7	23240	2	22501	6																																		
12733	12046	113126	114126	0	0	1	0	1	21451	2000	36	145000	23239	9	23240	5	23241	2	22501	6																																		
12741	12045	51136	51592	0	0	1	0	1	21451	2000	1	7000	22508	5	22509	2	23111	1	22510	1																																		
12742	11117	51592	113582	0	0	1	0	1	21451	2000	16	65000	22509	9	23111	9	23112	3	22510	6																																		
12743	11118	113582	114582	0	0	1	0	1	21451	2000	42	170000	23111	9	23112	5	23113	2	22510	6																																		
12751	12574	51022	51035	0	0	1	0	1				1200	22817	3	22818	2	22819	1																																				
12752	12384	51035	112025	0	0	1	0	1	21451	2000	1	6400	22818	5	22819	2	23215	1	22820	1																																		
12753	12385	112025	113025	0	0	1	0	1	21451	2000	11	47000	22819	9	23215	7	23216	2	22820	6																																		
12754	12386	113025	114025	0	0	1	0	1	21451	2000	36	145000	23215	9	23216	5	23217	2	22820	6																																		
12761	12384	51035	51120	0	0	1	0	1				2400	22889	3	22890	2	22891	1	22892	1																																		
12762	10017	51120	112110	0	0	1	0	1	21451	2000	2	11000	22890	8	22891	3	23251	2	22892	2																																		
12763	10018	112110	113110	0	0	1	0	1	21451	2000	10	40000	22891	9	23251	6	23252	1	22892	6																																		
12764	10019	113110	114110	0	0	1	0	1	21451	2000	36	145000	23251	9	23252	5	23253	2	22892	6																																		
12771	12574	51022	51117	0	0	1	0	1				2400	22868	3	22869	2	22870	1	22871	1																																		
12772	11211	51117	112107	0	0	1	0	1	21451	2000	2	11000	22869	8	22870	3	23260	2	22871	2																																		
12773	11212	112107	113107	0	0	1	0	1	21451	2000	10	40000	22870	9	23260	6	23261	1	22871	6																																		
12774	11213	113107	114107	0	0	1	0	1	21451	2000	36	145000	23260	9	23261	5	23262	2	22871	6																																		
12781	11211	51117	51167	0	0	1	0	1	21451	2000	2	11000	22491	8	22492	3	23272	2	22493	2																																		
12782	10203	51167	113157	0	0	1	0	1	21451	2000	16	65000	22492	9	23272	9	23273	3	22493	6																																		
12783	10204	113157	114157	0	0	1	0	1	21451	2000	42	170000	23272	9	23273	5	23274	2	22493	6																																		
12791	10203	51167	51595	0	0	1	0	1	21451	2000	1	5000	22595	5	22596	2	23120	1	22597	1																																		
12792	11530	51595	113585	0	0	1	0	1	21451	2000	25	100000	22596	9	23120	9	23121	3	22597	6																																		
12793	11531	113585	114585	0	0	1	0	1	21451	2000	50	200000	23120	9	23121	5	23122	3	22597	6																																		
12811	10756	111006	51166	0	0	1	0	1	21451	2000	2	11000	22534	8	22535	3	23293	2	22536	2																																		
12812	10663	51166	113156	0	0	1	0	1	21451	2000	16	65000	22535	9	23293	9	23294	3	22536	6																																		
12813	10664	113156	114156	0	0	1	0	1	21451	2000	42	170000	23293	9	23294	5	23295	2	22536	6																																		
12821	10663	51166	51233	0	0	1	0	1	21451	2000	1	5000	22542	5	22543	2	23308	1	22544	1																																		
12822	11853	51233	113223	0	0	1	0	1	21451	2000	25	100000	22543	9	23308	9	23309	3	22544	6																																		
12823	11854	113223	114223	0	0	1	0	1	21451	2000	50	200000	23308	9	23309	5	23310	3	22544	6																																		
12841	10757	112006	51234	0	0	1	0	1	21451	2000	3	12000	22687	5	22688	2	23329	1	22689	1																																		
12842	12260	51234	113224	0	0	1	0	1	21451	2000	32	128000	22688	9	23329	9	23330	4	22689	6																																		
12843	12261	113224	114224	0	0	1	0	1	21451	2000	60	240000	23329	9	23330	5	23331	2	22689	6																																		
12851	12260	51234	51631	0	0	1	0	1	21451	2000	2	10000	22754	6	23179	3																																						
12852	10433	51631	113621	0	0	1	0	1	21451	2000	32	128000	22754	9	23179	9	23180	4	22755	6																																		
12853	10434	113621	114621	0	0	1	0	1	21451	2000	60	240000	23179	9	23180	5	23181	2	22755	6																																		
12861	10757	112006	51632	0	0	1	0	1	21451	2000	3	12000	22696	5	22697	2	23164	1	22698	1																																		
12862	10573	51632	113622	0	0	1	0	1	21451	2000	32	128000	22697	9	23164	9	23165	4	22698	6																																		
12863	10574	113622	114622	0	0	1	0	1	21451	2000	60	240000	23164	9	23165	5	23166	2	22698	6																																		
12871	10757	112006	113710	0	0	1	0	1	21451	2000	15	60000	23358	9	23361	8	23362	3	23359	6																																		
12872	12732	113710	114710	0	0	1	0	1	21451	2000	42	170000	23361	9	23362	5	23363	2	23359	6																																		
12881	10756	111006	51116	0	0	1	0	1				2000	22856	3	22857	1	22858	1																																				
12882	12424	51116	112106	0	0	1	0	1	21451	2000	2	11000	22856	8	22857	3	23257	2	22858	2																																		
12883	12425	112106	113106	0	0	1	0	1	21451	2000	10	40000	22857	9	23257	6	23258	1	22858	6																																		
12884	12426	113106	114106	0	0	1	0	1	21451	2000	36	145000	23257	9	23258	5	23259	2	22858	6																																		
12891	12424	51116	51153	0	0	1	0	1	21451	2000	2	11000	22485	8	22486	3	23266	2	22487	2																																		
12892	11985	51153	113143	0	0	1	0	1	21451	2000	16	65000	22486	9	23266	9	23267	3	22487	6																																		
