#TSV
#============Begin of sheet============
@Sheet=VIP保底奖励策略
VIP奖励索引ID	道具ID	道具名称	道具数量	相对概率	对应关卡	绑定类型
206009	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
206010	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
206011	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
206012	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
206013	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
206014	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
206015	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
206016	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
206017	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207008	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207009	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207010	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207011	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207012	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207013	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207014	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207015	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207016	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207017	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
207018	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
208008	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
208009	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
208010	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
208011	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
208012	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
208013	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
210004	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
281047	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
281048	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
281049	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
281050	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
281051	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
281053	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
281054	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
281055	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	13		0	0	0			
101291	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	46		0	0	0			
101292	100	80	1	0	100	100	0		1	1	1	1	2	2	1	1	5	7	1	1	46		0	0	0			
614001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614003	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614004	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
610003	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614005	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
610001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614006	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614009	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614007	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614008	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
608001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
208001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
205001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
205002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
605003	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
210001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
203001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
203002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
210002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
610004	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
651001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
651002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
607001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
100893	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
100896	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
617001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
617002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
603001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
604001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614010	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614011	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
211001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
211002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
206001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
610005	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
211003	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
206002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
204001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
211004	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
204002	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614012	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
211005	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614013	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
657001	100	80	1	0	200	100	0		3	1	3	1	2	2	1	1	5	7	1	1	53		0	0	0			
614014	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
614015	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
607002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
607003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
607004	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
614016	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
611001	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
617003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
617004	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
614017	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
617005	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
605001	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
610002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
614018	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
606001	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
606002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
606003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
606004	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
617006	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
617007	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	53		0	0	0			
607005	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
620001	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
607006	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
620002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
608002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
608003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
610006	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
610007	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
610008	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
610009	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
611002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
611003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
615001	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
618001	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
620003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
614019	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
620004	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
614020	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
614021	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
616001	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
611004	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
615002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
611005	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
614022	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
620005	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
616002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
604003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
616003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
615003	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
604002	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
620006	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
610010	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
611006	100	80	1	0	200	100	0		4	1	4	1	2	2	1	1	5	7	1	1	68		0	0	0			
140501	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1			0	0	0			
140502	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1			0	0	0			
140503	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1			0	0	0			
140504	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1			0	0	0			
140505	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1			0	0	0			
140506	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1			0	0	0			
140507	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1			0	0	0			
140401	360	80	1	0	300	100	900		1	7	7	7	6	6	1	1	7	7	1	1	59		0	0	0			
140402	150	80	1	0	600	100	900		3	7	7	7	6	6	1	1	7	7	1	1	60		0	0	0			
140403	300	80	1	0	600	100	1500	30	4	7	7	7	9	9	1	1	10	10	1	1	83		0	0	0			
140921	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	140921		
140101	0	0	0	0	100	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0			
281020		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281021		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281022		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281023		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281024		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281025		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281026		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281027		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281028		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281029		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281030		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281031		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281032		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281033		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281034		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281035		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281036		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
281037		80	1			100	0		0	0	0	0	6	6	1	1	9	11	1	1			0	0	0			
300151	100	80	1	0	100	100	0		1	1	1	1	6	6	1	1	9	11	1	1	0		0	0	0	300151		
300152	100	80	1	0	100	100	0		1	1	1	1	6	6	1	1	9	11	1	1	0		0	0	0			
300251	100	80	1	0	100	100	0		1	1	1	1	6	6	1	1	9	11	1	1	0		0	0	0	300151		
300252	100	80	1	0	100	100	0		1	1	1	1	0	0	0	0	0	0	1	1	300252		0	0	0			
300651	0	0	1	0	0	0	0		1	1	1	1	6	6	1	1	9	11	1	1	300651		0	0	0	300651		
300851	0	0	1	0	0	0	0		1	1	1	1	6	6	1	1	9	11	1	1	0		0	0	0	300851		
301151	100	80	1	0	100	100	0		1	1	1	1	6	6	1	1	9	11	1	1	0		0	0	0			
301152	100	80	1	0	400	100	0		4	0	4	0	6	6	1	1	9	11	1	1	301152		0	0	0			
101138	100	80	1	0	800	100	1500		3	1	3	1	9	9	2	2	13	15	1	1	101138		0	0	0			
300301	100	80	1	0	100	100	0		25	25	25	25	0	0	0	0	0	0	1	1	22		0	0	0			
300401	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1	22		0	0	0			
300601	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1	22		0	0	0			
300701	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1	22		0	0	0			
301001	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1	22		0	0	0			
140130	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1	22		0	0	0			
140131	100	80	1	0	100	100	0		0	0	0	0	0	0	0	0	0	0	1	1	22		0	0	0			
101201	200	80	1	0	400	100	1000		3	0	3	0	23	23	3	4	10	10	1	1	44		0	0	0			
101202	200	80	1	0	400	100	1000		3	0	3	0	23	23	3	4	10	10	1	1	44		0	0	0			
101203	200	80	1	0	400	100	1000		3	0	3	0	23	23	3	4	10	10	1	1	44		0	0	0			
120301	200	80	1	0	400	100	1500		4	0	4	0	20	20	1	2	10	10	1	1	64		0	0	0			
120302	200	80	1	0	400	100	1500		4	0	4	0	20	20	1	2	10	10	1	1	64		0	0	0	120302		
120501	200	80	1	0	400	100	1500		4	0	4	0	23	23	3	4	10	10	1	1	64		0	0	0			
120502	200	80	1	0	400	100	1500		4	0	4	0	23	23	3	4	10	10	1	1	64		0	0	0	120502		
101801	200	80	1	0	400	100	1500		4	0	4	0	23	23	3	4	10	10	1	1	71		0	0	0			
101802	0	0	1	0	0	0	0		4	0	4	0	0	0	0	0	0	0	1	1	0		0	0	0			
100521	100	80	1	0	100	100	0		1	0	1	0	0	0	0	0	0	0	1	1	48		0	0	0			
100901	100	80	1	0	100	100	0		4	1	4	1	20	24	2	2	20	24	1	1	49		0	0	0	100901		
170001	0	0	0	0	0	0	0		0	99	0	99	0	0	0	0	0	0	0	0	0		0	0	0	0		
140111	0	0	0	0	400	0	0		0	0	0	0	0	0	0	0	0	0	2	0	0		0	0	0	0		
101701	0	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	1	0		0	0	0	101701		
101702	0	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	1	0		0	0	0	101702		
101703	0	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	1	0		0	0	0	101703		
140112	0	0	1	0	4000	0	0		4	0	0	0	0	0	2	2	0	0	1	1	0		0	0	0	140112		
140114	0	0	1	0	4000	0	0		4	0	0	0	0	0	2	2	0	0	1	1	0		0	0	0	140112		
140115	0	0	1	0	0	0	0		0	1	0	1	0	0	0	0	0	0	1	1	140115		0	0	0			
101108	0	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	1	0		0	0	0	101108		
140925	0	0	1	0	0	0	0		8	0	0	0	1	1	0	0	1	1	1	1	0		0	0	0			
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		1	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		2	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		3	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		4	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		5	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		6	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		7	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		8	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		9	
140801	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		10	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		1	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		2	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		3	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		4	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		5	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		6	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		7	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		8	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		9	
140802	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		10	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		1	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		2	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		3	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		4	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		5	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		6	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		7	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		8	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		9	
140803	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		10	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		1	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		2	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		3	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		4	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		5	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		6	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		7	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		8	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		9	
140804	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		10	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		1	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		2	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		3	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		4	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		5	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		6	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		7	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		8	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		9	
140805	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		10	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		1	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		2	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		3	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		4	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		5	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		6	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		7	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		8	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		9	
140806	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		10	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		1	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		2	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		3	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		4	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		5	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		6	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		7	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		8	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		9	
140807	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140802		0	0	0		10	
140808	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		1	
140808	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		2	
140808	100	80	1	0	400	100	0		0	0	0	0	0	0	0	0	0	0	1	1	140801		0	0	0		3	
